OBS_STATUS;PUNTOS_TURISTICOS;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;55108;516718;2019;VIAJEROS;32.398790056;A
A;55108;516718;2016;VIAJEROS;30.920245399;A
A;55108;516719;2018;VIAJEROS;14.574407583;A
A;55108;516720;2019;VIAJEROS;10.748201439;A
A;55108;516721;2019;VIAJEROS;36.509145352;A
A;55108;516721;2018;VIAJEROS;12.473933649;A
A;55108;516721;2017;VIAJEROS;17.020850709;A
A;55108;516721;2016;VIAJEROS;51.627473887;A
A;55108;516721;2015;VIAJEROS;31.164381927;A
A;55108;516722;2019;VIAJEROS;10.429530201;A
A;55108;516724;2019;VIAJEROS;18.238134325;A
A;55108;516724;2018;VIAJEROS;40.429699842;A
A;55108;516724;2017;VIAJEROS;30.1117598;A
A;55108;516724;2016;VIAJEROS;17.155776867;A
A;55108;516725;2019;VIAJEROS;40.138035003;A
A;55108;516725;2018;VIAJEROS;19.78793677;A
A;55108;516725;2016;VIAJEROS;10.306748466;A
A;55108;516727;2020;VIAJEROS;17.962454727;A
A;55108;516727;2019;VIAJEROS;14.979865772;A
A;55108;516727;2018;VIAJEROS;14.433123105;A
A;55108;516727;2016;VIAJEROS;19.922489207;A
A;55108;516727;2015;VIAJEROS;10.376470588;A
A;70667;55698;2020;VIAJEROS;21970.411612082;A
A;70667;55698;2019;VIAJEROS;54256.289351849;A
A;70667;55698;2018;VIAJEROS;42213.562499738;A
A;70667;55698;2017;VIAJEROS;48214.933333541;A
A;70667;55698;2016;VIAJEROS;40809.932142443;A
A;70667;55698;2015;VIAJEROS;41710.925014392;A
A;70667;55698;2014;VIAJEROS;37166.995833306;A
A;70667;55565;2020;VIAJEROS;19732.792231166;A
A;70667;55565;2019;VIAJEROS;45497.069135802;A
A;70667;55565;2018;VIAJEROS;34919.170833015;A
A;70667;55565;2017;VIAJEROS;40250.516666906;A
A;70667;55565;2016;VIAJEROS;35398.741071026;A
A;70667;55565;2015;VIAJEROS;35838.808027627;A
A;70667;55565;2014;VIAJEROS;30657.812499959;A
A;70667;55697;2020;VIAJEROS;2237.619380916;A
A;70667;55697;2019;VIAJEROS;8759.220216047;A
A;70667;55697;2018;VIAJEROS;7294.391666723;A
A;70667;55697;2017;VIAJEROS;7964.416666635;A
A;70667;55697;2016;VIAJEROS;5411.191071417;A
A;70667;55697;2015;VIAJEROS;5872.116986765;A
A;70667;55697;2014;VIAJEROS;6509.183333347;A
A;70667;55577;2020;VIAJEROS;157.294291764;A
A;70667;55577;2019;VIAJEROS;464.042283951;A
A;70667;55577;2018;VIAJEROS;329.15;A
A;70667;55577;2017;VIAJEROS;490.64583333;A
A;70667;55577;2016;VIAJEROS;388.71964286;A
A;70667;55577;2015;VIAJEROS;511.74360691;A
A;70667;55577;2014;VIAJEROS;759.12083333;A
A;70667;516705;2019;VIAJEROS;14.371296296;A
A;70667;516705;2018;VIAJEROS;15.266666667;A
A;70667;516705;2017;VIAJEROS;11.8125;A
A;70667;516705;2016;VIAJEROS;10.333333333;A
A;70667;516705;2015;VIAJEROS;12.4;A
A;70667;516706;2020;VIAJEROS;129.548531674;A
A;70667;516706;2019;VIAJEROS;280.760802469;A
A;70667;516706;2018;VIAJEROS;424.48333333;A
A;70667;516706;2017;VIAJEROS;387.71666667;A
A;70667;516706;2016;VIAJEROS;230.94642857;A
A;70667;516706;2015;VIAJEROS;245.00610691;A
A;70667;516706;2014;VIAJEROS;195.44583333;A
A;70667;516707;2019;VIAJEROS;197.993981481;A
A;70667;516707;2018;VIAJEROS;92.0875;A
A;70667;516707;2017;VIAJEROS;409.57916667;A
A;70667;516707;2016;VIAJEROS;186.67083333;A
A;70667;516707;2015;VIAJEROS;162.08333333;A
A;70667;516707;2014;VIAJEROS;467.425;A
A;70667;516708;2020;VIAJEROS;16.542857143;A
A;70667;516708;2019;VIAJEROS;101.075;A
A;70667;516708;2018;VIAJEROS;48.408333333;A
A;70667;516708;2017;VIAJEROS;71.266666667;A
A;70667;516708;2016;VIAJEROS;59.466666667;A
A;70667;516708;2015;VIAJEROS;34.475;A
A;70667;516708;2014;VIAJEROS;691.26666667;A
A;70667;55568;2020;VIAJEROS;424.088303733;A
A;70667;55568;2019;VIAJEROS;1727.127932099;A
A;70667;55568;2018;VIAJEROS;1381.3166667;A
A;70667;55568;2017;VIAJEROS;1186.2333333;A
A;70667;55568;2016;VIAJEROS;997.1047619;A
A;70667;55568;2015;VIAJEROS;2863.6857198;A
A;70667;55568;2014;VIAJEROS;1686.0041667;A
A;70667;516709;2018;VIAJEROS;16.133333333;A
A;70667;516709;2015;VIAJEROS;26.866666667;A
A;70667;516710;2020;VIAJEROS;81.511807536;A
A;70667;516710;2019;VIAJEROS;222.971141975;A
A;70667;516710;2018;VIAJEROS;103.5875;A
A;70667;516710;2017;VIAJEROS;237.38333333;A
A;70667;516710;2016;VIAJEROS;153.175;A
A;70667;516710;2015;VIAJEROS;66.372943345;A
A;70667;516710;2014;VIAJEROS;38.466666667;A
A;70667;516711;2020;VIAJEROS;31.089177489;A
A;70667;516711;2019;VIAJEROS;322.369290123;A
A;70667;516711;2018;VIAJEROS;266.5625;A
A;70667;516711;2017;VIAJEROS;272.58333333;A
A;70667;516711;2016;VIAJEROS;206.6;A
A;70667;516711;2015;VIAJEROS;120.5210031;A
