OBS_STATUS;RESITUR;TEMPORAL;PARQUES_TURISMO;INDICATOR;OBS_VALUE;FREQ
A;516707;2019;55539;VIAJEROS;169.901388889;A
A;516707;2019;55540;VIAJEROS;24.884252408;A
A;516707;2019;55541;VIAJEROS;17597.80804967;A
A;516707;2020;55537;VIAJEROS;118.232685628;A
A;516707;2020;55538;VIAJEROS;148.36653661;A
A;516707;2020;55539;VIAJEROS;63.290745732;A
A;516707;2020;55540;VIAJEROS;26.09125449;A
A;516707;2020;55541;VIAJEROS;4139.010551495;A
A;516708;2014;55537;VIAJEROS;710.60690731;A
A;516708;2014;55538;VIAJEROS;230.89013472;A
A;516708;2014;55539;VIAJEROS;17.327131783;A
A;516708;2014;55540;VIAJEROS;102.94985994;A
A;516708;2014;55541;VIAJEROS;26976.572359;A
A;516708;2015;55537;VIAJEROS;56.764108911;A
A;516708;2015;55538;VIAJEROS;226.15415694;A
A;516708;2015;55539;VIAJEROS;50.233591731;A
A;516708;2015;55540;VIAJEROS;45.847762796;A
A;516708;2015;55541;VIAJEROS;30228.861931;A
A;516708;2016;55537;VIAJEROS;126.0332793;A
A;516708;2016;55538;VIAJEROS;738.86594908;A
A;516708;2016;55539;VIAJEROS;48.935336818;A
A;516708;2016;55540;VIAJEROS;53.636424283;A
A;516708;2016;55541;VIAJEROS;30806.969456;A
A;516708;2017;55537;VIAJEROS;136.90195783;A
A;516708;2017;55538;VIAJEROS;464.19818141;A
A;516708;2017;55539;VIAJEROS;26.266666667;A
A;516708;2017;55540;VIAJEROS;39.940911649;A
A;516708;2017;55541;VIAJEROS;34014.870742;A
A;516708;2018;55537;VIAJEROS;90.912553719;A
A;516708;2018;55538;VIAJEROS;566.78652684;A
A;516708;2018;55539;VIAJEROS;31.0;A
A;516708;2018;55540;VIAJEROS;124.09655938;A
A;516708;2018;55541;VIAJEROS;31970.708452;A
A;516708;2019;55537;VIAJEROS;130.857487524;A
A;516708;2019;55538;VIAJEROS;541.041214848;A
A;516708;2019;55539;VIAJEROS;18.6;A
A;516708;2019;55540;VIAJEROS;22.60950487;A
A;516708;2019;55541;VIAJEROS;32215.360724446;A
A;516708;2020;55537;VIAJEROS;33.194790845;A
A;516708;2020;55538;VIAJEROS;50.270776829;A
A;516708;2020;55540;VIAJEROS;42.0;A
A;516708;2020;55541;VIAJEROS;5608.039116885;A
A;55568;2014;55537;VIAJEROS;3204.2419442;A
A;55568;2014;55538;VIAJEROS;2348.7343704;A
A;55568;2014;55539;VIAJEROS;526.29538298;A
A;55568;2014;55540;VIAJEROS;194.22717844;A
A;55568;2014;55541;VIAJEROS;27618.498763;A
A;55568;2015;55537;VIAJEROS;5036.6190421;A
A;55568;2015;55538;VIAJEROS;2679.5906713;A
A;55568;2015;55539;VIAJEROS;1122.4088371;A
A;55568;2015;55540;VIAJEROS;324.30518852;A
A;55568;2015;55541;VIAJEROS;28407.914261;A
A;55568;2016;55537;VIAJEROS;3126.6256928;A
A;55568;2016;55538;VIAJEROS;2720.0227061;A
A;55568;2016;55539;VIAJEROS;846.86957308;A
A;55568;2016;55540;VIAJEROS;443.71319613;A
A;55568;2016;55541;VIAJEROS;30973.39446;A
A;55568;2017;55537;VIAJEROS;3423.4283502;A
A;55568;2017;55538;VIAJEROS;3451.3155119;A
A;55568;2017;55539;VIAJEROS;771.69007165;A
A;55568;2017;55540;VIAJEROS;273.31001644;A
A;55568;2017;55541;VIAJEROS;38244.325071;A
A;55568;2018;55537;VIAJEROS;4316.5003818;A
A;55568;2018;55538;VIAJEROS;4457.7525084;A
A;55568;2018;55539;VIAJEROS;640.53333333;A
A;55568;2018;55540;VIAJEROS;368.50301188;A
A;55568;2018;55541;VIAJEROS;39902.190816;A
A;55568;2019;55537;VIAJEROS;4117.708903341;A
A;55568;2019;55538;VIAJEROS;3510.534087697;A
A;55568;2019;55539;VIAJEROS;709.47662037;A
A;55568;2019;55540;VIAJEROS;442.879934426;A
A;55568;2019;55541;VIAJEROS;49512.788645713;A
A;55568;2020;55537;VIAJEROS;1237.813546566;A
A;55568;2020;55538;VIAJEROS;850.702887907;A
A;55568;2020;55539;VIAJEROS;112.852380952;A
A;55568;2020;55540;VIAJEROS;195.064452694;A
A;55568;2020;55541;VIAJEROS;15829.600795138;A
A;516709;2014;55538;VIAJEROS;49.736357219;A
A;516709;2014;55540;VIAJEROS;165.96399415;A
A;516709;2014;55541;VIAJEROS;418.9030201;A
A;516709;2015;55537;VIAJEROS;30.866666667;A
A;516709;2015;55538;VIAJEROS;28.413964435;A
A;516709;2015;55540;VIAJEROS;59.2;A
A;516709;2015;55541;VIAJEROS;365.44047778;A
A;516709;2016;55537;VIAJEROS;34.007293946;A
A;516709;2016;55538;VIAJEROS;83.669864831;A
A;516709;2016;55540;VIAJEROS;51.318212141;A
A;516709;2016;55541;VIAJEROS;347.33233799;A
A;516709;2017;55537;VIAJEROS;10.868490796;A
A;516709;2017;55538;VIAJEROS;168.11164296;A
A;516709;2017;55540;VIAJEROS;28.0;A
A;516709;2017;55541;VIAJEROS;564.59427516;A
A;516709;2018;55537;VIAJEROS;16.133333333;A
A;516709;2018;55538;VIAJEROS;132.67575876;A
A;516709;2018;55541;VIAJEROS;1512.9236454;A
A;516709;2019;55537;VIAJEROS;55.342622951;A
