OBS_STATUS;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ
A;ES611;55551;2018;VIAJEROS;8110.6372448;A
A;ES611;55551;2019;VIAJEROS;8421.602107268;A
A;ES611;55551;2020;VIAJEROS;3285.157199412;A
A;ES611;55552;2014;VIAJEROS;8266.4943487;A
A;ES611;55552;2015;VIAJEROS;10594.929032;A
A;ES611;55552;2016;VIAJEROS;11492.00719;A
A;ES611;55552;2017;VIAJEROS;14040.643329;A
A;ES611;55552;2018;VIAJEROS;12862.206449;A
A;ES611;55552;2019;VIAJEROS;14140.466189131;A
A;ES611;55552;2020;VIAJEROS;5623.731210884;A
A;ES611;55553;2014;VIAJEROS;439.75434974;A
A;ES611;55553;2015;VIAJEROS;817.56172418;A
A;ES611;55553;2016;VIAJEROS;1957.8855507;A
A;ES611;55553;2017;VIAJEROS;1317.8832502;A
A;ES611;55553;2018;VIAJEROS;1478.4813096;A
A;ES611;55553;2019;VIAJEROS;1831.01253815;A
A;ES611;55553;2020;VIAJEROS;893.157682717;A
A;ES611;55554;2014;VIAJEROS;610.611709;A
A;ES611;55554;2015;VIAJEROS;703.69551741;A
A;ES611;55554;2016;VIAJEROS;1347.4272418;A
A;ES611;55554;2017;VIAJEROS;1135.7761494;A
A;ES611;55554;2018;VIAJEROS;1211.887829;A
A;ES611;55554;2019;VIAJEROS;1221.663736487;A
A;ES611;55554;2020;VIAJEROS;365.320871694;A
A;ES611;55555;2014;VIAJEROS;30559.072091;A
A;ES611;55555;2015;VIAJEROS;35645.716717;A
A;ES611;55555;2016;VIAJEROS;28632.755312;A
A;ES611;55555;2017;VIAJEROS;35442.777568;A
A;ES611;55555;2018;VIAJEROS;30640.178704;A
A;ES611;55555;2019;VIAJEROS;37114.418929271;A
A;ES611;55555;2020;VIAJEROS;18021.535053238;A
A;ES611;55556;2014;VIAJEROS;8431.4366843;A
A;ES611;55556;2015;VIAJEROS;11093.245562;A
A;ES611;55556;2016;VIAJEROS;10483.416373;A
A;ES611;55556;2017;VIAJEROS;13916.729273;A
A;ES611;55556;2018;VIAJEROS;13534.681578;A
A;ES611;55556;2019;VIAJEROS;15096.645951968;A
A;ES611;55556;2020;VIAJEROS;7561.075058833;A
A;ES611;55557;2014;VIAJEROS;381.80878194;A
A;ES611;55557;2015;VIAJEROS;589.80582649;A
A;ES611;55557;2016;VIAJEROS;620.95364345;A
A;ES611;55557;2017;VIAJEROS;658.56819848;A
A;ES611;55557;2018;VIAJEROS;1216.0002515;A
A;ES611;55557;2019;VIAJEROS;1032.362625277;A
A;ES611;55557;2020;VIAJEROS;494.15125622;A
A;ES611;55558;2014;VIAJEROS;849.52686273;A
A;ES611;55558;2015;VIAJEROS;1711.45441;A
