D_TEMPORAL_0;D_CNAE09_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;9.476694648257498;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;8.257436249570835;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;11.430025874022151;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;13.779525310106719;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;9.898159058555246;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;15.575333645526285;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Servidores de web/Internet;11.885508247119486;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);5.452441428971442;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);5.924878785283725;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);12.94853156197116;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);5.01775656934943;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);5.971189002884599;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);12.142116202474524;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);5.503444331282038;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);9.153477160417943;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM (b);8.065538128417051;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;2.543630871037139;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;3.3816198641711543;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;6.045057632325194;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;2.694528543337807;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;3.754376187748859;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;7.68720436808947;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;3.484199758290677;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;6.334957020588027;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Aplicaciones de procesamiento automático de información tipo ERP o CRM;5.285550308603104;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2014;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2015;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2016;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2017;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2018;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);0.7091789632091687;A
2019;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2020;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);;A
2021;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data (b);2.5528247932255823;A
2009;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2010;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2011;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2012;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
2013;6949;3143;38434;% de empresas que utilizan software de código abierto según tipología: Software para el análisis de Big Data;;A
