D_TEMPORAL_0;D_CNAE09_0;D_ESTRATO_ASALARIADOS_0;D_TERRITORIO_0;D_EPD_TAMANOEMPRESA_0;INDICATOR;OBS_VALUE;FREQ
2018;7859;38282;3143;38435;% de empresas que utilizan robots industriales (a);49.797891339821035;A
2018;7958;38282;3143;38435;% de empresas que utilizan robots industriales (a);18.97322281751527;A
2018;7888;38282;3143;38435;% de empresas que utilizan robots industriales (a);25.649892288593907;A
2018;8094;38282;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;8165;38282;3143;38435;% de empresas que utilizan robots industriales (a);60.834181077284335;A
2018;8255;38282;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;6949;38282;3143;38435;% de empresas que utilizan robots industriales (a);64.67214816430584;A
2020;7058;38282;3143;38435;% de empresas que utilizan robots industriales (a);82.40327780151;A
2020;7605;38282;3143;38435;% de empresas que utilizan robots industriales (a);73.78848100840185;A
2020;838683;38282;3143;38435;% de empresas que utilizan robots industriales (a);91.43629808280474;A
2020;838684;38282;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;838685;38282;3143;38435;% de empresas que utilizan robots industriales (a);97.13944750660214;A
2020;7627;38282;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;7663;38282;3143;38435;% de empresas que utilizan robots industriales (a);55.609461388611514;A
2020;7716;38282;3143;38435;% de empresas que utilizan robots industriales (a);50.126808548974196;A
2020;7859;38282;3143;38435;% de empresas que utilizan robots industriales (a);76.88201584879147;A
2020;7958;38282;3143;38435;% de empresas que utilizan robots industriales (a);24.706133777282744;A
2020;7888;38282;3143;38435;% de empresas que utilizan robots industriales (a);53.46054115211479;A
2020;8031;38282;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;8094;38282;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;8165;38282;3143;38435;% de empresas que utilizan robots industriales (a);44.126596705342834;A
2020;8255;38282;3143;38435;% de empresas que utilizan robots industriales (a);0.9533351649385062;A
2018;6949;24142;3143;38435;% de empresas que utilizan robots industriales (a);60.80175194340265;A
2018;7058;24142;3143;38435;% de empresas que utilizan robots industriales (a);81.83259344155162;A
2018;7605;24142;3143;38435;% de empresas que utilizan robots industriales (a);42.676054655235035;A
2018;838683;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838684;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838685;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7627;24142;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;7663;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7716;24142;3143;38435;% de empresas que utilizan robots industriales (a);25.10887552082044;A
2018;7859;24142;3143;38435;% de empresas que utilizan robots industriales (a);43.03470646585805;A
2018;7958;24142;3143;38435;% de empresas que utilizan robots industriales (a);11.090619480757173;A
2018;7888;24142;3143;38435;% de empresas que utilizan robots industriales (a);25.649892288593907;A
2018;8094;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;8165;24142;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;8255;24142;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;6949;24142;3143;38435;% de empresas que utilizan robots industriales (a);58.82625182938403;A
2020;7058;24142;3143;38435;% de empresas que utilizan robots industriales (a);79.25853269167631;A
2020;7605;24142;3143;38435;% de empresas que utilizan robots industriales (a);73.24781694108901;A
2020;838683;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;838684;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;838685;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;7627;24142;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;7663;24142;3143;38435;% de empresas que utilizan robots industriales (a);56.32573622938111;A
2020;7716;24142;3143;38435;% de empresas que utilizan robots industriales (a);43.34167950255877;A
2020;7859;24142;3143;38435;% de empresas que utilizan robots industriales (a);74.33664975154196;A
2020;7958;24142;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;7888;24142;3143;38435;% de empresas que utilizan robots industriales (a);41.680249231347545;A
2020;8031;24142;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;8094;24142;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;8165;24142;3143;38435;% de empresas que utilizan robots industriales (a);38.46153846153847;A
2020;8255;24142;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;6949;24097;3143;38435;% de empresas que utilizan robots industriales (a);86.55075149863876;A
2018;7058;24097;3143;38435;% de empresas que utilizan robots industriales (a);97.12569634590355;A
2018;7605;24097;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838683;24097;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838684;24097;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;838685;24097;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7627;24097;3143;38435;% de empresas que utilizan robots industriales (a);37.50000001464844;A
2018;7663;24097;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7716;24097;3143;38435;% de empresas que utilizan robots industriales (a);63.79814795392746;A
2018;7859;24097;3143;38435;% de empresas que utilizan robots industriales (a);66.24402163538863;A
2018;7958;24097;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2018;7888;24097;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;8094;24097;3143;38435;% de empresas que utilizan robots industriales (a);;A
2018;8165;24097;3143;38435;% de empresas que utilizan robots industriales (a);93.95604395405144;A
2018;8255;24097;3143;38435;% de empresas que utilizan robots industriales (a);;A
2020;6949;24097;3143;38435;% de empresas que utilizan robots industriales (a);80.16785036693933;A
2020;7058;24097;3143;38435;% de empresas que utilizan robots industriales (a);87.76033878192041;A
2020;7605;24097;3143;38435;% de empresas que utilizan robots industriales (a);70.21059298423812;A
2020;838683;24097;3143;38435;% de empresas que utilizan robots industriales (a);81.48148148148148;A
2020;838684;24097;3143;38435;% de empresas que utilizan robots industriales (a);100.0;A
2020;838685;24097;3143;38435;% de empresas que utilizan robots industriales (a);95.37332813741735;A
