ESTADO_DATO;TERRITORIO;RESITUR;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES612;55548;2014;VIAJEROS;910.60083718;A;_Z;_Z
A;ES612;55548;2015;VIAJEROS;529.45610327;A;_Z;_Z
A;ES612;55548;2016;VIAJEROS;686.45200783;A;_Z;_Z
A;ES612;55548;2017;VIAJEROS;506.97600253;A;_Z;_Z
A;ES612;55548;2018;VIAJEROS;692.4008472;A;_Z;_Z
A;ES612;55548;2019;VIAJEROS;574.023714846;A;_Z;_Z
A;ES612;55548;2020;VIAJEROS;400.454161666;A;_Z;_Z
A;ES612;55549;2014;VIAJEROS;3106.7023373;A;_Z;_Z
A;ES612;55549;2015;VIAJEROS;2309.1517881;A;_Z;_Z
A;ES612;55549;2016;VIAJEROS;2648.7098035;A;_Z;_Z
A;ES612;55549;2017;VIAJEROS;2510.0189712;A;_Z;_Z
A;ES612;55549;2018;VIAJEROS;3466.9538136;A;_Z;_Z
A;ES612;55549;2019;VIAJEROS;3164.495784614;A;_Z;_Z
A;ES612;55549;2020;VIAJEROS;1436.165766771;A;_Z;_Z
A;ES612;55550;2014;VIAJEROS;1934.4413394;A;_Z;_Z
A;ES612;55550;2015;VIAJEROS;1711.0351293;A;_Z;_Z
A;ES612;55550;2016;VIAJEROS;2165.8600752;A;_Z;_Z
A;ES612;55550;2017;VIAJEROS;2277.608848;A;_Z;_Z
A;ES612;55550;2018;VIAJEROS;2427.043899;A;_Z;_Z
A;ES612;55550;2019;VIAJEROS;2625.713366445;A;_Z;_Z
A;ES612;55550;2020;VIAJEROS;1742.779912068;A;_Z;_Z
A;ES612;55551;2014;VIAJEROS;1970.1228266;A;_Z;_Z
A;ES612;55551;2015;VIAJEROS;4052.2264495;A;_Z;_Z
A;ES612;55551;2016;VIAJEROS;3681.5884493;A;_Z;_Z
A;ES612;55551;2017;VIAJEROS;3039.4048938;A;_Z;_Z
A;ES612;55551;2018;VIAJEROS;4724.6360089;A;_Z;_Z
A;ES612;55551;2019;VIAJEROS;4757.685138227;A;_Z;_Z
A;ES612;55551;2020;VIAJEROS;2519.842265099;A;_Z;_Z
A;ES612;55552;2014;VIAJEROS;1744.7644658;A;_Z;_Z
A;ES612;55552;2015;VIAJEROS;1875.2783915;A;_Z;_Z
A;ES612;55552;2016;VIAJEROS;1727.6650508;A;_Z;_Z
A;ES612;55552;2017;VIAJEROS;1856.5995252;A;_Z;_Z
A;ES612;55552;2018;VIAJEROS;2408.2446092;A;_Z;_Z
A;ES612;55552;2019;VIAJEROS;2431.04989887;A;_Z;_Z
