REF_AREA;TIME_PERIOD;CNAE_09_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ;MACROECO
ES61;2001;273200;A;CON_INTER_PREC_ADQ;716733.0;A;_Z
ES61;2001;273143;A;CON_INTER_PREC_ADQ;1771616.0;A;_Z
ES61;2001;273201;A;CON_INTER_PREC_ADQ;1023475.0;A;_Z
ES61;2001;273202;A;CON_INTER_PREC_ADQ;748141.0;A;_Z
ES61;2001;273144;A;CON_INTER_PREC_ADQ;843332.0;A;_Z
ES61;2001;273203;A;CON_INTER_PREC_ADQ;349747.0;A;_Z
ES61;2001;273204;A;CON_INTER_PREC_ADQ;493585.0;A;_Z
ES61;2001;273249;A;CON_INTER_PREC_ADQ;17010097;A;_Z
ES61;2001;273145;A;CON_INTER_PREC_ADQ;17010097;A;_Z
ES61;2001;273205;A;CON_INTER_PREC_ADQ;17010097;A;_Z
ES61;2001;273251;A;CON_INTER_PREC_ADQ;34107636;A;_Z
ES61;2001;273250;A;CON_INTER_PREC_ADQ;17337125;A;_Z
ES61;2001;273146;A;CON_INTER_PREC_ADQ;7443186.0;A;_Z
ES61;2001;273206;A;CON_INTER_PREC_ADQ;1497228.0;A;_Z
ES61;2001;273207;A;CON_INTER_PREC_ADQ;2892159.0;A;_Z
ES61;2001;273208;A;CON_INTER_PREC_ADQ;3053799.0;A;_Z
ES61;2001;273147;A;CON_INTER_PREC_ADQ;4451375.0;A;_Z
ES61;2001;273209;A;CON_INTER_PREC_ADQ;2720889.0;A;_Z
ES61;2001;273210;A;CON_INTER_PREC_ADQ;262065.0;A;_Z
ES61;2001;273211;A;CON_INTER_PREC_ADQ;1281038.0;A;_Z
ES61;2001;273212;A;CON_INTER_PREC_ADQ;187383.0;A;_Z
ES61;2001;273148;A;CON_INTER_PREC_ADQ;5442564.0;A;_Z
ES61;2001;273213;A;CON_INTER_PREC_ADQ;775544.0;A;_Z
ES61;2001;273214;A;CON_INTER_PREC_ADQ;4667020.0;A;_Z
ES61;2001;273253;A;CON_INTER_PREC_ADQ;1953083.0;A;_Z
ES61;2001;273149;A;CON_INTER_PREC_ADQ;712587.0;A;_Z
