D_SEXO_0;D_EPD_RELACTIVIDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;5865;2015;5733;3143;Porcentaje;17.818124292741995;A
3689;5865;2014;5732;3143;Porcentaje;55.99050392235056;A
3689;5865;2014;5733;3143;Porcentaje;15.26212892349896;A
3689;5869;2020;5732;3143;Porcentaje;14.959591832580028;A
3689;5869;2020;5733;3143;Porcentaje;8.481025275998354;A
3689;5869;2019;5732;3143;Porcentaje;14.237843902387043;A
3689;5869;2019;5733;3143;Porcentaje;9.182067514659142;A
3689;5869;2018;5732;3143;Porcentaje;15.900157298402856;A
3689;5869;2018;5733;3143;Porcentaje;9.852451886405813;A
3689;5869;2017;5732;3143;Porcentaje;18.712764344006285;A
3689;5869;2017;5733;3143;Porcentaje;9.801159868565888;A
3689;5869;2016;5732;3143;Porcentaje;21.364912737512345;A
3689;5869;2016;5733;3143;Porcentaje;11.341366435861309;A
3689;5869;2015;5732;3143;Porcentaje;23.98411854664288;A
3689;5869;2015;5733;3143;Porcentaje;11.2591117685964;A
3689;5869;2014;5732;3143;Porcentaje;26.961817655293867;A
3689;5869;2014;5733;3143;Porcentaje;12.77578968901896;A
3689;5882;2020;5732;3143;Porcentaje;19.90983424772396;A
3689;5882;2020;5733;3143;Porcentaje;70.91428698045198;A
3689;5882;2019;5732;3143;Porcentaje;18.71501569747942;A
3689;5882;2019;5733;3143;Porcentaje;70.06661171711333;A
3689;5882;2018;5732;3143;Porcentaje;18.17932996877162;A
3689;5882;2018;5733;3143;Porcentaje;68.94257308857193;A
3689;5882;2017;5732;3143;Porcentaje;18.073784351491636;A
3689;5882;2017;5733;3143;Porcentaje;68.27677074227576;A
3689;5882;2016;5732;3143;Porcentaje;17.794242755357562;A
3689;5882;2016;5733;3143;Porcentaje;69.3945980312159;A
3689;5882;2015;5732;3143;Porcentaje;17.07418894984753;A
3689;5882;2015;5733;3143;Porcentaje;70.92276393866162;A
3689;5882;2014;5732;3143;Porcentaje;17.04767842235555;A
3689;5882;2014;5733;3143;Porcentaje;71.96208138748207;A
3689;5883;2020;5732;3143;Porcentaje;100.0;A
3689;5883;2020;5733;3143;Porcentaje;100.0;A
3689;5883;2019;5732;3143;Porcentaje;100.0;A
3689;5883;2019;5733;3143;Porcentaje;100.0;A
3689;5883;2018;5732;3143;Porcentaje;100.0;A
3689;5883;2018;5733;3143;Porcentaje;100.0;A
3689;5883;2017;5732;3143;Porcentaje;100.0;A
3689;5883;2017;5733;3143;Porcentaje;100.0;A
3689;5883;2016;5732;3143;Porcentaje;100.0;A
3689;5883;2016;5733;3143;Porcentaje;100.0;A
3689;5883;2015;5732;3143;Porcentaje;100.0;A
3689;5883;2015;5733;3143;Porcentaje;100.0;A
3689;5883;2014;5732;3143;Porcentaje;100.0;A
3689;5883;2014;5733;3143;Porcentaje;100.0;A
3690;5870;2020;5732;3143;Porcentaje;64.3899637531408;A
3690;5870;2020;5733;3143;Porcentaje;27.814700141264346;A
3690;5870;2019;5732;3143;Porcentaje;66.66185687426606;A
3690;5870;2019;5733;3143;Porcentaje;30.630833814799214;A
3690;5870;2018;5732;3143;Porcentaje;66.22642266296741;A
3690;5870;2018;5733;3143;Porcentaje;27.891941230585438;A
3690;5870;2017;5732;3143;Porcentaje;66.70536373485335;A
3690;5870;2017;5733;3143;Porcentaje;28.44846674005127;A
3690;5870;2016;5732;3143;Porcentaje;67.22572077881452;A
3690;5870;2016;5733;3143;Porcentaje;30.3132905134939;A
3690;5870;2015;5732;3143;Porcentaje;67.98790010474367;A
3690;5870;2015;5733;3143;Porcentaje;32.868990771051784;A
3690;5870;2014;5732;3143;Porcentaje;67.68180009349724;A
3690;5870;2014;5733;3143;Porcentaje;29.66849247631777;A
3690;5865;2020;5732;3143;Porcentaje;47.24905872187944;A
3690;5865;2020;5733;3143;Porcentaje;19.62673597047751;A
3690;5865;2019;5732;3143;Porcentaje;49.858174557806876;A
3690;5865;2019;5733;3143;Porcentaje;21.87843765219183;A
3690;5865;2018;5732;3143;Porcentaje;48.476279570962774;A
3690;5865;2018;5733;3143;Porcentaje;17.69160368939898;A
3690;5865;2017;5732;3143;Porcentaje;47.67484430081201;A
3690;5865;2017;5733;3143;Porcentaje;17.60261352143505;A
3690;5865;2016;5732;3143;Porcentaje;45.633944411018994;A
3690;5865;2016;5733;3143;Porcentaje;18.73298718983231;A
3690;5865;2015;5732;3143;Porcentaje;44.44629456865098;A
3690;5865;2015;5733;3143;Porcentaje;20.882826182773755;A
3690;5865;2014;5732;3143;Porcentaje;42.38601456588971;A
3690;5865;2014;5733;3143;Porcentaje;17.704377082018105;A
3690;5869;2020;5732;3143;Porcentaje;17.14090503126135;A
3690;5869;2020;5733;3143;Porcentaje;8.187964170786834;A
3690;5869;2019;5732;3143;Porcentaje;16.80368231645919;A
3690;5869;2019;5733;3143;Porcentaje;8.75239616260738;A
3690;5869;2018;5732;3143;Porcentaje;17.750143092004635;A
3690;5869;2018;5733;3143;Porcentaje;10.200337541186457;A
3690;5869;2017;5732;3143;Porcentaje;19.03051943404133;A
3690;5869;2017;5733;3143;Porcentaje;10.845853218616224;A
3690;5869;2016;5732;3143;Porcentaje;21.591776367795514;A
3690;5869;2016;5733;3143;Porcentaje;11.58030332366159;A
3690;5869;2015;5732;3143;Porcentaje;23.5416055360927;A
3690;5869;2015;5733;3143;Porcentaje;11.986164588278038;A
3690;5869;2014;5732;3143;Porcentaje;25.295785527607546;A
3690;5869;2014;5733;3143;Porcentaje;11.964115394299666;A
3690;5882;2020;5732;3143;Porcentaje;35.6100362468592;A
3690;5882;2020;5733;3143;Porcentaje;72.18529985873565;A
3690;5882;2019;5732;3143;Porcentaje;33.338143125733936;A
3690;5882;2019;5733;3143;Porcentaje;69.3691661852008;A
3690;5882;2018;5732;3143;Porcentaje;33.77357733703259;A
3690;5882;2018;5733;3143;Porcentaje;72.10805876941457;A
3690;5882;2017;5732;3143;Porcentaje;33.29463626514665;A
3690;5882;2017;5733;3143;Porcentaje;71.55153325994871;A
3690;5882;2016;5732;3143;Porcentaje;32.77427922118548;A
3690;5882;2016;5733;3143;Porcentaje;69.68670948650609;A
3690;5882;2015;5732;3143;Porcentaje;32.01209989525633;A
3690;5882;2015;5733;3143;Porcentaje;67.1310092289482;A
3690;5882;2014;5732;3143;Porcentaje;32.318199906502755;A
3690;5882;2014;5733;3143;Porcentaje;70.33150752368223;A
3690;5883;2020;5732;3143;Porcentaje;100.0;A
3690;5883;2020;5733;3143;Porcentaje;100.0;A
3690;5883;2019;5732;3143;Porcentaje;100.0;A
3690;5883;2019;5733;3143;Porcentaje;100.0;A
3690;5883;2018;5732;3143;Porcentaje;100.0;A
3690;5883;2018;5733;3143;Porcentaje;100.0;A
3690;5883;2017;5732;3143;Porcentaje;100.0;A
3690;5883;2017;5733;3143;Porcentaje;100.0;A
3690;5883;2016;5732;3143;Porcentaje;100.0;A
3690;5883;2016;5733;3143;Porcentaje;100.0;A
3690;5883;2015;5732;3143;Porcentaje;100.0;A
3690;5883;2015;5733;3143;Porcentaje;100.0;A
3690;5883;2014;5732;3143;Porcentaje;100.0;A
3690;5883;2014;5733;3143;Porcentaje;100.0;A
3691;5870;2020;5732;3143;Porcentaje;72.1606994427268;A
3691;5870;2020;5733;3143;Porcentaje;28.55639912247157;A
3691;5870;2019;5732;3143;Porcentaje;73.90598156808808;A
3691;5870;2019;5733;3143;Porcentaje;30.22527323198724;A
3691;5870;2018;5732;3143;Porcentaje;73.95233614482049;A
3691;5870;2018;5733;3143;Porcentaje;29.741916699896876;A
3691;5870;2017;5732;3143;Porcentaje;74.26149988903171;A
3691;5870;2017;5733;3143;Porcentaje;30.3512647623011;A
3691;5870;2016;5732;3143;Porcentaje;74.65832812686959;A
3691;5870;2016;5733;3143;Porcentaje;30.48532759930215;A
3691;5870;2015;5732;3143;Porcentaje;75.40081480074456;A
3691;5870;2015;5733;3143;Porcentaje;30.611765402141227;A
3691;5870;2014;5732;3143;Porcentaje;75.26579568672986;A
3691;5870;2014;5733;3143;Porcentaje;28.694502692829786;A
3691;5865;2020;5732;3143;Porcentaje;56.09942436298401;A
3691;5865;2020;5733;3143;Porcentaje;20.19741927837357;A
3691;5865;2019;5732;3143;Porcentaje;58.37338531081369;A
3691;5865;2019;5733;3143;Porcentaje;21.22302563871995;A
3691;5865;2018;5732;3143;Porcentaje;57.118738099620415;A
3691;5865;2018;5733;3143;Porcentaje;19.74489074889212;A
3691;5865;2017;5732;3143;Porcentaje;55.38872462973225;A
3691;5865;2017;5733;3143;Porcentaje;20.112429741067288;A
3691;5865;2016;5732;3143;Porcentaje;53.17911412094119;A
3691;5865;2016;5733;3143;Porcentaje;19.045744555947323;A
3691;5865;2015;5732;3143;Porcentaje;51.63961288259635;A
3691;5865;2015;5733;3143;Porcentaje;19.058414166720446;A
3691;5865;2014;5732;3143;Porcentaje;49.14258718423085;A
3691;5865;2014;5733;3143;Porcentaje;16.24555034135352;A
3691;5869;2020;5732;3143;Porcentaje;16.061275079742792;A
3691;5869;2020;5733;3143;Porcentaje;8.358979844098;A
3691;5869;2019;5732;3143;Porcentaje;15.532596257274397;A
3691;5869;2019;5733;3143;Porcentaje;9.002247593267295;A
3691;5869;2018;5732;3143;Porcentaje;16.833598045200073;A
3691;5869;2018;5733;3143;Porcentaje;9.99702595100475;A
3691;5869;2017;5732;3143;Porcentaje;18.87277525929944;A
3691;5869;2017;5733;3143;Porcentaje;10.238835021233815;A
