D_SEXO_0;D_EPD_GRUPOSEDAD_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3691;5840;2020;5733;3143;Porcentaje;71.52605924200142;A
3691;5840;2019;5732;3143;Porcentaje;41.76360728553853;A
3691;5840;2019;5733;3143;Porcentaje;71.01290271732272;A
3691;5840;2018;5732;3143;Porcentaje;41.07772998354696;A
3691;5840;2018;5733;3143;Porcentaje;69.8034975068492;A
3691;5840;2017;5732;3143;Porcentaje;40.30624018635503;A
3691;5840;2017;5733;3143;Porcentaje;70.09873023524976;A
3691;5840;2016;5732;3143;Porcentaje;39.41855274537948;A
3691;5840;2016;5733;3143;Porcentaje;69.78807334653936;A
3691;5840;2015;5732;3143;Porcentaje;38.49283263416529;A
3691;5840;2015;5733;3143;Porcentaje;69.04061214939703;A
3691;5840;2014;5732;3143;Porcentaje;37.68857957870043;A
3691;5840;2014;5733;3143;Porcentaje;68.18116725418461;A
3691;5835;2020;5732;3143;Porcentaje;100.0;A
3691;5835;2020;5733;3143;Porcentaje;100.0;A
3691;5835;2019;5732;3143;Porcentaje;100.0;A
3691;5835;2019;5733;3143;Porcentaje;100.0;A
3691;5835;2018;5732;3143;Porcentaje;100.0;A
3691;5835;2018;5733;3143;Porcentaje;100.0;A
3691;5835;2017;5732;3143;Porcentaje;100.0;A
3691;5835;2017;5733;3143;Porcentaje;100.0;A
3691;5835;2016;5732;3143;Porcentaje;100.0;A
3691;5835;2016;5733;3143;Porcentaje;100.0;A
3691;5835;2015;5732;3143;Porcentaje;100.0;A
3691;5835;2015;5733;3143;Porcentaje;100.0;A
3691;5835;2014;5732;3143;Porcentaje;100.0;A
3691;5835;2014;5733;3143;Porcentaje;100.0;A
