D_SEXO_0;D_EPD_PERCEPPRESINVAL_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3691;38363;2018;5732;3143;Porcentaje;100.0;A
3691;38363;2018;5733;3143;Porcentaje;100.0;A
3691;38363;2017;5732;3143;Porcentaje;100.0;A
3691;38363;2017;5733;3143;Porcentaje;100.0;A
3691;38363;2016;5732;3143;Porcentaje;100.0;A
3691;38363;2016;5733;3143;Porcentaje;100.0;A
3691;38363;2015;5732;3143;Porcentaje;100.0;A
3691;38363;2015;5733;3143;Porcentaje;100.0;A
3691;38363;2014;5732;3143;Porcentaje;100.0;A
3691;38363;2014;5733;3143;Porcentaje;100.0;A
