D_SEXO_0;D_EPD_NIVELESTUDIOSTER_0;D_TEMPORAL_0;D_CERTIFICDISCAPAC_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
3689;38326;2017;5733;3143;Porcentaje;32.465296400079225;A
3689;38326;2016;5732;3143;Porcentaje;13.45899621220959;A
3689;38326;2016;5733;3143;Porcentaje;35.759186152938696;A
3689;38326;2015;5732;3143;Porcentaje;14.442537742560118;A
3689;38326;2015;5733;3143;Porcentaje;40.261345193052136;A
3689;38326;2014;5732;3143;Porcentaje;15.566616266677494;A
3689;38326;2014;5733;3143;Porcentaje;41.370947477764;A
3689;38324;2020;5732;3143;Porcentaje;11.135755446345089;A
3689;38324;2020;5733;3143;Porcentaje;30.788533181225407;A
3689;38324;2019;5732;3143;Porcentaje;0.23726229606878535;A
3689;38324;2019;5733;3143;Porcentaje;5.622489485586672;A
3689;38324;2018;5732;3143;Porcentaje;0.4267340445169926;A
3689;38324;2018;5733;3143;Porcentaje;6.459432418013407;A
3689;38324;2017;5732;3143;Porcentaje;0.5591469069490987;A
3689;38324;2017;5733;3143;Porcentaje;5.135996680553086;A
3689;38324;2016;5732;3143;Porcentaje;0.40732358573906424;A
3689;38324;2016;5733;3143;Porcentaje;7.071255416531681;A
3689;38324;2015;5732;3143;Porcentaje;0.48092542733823423;A
3689;38324;2015;5733;3143;Porcentaje;7.443844196861823;A
3689;38324;2014;5732;3143;Porcentaje;0.7171281426580577;A
3689;38324;2014;5733;3143;Porcentaje;9.051066100257959;A
3689;38325;2020;5732;3143;Porcentaje;60.98830740824707;A
3689;38325;2020;5733;3143;Porcentaje;58.457467982389176;A
3689;38325;2019;5732;3143;Porcentaje;11.525125640297833;A
3689;38325;2019;5733;3143;Porcentaje;25.88092578235848;A
3689;38325;2018;5732;3143;Porcentaje;12.350925821250888;A
3689;38325;2018;5733;3143;Porcentaje;27.222227173830472;A
3689;38325;2017;5732;3143;Porcentaje;12.909105660158277;A
3689;38325;2017;5733;3143;Porcentaje;27.32929971952614;A
3689;38325;2016;5732;3143;Porcentaje;13.051672626470525;A
3689;38325;2016;5733;3143;Porcentaje;28.68793073640702;A
3689;38325;2015;5732;3143;Porcentaje;13.961612315221887;A
3689;38325;2015;5733;3143;Porcentaje;32.817500996190304;A
3689;38325;2014;5732;3143;Porcentaje;14.849488124019434;A
3689;38325;2014;5733;3143;Porcentaje;32.319881377506036;A
3689;38332;2020;5732;3143;Porcentaje;27.875937145407846;A
3689;38332;2020;5733;3143;Porcentaje;10.753998836385414;A
3689;38332;2019;5732;3143;Porcentaje;88.23761206363336;A
3689;38332;2019;5733;3143;Porcentaje;68.49658473205483;A
3689;38332;2018;5732;3143;Porcentaje;87.22234013423211;A
3689;38332;2018;5733;3143;Porcentaje;66.31834040815613;A
3689;38332;2017;5732;3143;Porcentaje;86.53174743289263;A
3689;38332;2017;5733;3143;Porcentaje;67.53470359992077;A
3689;38332;2016;5732;3143;Porcentaje;86.5410037877904;A
3689;38332;2016;5733;3143;Porcentaje;64.24081384706129;A
3689;38332;2015;5732;3143;Porcentaje;85.55746225743988;A
3689;38332;2015;5733;3143;Porcentaje;59.73865480694788;A
3689;38332;2014;5732;3143;Porcentaje;84.43338373332251;A
3689;38332;2014;5733;3143;Porcentaje;58.629052522236016;A
3689;38328;2020;5732;3143;Porcentaje;27.875937145407846;A
3689;38328;2020;5733;3143;Porcentaje;10.753998836385414;A
3689;38328;2019;5732;3143;Porcentaje;61.10059972749875;A
3689;38328;2019;5733;3143;Porcentaje;55.92229495893554;A
3689;38328;2018;5732;3143;Porcentaje;60.74496825606938;A
3689;38328;2018;5733;3143;Porcentaje;52.78648026910607;A
3689;38328;2017;5732;3143;Porcentaje;61.30729996618118;A
3689;38328;2017;5733;3143;Porcentaje;51.66245414354134;A
3689;38328;2016;5732;3143;Porcentaje;61.15528471104198;A
3689;38328;2016;5733;3143;Porcentaje;52.44376728120152;A
3689;38328;2015;5732;3143;Porcentaje;60.90528294298734;A
3689;38328;2015;5733;3143;Porcentaje;48.47642837586336;A
3689;38328;2014;5732;3143;Porcentaje;60.736384198260204;A
3689;38328;2014;5733;3143;Porcentaje;45.507246699893415;A
3689;38330;2019;5732;3143;Porcentaje;27.137012336134614;A
3689;38330;2019;5733;3143;Porcentaje;12.574289773119302;A
3689;38330;2018;5732;3143;Porcentaje;26.477371878162742;A
3689;38330;2018;5733;3143;Porcentaje;13.531860139050053;A
3689;38330;2017;5732;3143;Porcentaje;25.224447466711446;A
3689;38330;2017;5733;3143;Porcentaje;15.87224945637943;A
3689;38330;2016;5732;3143;Porcentaje;25.385719076748426;A
3689;38330;2016;5733;3143;Porcentaje;11.797046565859786;A
3689;38330;2015;5732;3143;Porcentaje;24.652179314452543;A
3689;38330;2015;5733;3143;Porcentaje;11.262226431084516;A
3689;38330;2014;5732;3143;Porcentaje;23.696999535062293;A
3689;38330;2014;5733;3143;Porcentaje;13.121805822342589;A
3689;38333;2020;5732;3143;Porcentaje;100.0;A
3689;38333;2020;5733;3143;Porcentaje;100.0;A
3689;38333;2019;5732;3143;Porcentaje;100.0;A
3689;38333;2019;5733;3143;Porcentaje;100.0;A
3689;38333;2018;5732;3143;Porcentaje;100.0;A
3689;38333;2018;5733;3143;Porcentaje;100.0;A
3689;38333;2017;5732;3143;Porcentaje;100.0;A
3689;38333;2017;5733;3143;Porcentaje;100.0;A
3689;38333;2016;5732;3143;Porcentaje;100.0;A
3689;38333;2016;5733;3143;Porcentaje;100.0;A
3689;38333;2015;5732;3143;Porcentaje;100.0;A
3689;38333;2015;5733;3143;Porcentaje;100.0;A
3689;38333;2014;5732;3143;Porcentaje;100.0;A
3689;38333;2014;5733;3143;Porcentaje;100.0;A
3690;38326;2020;5732;3143;Porcentaje;66.9366207915382;A
3690;38326;2020;5733;3143;Porcentaje;81.8001456244244;A
3690;38326;2019;5732;3143;Porcentaje;11.191853189776644;A
3690;38326;2019;5733;3143;Porcentaje;32.43364019550683;A
3690;38326;2018;5732;3143;Porcentaje;12.02112675354212;A
3690;38326;2018;5733;3143;Porcentaje;33.43835905594346;A
3690;38326;2017;5732;3143;Porcentaje;12.420983237058758;A
3690;38326;2017;5733;3143;Porcentaje;32.49267878712409;A
3690;38326;2016;5732;3143;Porcentaje;13.391954717862426;A
3690;38326;2016;5733;3143;Porcentaje;32.308784941666325;A
3690;38326;2015;5732;3143;Porcentaje;14.720595846719192;A
3690;38326;2015;5733;3143;Porcentaje;38.54929945646746;A
3690;38326;2014;5732;3143;Porcentaje;15.294686292326931;A
3690;38326;2014;5733;3143;Porcentaje;39.65756344876458;A
3690;38324;2020;5732;3143;Porcentaje;10.442426009120735;A
3690;38324;2020;5733;3143;Porcentaje;33.01194635330988;A
3690;38324;2019;5732;3143;Porcentaje;0.7541575800872092;A
3690;38324;2019;5733;3143;Porcentaje;5.820076019623721;A
3690;38324;2018;5732;3143;Porcentaje;0.6443013156042238;A
3690;38324;2018;5733;3143;Porcentaje;5.731264232152451;A
3690;38324;2017;5732;3143;Porcentaje;0.7940218578232685;A
3690;38324;2017;5733;3143;Porcentaje;6.985845496150646;A
3690;38324;2016;5732;3143;Porcentaje;0.9600388542496948;A
3690;38324;2016;5733;3143;Porcentaje;7.2887652033562675;A
