D_TEMPORAL_0;D_SEXO_0;D_EDAD_0;D_EPA_RELACTIVIDAD_0;D_EPA_NIVEL_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2007;3689;4306;48952;46593;3143;Población;3235.23503;M
2007;3689;4306;48934;46593;3143;Población;113.7773725;M
2007;3689;4306;48936;46593;3143;Población;1989.754155;M
2007;3689;4306;48937;46593;3143;Población;17.3742625;M
2007;3689;4306;48939;46593;3143;Población;210.2070625;M
2007;3689;4306;48940;46593;3143;Población;2199.9612175;M
2007;3689;4306;48946;46593;3143;Población;1035.2738125;M
2007;3690;4191;48952;46593;3143;Población;459.3140675;M
2007;3690;4191;48934;46593;3143;Población;25.8268975;M
2007;3690;4191;48936;46593;3143;Población;156.814465;M
2007;3690;4191;48937;46593;3143;Población;20.5203425;M
2007;3690;4191;48939;46593;3143;Población;60.721025;M
2007;3690;4191;48940;46593;3143;Población;217.53549;M
2007;3690;4191;48946;46593;3143;Población;241.7785775;M
2007;3690;272250;48952;46593;3143;Población;661.1291325;M
2007;3690;272250;48934;46593;3143;Población;47.6734;M
2007;3690;272250;48936;46593;3143;Población;404.76413;M
2007;3690;272250;48937;46593;3143;Población;6.49881;M
2007;3690;272250;48939;46593;3143;Población;80.6980625;M
2007;3690;272250;48940;46593;3143;Población;485.4621925;M
2007;3690;272250;48946;46593;3143;Población;175.66694;M
2007;3690;4210;48952;46593;3143;Población;651.0346675;M
2007;3690;4210;48934;46593;3143;Población;38.827475;M
2007;3690;4210;48936;46593;3143;Población;354.76888;M
2007;3690;4210;48937;46593;3143;Población;3.0074925;M
2007;3690;4210;48939;46593;3143;Población;65.16695;M
2007;3690;4210;48940;46593;3143;Población;419.93583;M
2007;3690;4210;48946;46593;3143;Población;231.0988375;M
2007;3690;272251;48952;46593;3143;Población;519.01388;M
2007;3690;272251;48934;46593;3143;Población;21.16075;M
2007;3690;272251;48936;46593;3143;Población;243.24904;M
2007;3690;272251;48937;46593;3143;Población;2.3907775;M
2007;3690;272251;48939;46593;3143;Población;41.945395;M
2007;3690;272251;48940;46593;3143;Población;285.194435;M
2007;3690;272251;48946;46593;3143;Población;233.819445;M
2007;3690;4235;48952;46593;3143;Población;404.73539;M
2007;3690;4235;48934;46593;3143;Población;4.01588;M
2007;3690;4235;48936;46593;3143;Población;84.5919225;M
2007;3690;4235;48937;46593;3143;Población;0.66578;M
2007;3690;4235;48939;46593;3143;Población;14.6543125;M
2007;3690;4235;48940;46593;3143;Población;99.246235;M
2007;3690;4235;48946;46593;3143;Población;305.489155;M
2007;3690;4305;48952;46593;3143;Población;651.8559675;M
2007;3690;4305;48934;46593;3143;Población;;M
2007;3690;4305;48936;46593;3143;Población;4.6790025;M
2007;3690;4305;48937;46593;3143;Población;;M
2007;3690;4305;48939;46593;3143;Población;0.1461125;M
2007;3690;4305;48940;46593;3143;Población;4.825115;M
2007;3690;4305;48946;46593;3143;Población;647.0308525;M
2007;3690;4306;48952;46593;3143;Población;3347.083105;M
2007;3690;4306;48934;46593;3143;Población;137.5044025;M
2007;3690;4306;48936;46593;3143;Población;1248.86744;M
2007;3690;4306;48937;46593;3143;Población;33.0832025;M
2007;3690;4306;48939;46593;3143;Población;263.3318575;M
2007;3690;4306;48940;46593;3143;Población;1512.1992975;M
2007;3690;4306;48946;46593;3143;Población;1834.8838075;M
2007;3691;4191;48952;46593;3143;Población;942.6525325;M
2007;3691;4191;48934;46593;3143;Población;46.1884975;M
2007;3691;4191;48936;46593;3143;Población;379.9013775;M
2007;3691;4191;48937;46593;3143;Población;33.7808475;M
2007;3691;4191;48939;46593;3143;Población;114.8791575;M
2007;3691;4191;48940;46593;3143;Población;494.780535;M
2007;3691;4191;48946;46593;3143;Población;447.8719975;M
2007;3691;272250;48952;46593;3143;Población;1356.2414625;M
2007;3691;272250;48934;46593;3143;Población;92.7934125;M
2007;3691;272250;48936;46593;3143;Población;976.56418;M
2007;3691;272250;48937;46593;3143;Población;10.0682875;M
2007;3691;272250;48939;46593;3143;Población;137.7906125;M
2007;3691;272250;48940;46593;3143;Población;1114.3547925;M
2007;3691;272250;48946;46593;3143;Población;241.88667;M
2007;3691;4210;48952;46593;3143;Población;1315.312165;M
2007;3691;4210;48934;46593;3143;Población;66.384795;M
2007;3691;4210;48936;46593;3143;Población;920.3940925;M
2007;3691;4210;48937;46593;3143;Población;3.2657175;M
