D_TEMPORAL_0;D_CNO11_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2017;6038;3689;3143;Parados;2.21304;M
2017;6038;3690;3143;Parados;0.342695;M
2017;6038;3691;3143;Parados;2.555735;M
2017;6203;3689;3143;Parados;8.014925;M
2017;6203;3690;3143;Parados;15.3641025;M
2017;6203;3691;3143;Parados;23.3790275;M
2017;6333;3689;3143;Parados;14.5888125;M
2017;6333;3690;3143;Parados;8.78055;M
2017;6333;3691;3143;Parados;23.3693625;M
2017;6375;3689;3143;Parados;7.847675;M
2017;6375;3690;3143;Parados;10.3077725;M
2017;6375;3691;3143;Parados;18.1554475;M
2017;6463;3689;3143;Parados;49.624725;M
2017;6463;3690;3143;Parados;70.3101575;M
2017;6463;3691;3143;Parados;119.9348825;M
2017;6489;3689;3143;Parados;5.7345975;M
2017;6489;3690;3143;Parados;2.1218275;M
2017;6489;3691;3143;Parados;7.856425;M
2017;6601;3689;3143;Parados;51.859035;M
2017;6601;3690;3143;Parados;11.4561175;M
2017;6601;3691;3143;Parados;63.3151525;M
2017;6667;3689;3143;Parados;17.6665225;M
2017;6667;3690;3143;Parados;2.98859;M
2017;6667;3691;3143;Parados;20.6551125;M
2017;6726;3689;3143;Parados;111.5444925;M
2017;6726;3690;3143;Parados;113.536375;M
2017;6726;3691;3143;Parados;225.0808675;M
2017;5989;3689;3143;Parados;0.0896;M
2017;5989;3690;3143;Parados;;M
2017;5989;3691;3143;Parados;0.0896;M
2017;6728;3689;3143;Parados;44.807885;M
2017;6728;3690;3143;Parados;52.3141725;M
2017;6728;3691;3143;Parados;97.1220575;M
2017;6744;3689;3143;Parados;185.1814275;M
2017;6744;3690;3143;Parados;222.99073;M
2017;6744;3691;3143;Parados;408.1721575;M
2017;6727;3689;3143;Parados;499.1727375;M
2017;6727;3690;3143;Parados;510.51309;M
2017;6727;3691;3143;Parados;1009.6858275;M
2018;6038;3689;3143;Parados;1.3972375;M
2018;6038;3690;3143;Parados;0.96572;M
2018;6038;3691;3143;Parados;2.3629575;M
2018;6203;3689;3143;Parados;7.04678;M
2018;6203;3690;3143;Parados;14.3994375;M
2018;6203;3691;3143;Parados;21.4462175;M
2018;6333;3689;3143;Parados;12.847035;M
2018;6333;3690;3143;Parados;8.28237;M
2018;6333;3691;3143;Parados;21.129405;M
2018;6375;3689;3143;Parados;6.5164375;M
2018;6375;3690;3143;Parados;13.63733;M
2018;6375;3691;3143;Parados;20.1537675;M
2018;6463;3689;3143;Parados;43.1770475;M
2018;6463;3690;3143;Parados;62.64097;M
2018;6463;3691;3143;Parados;105.8180175;M
2018;6489;3689;3143;Parados;6.81022;M
2018;6489;3690;3143;Parados;2.6572175;M
2018;6489;3691;3143;Parados;9.4674375;M
2018;6601;3689;3143;Parados;42.5253175;M
2018;6601;3690;3143;Parados;8.4602475;M
2018;6601;3691;3143;Parados;50.985565;M
2018;6667;3689;3143;Parados;16.3845125;M
2018;6667;3690;3143;Parados;2.8786875;M
2018;6667;3691;3143;Parados;19.2632;M
2018;6726;3689;3143;Parados;96.605555;M
2018;6726;3690;3143;Parados;106.146475;M
2018;6726;3691;3143;Parados;202.75203;M
2018;5989;3689;3143;Parados;0.379805;M
2018;5989;3690;3143;Parados;;M
2018;5989;3691;3143;Parados;0.379805;M
2018;6728;3689;3143;Parados;44.5170875;M
2018;6728;3690;3143;Parados;48.893145;M
2018;6728;3691;3143;Parados;93.4102325;M
2018;6744;3689;3143;Parados;149.62344;M
2018;6744;3690;3143;Parados;207.84533;M
2018;6744;3691;3143;Parados;357.46877;M
2018;6727;3689;3143;Parados;427.830475;M
2018;6727;3690;3143;Parados;476.80693;M
2018;6727;3691;3143;Parados;904.637405;M
2019;6038;3689;3143;Parados;1.0474175;M
2019;6038;3690;3143;Parados;0.7622625;M
2019;6038;3691;3143;Parados;1.80968;M
2019;6203;3689;3143;Parados;9.4048525;M
2019;6203;3690;3143;Parados;13.4656925;M
2019;6203;3691;3143;Parados;22.870545;M
2019;6333;3689;3143;Parados;11.3566425;M
2019;6333;3690;3143;Parados;7.6265975;M
2019;6333;3691;3143;Parados;18.98324;M
2019;6375;3689;3143;Parados;5.3645225;M
2019;6375;3690;3143;Parados;13.94704;M
2019;6375;3691;3143;Parados;19.3115625;M
2019;6463;3689;3143;Parados;38.8776725;M
2019;6463;3690;3143;Parados;64.947345;M
2019;6463;3691;3143;Parados;103.8250175;M
2019;6489;3689;3143;Parados;6.6239225;M
2019;6489;3690;3143;Parados;1.642465;M
2019;6489;3691;3143;Parados;8.2663875;M
2019;6601;3689;3143;Parados;45.1224975;M
2019;6601;3690;3143;Parados;9.7511725;M
2019;6601;3691;3143;Parados;54.87367;M
2019;6667;3689;3143;Parados;13.741725;M
2019;6667;3690;3143;Parados;4.9752325;M
2019;6667;3691;3143;Parados;18.7169575;M
2019;6726;3689;3143;Parados;99.896855;M
2019;6726;3690;3143;Parados;110.611985;M
2019;6726;3691;3143;Parados;210.50884;M
2019;5989;3689;3143;Parados;0.2438125;M
2019;5989;3690;3143;Parados;;M
2019;5989;3691;3143;Parados;0.2438125;M
2019;6728;3689;3143;Parados;35.8913675;M
2019;6728;3690;3143;Parados;44.57384;M
2019;6728;3691;3143;Parados;80.4652075;M
2019;6744;3689;3143;Parados;118.224;M
2019;6744;3690;3143;Parados;180.5480425;M
2019;6744;3691;3143;Parados;298.7720425;M
2019;6727;3689;3143;Parados;385.7952875;M
2019;6727;3690;3143;Parados;452.851675;M
2019;6727;3691;3143;Parados;838.6469625;M
2020;6038;3689;3143;Parados;3.156935;M
2020;6038;3690;3143;Parados;1.0111675;M
2020;6038;3691;3143;Parados;4.1681025;M
2020;6203;3689;3143;Parados;9.9054375;M
2020;6203;3690;3143;Parados;17.732735;M
2020;6203;3691;3143;Parados;27.6381725;M
2020;6333;3689;3143;Parados;16.018645;M
2020;6333;3690;3143;Parados;12.8163925;M
2020;6333;3691;3143;Parados;28.8350375;M
2020;6375;3689;3143;Parados;7.472105;M
2020;6375;3690;3143;Parados;20.04272;M
2020;6375;3691;3143;Parados;27.514825;M
2020;6463;3689;3143;Parados;53.4885625;M
2020;6463;3690;3143;Parados;73.2208725;M
2020;6463;3691;3143;Parados;126.709435;M
2020;6489;3689;3143;Parados;4.2538425;M
2020;6489;3690;3143;Parados;1.37778;M
2020;6489;3691;3143;Parados;5.6316225;M
2020;6601;3689;3143;Parados;42.673545;M
2020;6601;3690;3143;Parados;10.266095;M
2020;6601;3691;3143;Parados;52.93964;M
2020;6667;3689;3143;Parados;17.82998;M
2020;6667;3690;3143;Parados;4.3136175;M
2020;6667;3691;3143;Parados;22.1435975;M
2020;6726;3689;3143;Parados;103.0158975;M
2020;6726;3690;3143;Parados;107.707555;M
2020;6726;3691;3143;Parados;210.7234525;M
2020;5989;3689;3143;Parados;0.5709125;M
2020;5989;3690;3143;Parados;;M
2020;5989;3691;3143;Parados;0.5709125;M
2020;6728;3689;3143;Parados;31.8491525;M
2020;6728;3690;3143;Parados;41.7519325;M
2020;6728;3691;3143;Parados;73.601085;M
2020;6744;3689;3143;Parados;113.0384775;M
2020;6744;3690;3143;Parados;172.6660225;M
2020;6744;3691;3143;Parados;285.7045;M
2020;6727;3689;3143;Parados;403.2734925;M
2020;6727;3690;3143;Parados;462.90689;M
2020;6727;3691;3143;Parados;866.1803825;M
2021;6038;3689;3143;Parados;2.1177175;M
2021;6038;3690;3143;Parados;0.4915825;M
2021;6038;3691;3143;Parados;2.6093;M
2021;6203;3689;3143;Parados;7.58551;M
