D_TEMPORAL_0;D_SEXO_0;D_CNO11_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2011;3690;6601;4305;3143;Ocupados;0.0633025;M
2011;3690;6601;4306;3143;Ocupados;27.906035;M
2011;3690;6667;4191;3143;Ocupados;4.2550425;M
2011;3690;6667;4210;3143;Ocupados;4.92952;M
2011;3690;6667;4235;3143;Ocupados;3.18136;M
2011;3690;6667;4305;3143;Ocupados;;M
2011;3690;6667;4306;3143;Ocupados;12.3659225;M
2011;3690;6726;4191;3143;Ocupados;35.4357425;M
2011;3690;6726;4210;3143;Ocupados;109.732455;M
2011;3690;6726;4235;3143;Ocupados;102.6745225;M
2011;3690;6726;4305;3143;Ocupados;1.362795;M
2011;3690;6726;4306;3143;Ocupados;249.205515;M
2011;3690;5989;4191;3143;Ocupados;2.2776775;M
2011;3690;5989;4210;3143;Ocupados;1.804805;M
2011;3690;5989;4235;3143;Ocupados;;M
2011;3690;5989;4305;3143;Ocupados;;M
2011;3690;5989;4306;3143;Ocupados;4.0824825;M
2011;3690;6727;4191;3143;Ocupados;242.9691925;M
2011;3690;6727;4210;3143;Ocupados;556.9452275;M
2011;3690;6727;4235;3143;Ocupados;386.1345225;M
2011;3690;6727;4305;3143;Ocupados;9.5400275;M
2011;3690;6727;4306;3143;Ocupados;1195.58897;M
2011;3691;6038;4191;3143;Ocupados;5.8800975;M
2011;3691;6038;4210;3143;Ocupados;52.8680525;M
2011;3691;6038;4235;3143;Ocupados;50.47572;M
2011;3691;6038;4305;3143;Ocupados;3.360635;M
2011;3691;6038;4306;3143;Ocupados;112.584505;M
2011;3691;6203;4191;3143;Ocupados;55.0661925;M
2011;3691;6203;4210;3143;Ocupados;187.730195;M
2011;3691;6203;4235;3143;Ocupados;154.98026;M
2011;3691;6203;4305;3143;Ocupados;4.1984975;M
2011;3691;6203;4306;3143;Ocupados;401.975145;M
2011;3691;6333;4191;3143;Ocupados;39.22083;M
2011;3691;6333;4210;3143;Ocupados;132.4271675;M
2011;3691;6333;4235;3143;Ocupados;83.8312625;M
2011;3691;6333;4305;3143;Ocupados;1.151315;M
2011;3691;6333;4306;3143;Ocupados;256.630575;M
2011;3691;6375;4191;3143;Ocupados;46.50987;M
2011;3691;6375;4210;3143;Ocupados;128.16965;M
2011;3691;6375;4235;3143;Ocupados;78.6811575;M
2011;3691;6375;4305;3143;Ocupados;0.7451575;M
2011;3691;6375;4306;3143;Ocupados;254.105835;M
2011;3691;6463;4191;3143;Ocupados;160.428055;M
2011;3691;6463;4210;3143;Ocupados;295.4826275;M
2011;3691;6463;4235;3143;Ocupados;232.4094075;M
2011;3691;6463;4305;3143;Ocupados;7.6030775;M
2011;3691;6463;4306;3143;Ocupados;695.9231675;M
2011;3691;6489;4191;3143;Ocupados;9.0353825;M
