D_TEMPORAL_0;D_EPA_ESTRUCHOGAR_0;D_EPA_RELACTIVIDAD_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2006;48981;48946;3691;3143;Población;339.468925;M
2006;48978;48952;3689;3143;Población;23.4141575;M
2006;48978;48952;3690;3143;Población;14.3249525;M
2006;48978;48952;3691;3143;Población;37.73911;M
2006;48978;48940;3689;3143;Población;22.2444625;M
2006;48978;48940;3690;3143;Población;12.094755;M
2006;48978;48940;3691;3143;Población;34.3392175;M
2006;48978;48936;3689;3143;Población;19.0097975;M
2006;48978;48936;3690;3143;Población;10.2496475;M
2006;48978;48936;3691;3143;Población;29.259445;M
2006;48978;48939;3689;3143;Población;3.234665;M
2006;48978;48939;3690;3143;Población;1.8451075;M
2006;48978;48939;3691;3143;Población;5.0797725;M
2006;48978;48946;3689;3143;Población;1.169695;M
2006;48978;48946;3690;3143;Población;2.2301975;M
2006;48978;48946;3691;3143;Población;3.3998925;M
2006;48979;48952;3689;3143;Población;140.671465;M
2006;48979;48952;3690;3143;Población;98.526955;M
2006;48979;48952;3691;3143;Población;239.19842;M
2006;48979;48940;3689;3143;Población;107.624795;M
2006;48979;48940;3690;3143;Población;61.92415;M
2006;48979;48940;3691;3143;Población;169.548945;M
2006;48979;48936;3689;3143;Población;95.38283;M
2006;48979;48936;3690;3143;Población;56.740505;M
2006;48979;48936;3691;3143;Población;152.123335;M
2006;48979;48939;3689;3143;Población;12.241965;M
2006;48979;48939;3690;3143;Población;5.183645;M
2006;48979;48939;3691;3143;Población;17.42561;M
2006;48979;48946;3689;3143;Población;33.04667;M
2006;48979;48946;3690;3143;Población;36.602805;M
2006;48979;48946;3691;3143;Población;69.649475;M
2006;48980;48952;3689;3143;Población;70.6763975;M
2006;48980;48952;3690;3143;Población;198.6878225;M
2006;48980;48952;3691;3143;Población;269.36422;M
2006;48980;48940;3689;3143;Población;1.759025;M
2006;48980;48940;3690;3143;Población;1.1856375;M
2006;48980;48940;3691;3143;Población;2.9446625;M
2006;48980;48936;3689;3143;Población;1.6225425;M
2006;48980;48936;3690;3143;Población;0.945255;M
2006;48980;48936;3691;3143;Población;2.5677975;M
2006;48980;48939;3689;3143;Población;0.1364825;M
2006;48980;48939;3690;3143;Población;0.2403825;M
2006;48980;48939;3691;3143;Población;0.376865;M
2006;48980;48946;3689;3143;Población;68.9173725;M
2006;48980;48946;3690;3143;Población;197.502185;M
2006;48980;48946;3691;3143;Población;266.4195575;M
2006;48983;48952;3689;3143;Población;158.5088725;M
2006;48983;48952;3690;3143;Población;166.464265;M
2006;48983;48952;3691;3143;Población;324.9731375;M
2006;48983;48940;3689;3143;Población;99.216225;M
2006;48983;48940;3690;3143;Población;65.15202;M
2006;48983;48940;3691;3143;Población;164.368245;M
2006;48983;48936;3689;3143;Población;86.824235;M
2006;48983;48936;3690;3143;Población;57.04457;M
2006;48983;48936;3691;3143;Población;143.868805;M
2006;48983;48939;3689;3143;Población;12.39199;M
2006;48983;48939;3690;3143;Población;8.10745;M
