D_TEMPORAL_0;D_SEXO_0;D_EPA_NACIONALIDAD_0;D_EDAD_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2015;3689;46944;4191;3143;Activos;388.1528525;M
2015;3689;46944;4210;3143;Activos;939.6109025;M
2015;3689;46944;4235;3143;Activos;868.415985;M
2015;3689;46944;4305;3143;Activos;11.2372775;M
2015;3689;46944;4306;3143;Activos;2207.4170175;M
2015;3690;46925;4191;3143;Activos;316.38624;M
2015;3690;46925;4210;3143;Activos;705.211275;M
2015;3690;46925;4235;3143;Activos;623.61686;M
2015;3690;46925;4305;3143;Activos;7.3684175;M
2015;3690;46925;4306;3143;Activos;1652.5827925;M
2015;3690;46943;4191;3143;Activos;37.517585;M
2015;3690;46943;4210;3143;Activos;96.1804525;M
2015;3690;46943;4235;3143;Activos;44.9915;M
2015;3690;46943;4305;3143;Activos;3.6815975;M
2015;3690;46943;4306;3143;Activos;182.371135;M
2015;3690;46944;4191;3143;Activos;353.903825;M
2015;3690;46944;4210;3143;Activos;801.3917275;M
2015;3690;46944;4235;3143;Activos;668.60836;M
2015;3690;46944;4305;3143;Activos;11.050015;M
2015;3690;46944;4306;3143;Activos;1834.9539275;M
2015;3691;46925;4191;3143;Activos;670.1097575;M
2015;3691;46925;4210;3143;Activos;1537.0696175;M
2015;3691;46925;4235;3143;Activos;1444.265365;M
2015;3691;46925;4305;3143;Activos;18.009435;M
2015;3691;46925;4306;3143;Activos;3669.454175;M
2015;3691;46943;4191;3143;Activos;71.94692;M
2015;3691;46943;4210;3143;Activos;203.9330125;M
2015;3691;46943;4235;3143;Activos;92.75898;M
2015;3691;46943;4305;3143;Activos;4.2778575;M
2015;3691;46943;4306;3143;Activos;372.91677;M
2015;3691;46944;4191;3143;Activos;742.0566775;M
2015;3691;46944;4210;3143;Activos;1741.00263;M
2015;3691;46944;4235;3143;Activos;1537.024345;M
2015;3691;46944;4305;3143;Activos;22.2872925;M
2015;3691;46944;4306;3143;Activos;4042.370945;M
2016;3689;46925;4191;3143;Activos;341.406525;M
2016;3689;46925;4210;3143;Activos;820.48999;M
2016;3689;46925;4235;3143;Activos;831.8680675;M
2016;3689;46925;4305;3143;Activos;11.01033;M
2016;3689;46925;4306;3143;Activos;2004.7749125;M
2016;3689;46943;4191;3143;Activos;31.5656575;M
2016;3689;46943;4210;3143;Activos;93.980435;M
2016;3689;46943;4235;3143;Activos;50.45389;M
2016;3689;46943;4305;3143;Activos;1.0303775;M
2016;3689;46943;4306;3143;Activos;177.03036;M
2016;3689;46944;4191;3143;Activos;372.9721825;M
2016;3689;46944;4210;3143;Activos;914.470425;M
2016;3689;46944;4235;3143;Activos;882.3219575;M
2016;3689;46944;4305;3143;Activos;12.0407075;M
2016;3689;46944;4306;3143;Activos;2181.8052725;M
2016;3690;46925;4191;3143;Activos;296.749575;M
2016;3690;46925;4210;3143;Activos;688.790765;M
