D_TEMPORAL_0;D_CNAE09_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2016;6950;3690;3143;Parados;61.44577;M
2016;6950;3691;3143;Parados;105.388135;M
2016;6949;3689;3143;Parados;571.6602925;M
2016;6949;3690;3143;Parados;579.41958;M
2016;6949;3691;3143;Parados;1151.0798725;M
2017;6980;3689;3143;Parados;73.5705175;M
2017;6980;3690;3143;Parados;53.5555275;M
2017;6980;3691;3143;Parados;127.126045;M
2017;7057;3689;3143;Parados;16.946465;M
2017;7057;3690;3143;Parados;9.09565;M
2017;7057;3691;3143;Parados;26.042115;M
2017;7662;3689;3143;Parados;39.7022725;M
2017;7662;3690;3143;Parados;0.6962;M
2017;7662;3691;3143;Parados;40.3984725;M
2017;7715;3689;3143;Parados;138.96417;M
2017;7715;3690;3143;Parados;171.86081;M
2017;7715;3691;3143;Parados;310.82498;M
2017;7716;3689;3143;Parados;57.85459;M
2017;7716;3690;3143;Parados;75.5007725;M
2017;7716;3691;3143;Parados;133.3553625;M
2017;7889;3689;3143;Parados;12.504245;M
2017;7889;3690;3143;Parados;2.4387375;M
2017;7889;3691;3143;Parados;14.9429825;M
2017;8032;3689;3143;Parados;17.3419225;M
2017;8032;3690;3143;Parados;19.7150925;M
2017;8032;3691;3143;Parados;37.057015;M
2017;8256;3689;3143;Parados;35.2777825;M
2017;8256;3690;3143;Parados;49.2299825;M
2017;8256;3691;3143;Parados;84.507765;M
2017;8346;3689;3143;Parados;15.98563;M
2017;8346;3690;3143;Parados;24.976225;M
2017;8346;3691;3143;Parados;40.961855;M
2017;8456;3689;3143;Parados;185.1814275;M
2017;8456;3690;3143;Parados;222.99073;M
2017;8456;3691;3143;Parados;408.1721575;M
2017;6950;3689;3143;Parados;44.807885;M
2017;6950;3690;3143;Parados;52.3141725;M
2017;6950;3691;3143;Parados;97.1220575;M
2017;6949;3689;3143;Parados;499.1727375;M
2017;6949;3690;3143;Parados;510.51309;M
2017;6949;3691;3143;Parados;1009.6858275;M
