TIME_PERIOD,REF_AREA,D_REL_RESIDENANT_0,INDICATOR,OBS_VALUE,FREQ
2020,2385,61634,MARRIAGE,3.0,A
2020,2385,61636,MARRIAGE,99.0,A
2020,2387,61638,MARRIAGE,1.0,A
2020,2387,61636,MARRIAGE,1.0,A
2020,2388,61638,MARRIAGE,31.0,A
2020,2388,61631,MARRIAGE,5.0,A
2020,2388,61635,MARRIAGE,4.0,A
2020,2388,61633,MARRIAGE,2.0,A
2020,2388,61634,MARRIAGE,2.0,A
2020,2388,61636,MARRIAGE,22.0,A
2020,2390,61638,MARRIAGE,10.0,A
2020,2390,61631,MARRIAGE,1.0,A
2020,2390,61636,MARRIAGE,9.0,A
2020,2391,61638,MARRIAGE,38.0,A
2020,2391,61631,MARRIAGE,2.0,A
2020,2391,61635,MARRIAGE,4.0,A
2020,2391,61633,MARRIAGE,3.0,A
2020,2391,61634,MARRIAGE,1.0,A
2020,2391,61636,MARRIAGE,32.0,A
2020,2392,61638,MARRIAGE,33.0,A
2020,2392,61631,MARRIAGE,1.0,A
2020,2392,61635,MARRIAGE,3.0,A
2020,2392,61633,MARRIAGE,1.0,A
2020,2392,61634,MARRIAGE,2.0,A
2020,2392,61636,MARRIAGE,29.0,A
2020,2394,61638,MARRIAGE,20.0,A
2020,2394,61635,MARRIAGE,2.0,A
2020,2394,61633,MARRIAGE,2.0,A
2020,2394,61636,MARRIAGE,18.0,A
2020,2395,61638,MARRIAGE,4.0,A
2020,2395,61631,MARRIAGE,1.0,A
2020,2395,61636,MARRIAGE,3.0,A
2020,ES613,61638,MARRIAGE,1224.0,A
2020,ES613,61631,MARRIAGE,33.0,A
2020,ES613,61635,MARRIAGE,166.0,A
2020,ES613,61633,MARRIAGE,101.0,A
2020,ES613,61634,MARRIAGE,65.0,A
2020,ES613,61636,MARRIAGE,1025.0,A
2020,2403,61638,MARRIAGE,5.0,A
2020,2403,61635,MARRIAGE,3.0,A
2020,2403,61633,MARRIAGE,2.0,A
2020,2403,61634,MARRIAGE,1.0,A
2020,2403,61636,MARRIAGE,2.0,A
2020,2404,61638,MARRIAGE,8.0,A
2020,2404,61636,MARRIAGE,8.0,A
2020,2405,61638,MARRIAGE,2.0,A
2020,2405,61631,MARRIAGE,1.0,A
