D_TEMPORAL_0;D_SEXO_0;D_TERRITORIO_0;INDICATOR;OBS_VALUE;FREQ
2020;3690;2574;Nacimientos;909.0;A
2020;3690;2575;Nacimientos;10.0;A
2020;3690;2576;Nacimientos;70.0;A
2020;3690;2701;Nacimientos;;A
2020;3690;2580;Nacimientos;24.0;A
2020;3690;2581;Nacimientos;8.0;A
2020;3690;2582;Nacimientos;9.0;A
2020;3690;2583;Nacimientos;1.0;A
2020;3690;2584;Nacimientos;4.0;A
2020;3690;2585;Nacimientos;33.0;A
2020;3690;2586;Nacimientos;6.0;A
2020;3690;2587;Nacimientos;45.0;A
2020;3690;2588;Nacimientos;34.0;A
2020;3690;2589;Nacimientos;32.0;A
2020;3690;2590;Nacimientos;7.0;A
2020;3690;2592;Nacimientos;29.0;A
2020;3690;2593;Nacimientos;;A
2020;3690;2594;Nacimientos;2.0;A
2020;3690;2595;Nacimientos;6.0;A
2020;3690;2596;Nacimientos;4.0;A
2020;3690;2598;Nacimientos;17.0;A
2020;3690;2599;Nacimientos;1.0;A
2020;3690;2603;Nacimientos;26.0;A
2020;3690;2604;Nacimientos;9.0;A
2020;3690;2605;Nacimientos;2.0;A
2020;3690;2607;Nacimientos;2.0;A
2020;3690;2608;Nacimientos;2.0;A
2020;3690;2609;Nacimientos;;A
2020;3690;2610;Nacimientos;75.0;A
2020;3690;2611;Nacimientos;;A
2020;3690;2612;Nacimientos;3.0;A
2020;3690;2614;Nacimientos;5.0;A
2020;3690;2616;Nacimientos;71.0;A
2020;3690;2617;Nacimientos;3.0;A
2020;3690;2621;Nacimientos;18.0;A
2020;3690;2622;Nacimientos;12.0;A
2020;3690;2623;Nacimientos;29.0;A
2020;3690;2624;Nacimientos;22.0;A
2020;3690;2625;Nacimientos;8.0;A
2020;3690;2626;Nacimientos;1.0;A
2020;3690;2627;Nacimientos;6.0;A
2020;3690;2704;Nacimientos;5.0;A
2020;3690;2629;Nacimientos;250.0;A
2020;3690;2630;Nacimientos;;A
2020;3690;2698;Nacimientos;3.0;A
2020;3690;2632;Nacimientos;3.0;A
2020;3690;2633;Nacimientos;3.0;A
2020;3690;2634;Nacimientos;59.0;A
2020;3690;2635;Nacimientos;3.0;A
2020;3690;2636;Nacimientos;22.0;A
2020;3690;2637;Nacimientos;2.0;A
2020;3690;2639;Nacimientos;38.0;A
2020;3690;2640;Nacimientos;3.0;A
2020;3690;2641;Nacimientos;9.0;A
2020;3690;2642;Nacimientos;48.0;A
2020;3690;2643;Nacimientos;3.0;A
2020;3690;2705;Nacimientos;2.0;A
2020;3690;2646;Nacimientos;7.0;A
2020;3690;2647;Nacimientos;48.0;A
2020;3690;2648;Nacimientos;2.0;A
2020;3690;2650;Nacimientos;;A
2020;3690;2651;Nacimientos;7.0;A
2020;3690;2652;Nacimientos;1.0;A
2020;3690;2653;Nacimientos;6.0;A
2020;3690;2654;Nacimientos;18.0;A
2020;3690;2656;Nacimientos;8.0;A
2020;3690;2657;Nacimientos;4.0;A
2020;3690;2660;Nacimientos;5.0;A
2020;3690;2662;Nacimientos;32.0;A
2020;3690;2663;Nacimientos;3.0;A
2020;3690;2664;Nacimientos;53.0;A
2020;3690;2665;Nacimientos;;A
2020;3690;2666;Nacimientos;2.0;A
2020;3690;2696;Nacimientos;2.0;A
