D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2014;2279;215041;3689;Nacimientos;3.0;A
2014;2279;215041;3690;Nacimientos;7.0;A
2014;2279;4210;3691;Nacimientos;1.0;A
2014;2279;4210;3690;Nacimientos;1.0;A
2014;2347;4306;3691;Nacimientos;1149.0;A
2014;2347;4306;3689;Nacimientos;586.0;A
2014;2347;4306;3690;Nacimientos;563.0;A
2014;2347;4191;3691;Nacimientos;45.0;A
2014;2347;4191;3689;Nacimientos;24.0;A
2014;2347;4191;3690;Nacimientos;21.0;A
2014;2347;215038;3691;Nacimientos;139.0;A
2014;2347;215038;3689;Nacimientos;75.0;A
2014;2347;215038;3690;Nacimientos;64.0;A
2014;2347;215039;3691;Nacimientos;315.0;A
2014;2347;215039;3689;Nacimientos;169.0;A
2014;2347;215039;3690;Nacimientos;146.0;A
2014;2347;215040;3691;Nacimientos;370.0;A
2014;2347;215040;3689;Nacimientos;183.0;A
2014;2347;215040;3690;Nacimientos;187.0;A
2014;2347;215041;3691;Nacimientos;224.0;A
2014;2347;215041;3689;Nacimientos;105.0;A
2014;2347;215041;3690;Nacimientos;119.0;A
2014;2347;4210;3691;Nacimientos;53.0;A
2014;2347;4210;3689;Nacimientos;28.0;A
2014;2347;4210;3690;Nacimientos;25.0;A
2014;2347;4235;3691;Nacimientos;3.0;A
2014;2347;4235;3689;Nacimientos;2.0;A
2014;2347;4235;3690;Nacimientos;1.0;A
2014;2282;4306;3691;Nacimientos;2.0;A
2014;2282;4306;3689;Nacimientos;1.0;A
2014;2282;4306;3690;Nacimientos;1.0;A
2014;2282;215041;3691;Nacimientos;2.0;A
2014;2282;215041;3689;Nacimientos;1.0;A
2014;2282;215041;3690;Nacimientos;1.0;A
2014;2284;4306;3691;Nacimientos;1.0;A
2014;2284;4306;3689;Nacimientos;1.0;A
2014;2284;215041;3691;Nacimientos;1.0;A
2014;2284;215041;3689;Nacimientos;1.0;A
2014;2285;4306;3691;Nacimientos;21.0;A
2014;2285;4306;3689;Nacimientos;9.0;A
2014;2285;4306;3690;Nacimientos;12.0;A
2014;2285;215038;3691;Nacimientos;1.0;A
2014;2285;215038;3689;Nacimientos;1.0;A
2014;2285;215039;3691;Nacimientos;8.0;A
2014;2285;215039;3689;Nacimientos;4.0;A
2014;2285;215039;3690;Nacimientos;4.0;A
2014;2285;215040;3691;Nacimientos;9.0;A
2014;2285;215040;3689;Nacimientos;3.0;A
2014;2285;215040;3690;Nacimientos;6.0;A
2014;2285;215041;3691;Nacimientos;3.0;A
2014;2285;215041;3689;Nacimientos;1.0;A
2014;2285;215041;3690;Nacimientos;2.0;A
2014;2286;4306;3691;Nacimientos;15.0;A
2014;2286;4306;3689;Nacimientos;6.0;A
2014;2286;4306;3690;Nacimientos;9.0;A
2014;2286;4191;3691;Nacimientos;1.0;A
2014;2286;4191;3689;Nacimientos;1.0;A
2014;2286;215038;3691;Nacimientos;1.0;A
2014;2286;215038;3690;Nacimientos;1.0;A
2014;2286;215039;3691;Nacimientos;3.0;A
2014;2286;215039;3689;Nacimientos;2.0;A
2014;2286;215039;3690;Nacimientos;1.0;A
2014;2286;215040;3691;Nacimientos;6.0;A
2014;2286;215040;3689;Nacimientos;2.0;A
2014;2286;215040;3690;Nacimientos;4.0;A
2014;2286;215041;3691;Nacimientos;4.0;A
2014;2286;215041;3689;Nacimientos;1.0;A
2014;2286;215041;3690;Nacimientos;3.0;A
2014;2287;4306;3691;Nacimientos;9.0;A
2014;2287;4306;3689;Nacimientos;5.0;A
2014;2287;4306;3690;Nacimientos;4.0;A
2014;2287;215038;3691;Nacimientos;1.0;A
2014;2287;215038;3690;Nacimientos;1.0;A
2014;2287;215039;3691;Nacimientos;2.0;A
2014;2287;215039;3689;Nacimientos;1.0;A
2014;2287;215039;3690;Nacimientos;1.0;A
2014;2287;215040;3691;Nacimientos;2.0;A
2014;2287;215040;3689;Nacimientos;2.0;A
2014;2287;215041;3691;Nacimientos;3.0;A
2014;2287;215041;3689;Nacimientos;1.0;A
2014;2287;215041;3690;Nacimientos;2.0;A
2014;2287;4210;3691;Nacimientos;1.0;A
2014;2287;4210;3689;Nacimientos;1.0;A
2014;2288;4306;3691;Nacimientos;32.0;A
2014;2288;4306;3689;Nacimientos;22.0;A
2014;2288;4306;3690;Nacimientos;10.0;A
2014;2288;4191;3691;Nacimientos;4.0;A
2014;2288;4191;3689;Nacimientos;2.0;A
2014;2288;4191;3690;Nacimientos;2.0;A
2014;2288;215038;3691;Nacimientos;6.0;A
2014;2288;215038;3689;Nacimientos;4.0;A
2014;2288;215038;3690;Nacimientos;2.0;A
2014;2288;215039;3691;Nacimientos;7.0;A
2014;2288;215039;3689;Nacimientos;5.0;A
2014;2288;215039;3690;Nacimientos;2.0;A
2014;2288;215040;3691;Nacimientos;7.0;A
2014;2288;215040;3689;Nacimientos;7.0;A
2014;2288;215041;3691;Nacimientos;6.0;A
2014;2288;215041;3689;Nacimientos;3.0;A
2014;2288;215041;3690;Nacimientos;3.0;A
2014;2288;4210;3691;Nacimientos;2.0;A
2014;2288;4210;3689;Nacimientos;1.0;A
2014;2288;4210;3690;Nacimientos;1.0;A
2014;2289;4306;3691;Nacimientos;18.0;A
2014;2289;4306;3689;Nacimientos;7.0;A
2014;2289;4306;3690;Nacimientos;11.0;A
2014;2289;215038;3691;Nacimientos;1.0;A
