D_TEMPORAL_0;D_TERRITORIO_0;D_DISTRIBUCION_MNP_0;INDICATOR;OBS_VALUE;FREQ
2010;3143;70394;Muertes fetales tardías;300.0;A
2009;2352;70395;Muertes fetales tardías;42.0;A
2009;2352;70391;Muertes fetales tardías;21.0;A
2009;2352;70394;Muertes fetales tardías;21.0;A
2009;2402;70395;Muertes fetales tardías;96.0;A
2009;2402;70391;Muertes fetales tardías;48.0;A
2009;2402;70394;Muertes fetales tardías;48.0;A
2009;2482;70395;Muertes fetales tardías;44.0;A
2009;2482;70391;Muertes fetales tardías;22.0;A
2009;2482;70394;Muertes fetales tardías;22.0;A
2009;2713;70395;Muertes fetales tardías;112.0;A
2009;2713;70391;Muertes fetales tardías;55.0;A
2009;2713;70394;Muertes fetales tardías;57.0;A
2009;2797;70395;Muertes fetales tardías;3.0;A
2009;2797;70391;Muertes fetales tardías;3.0;A
2009;2911;70395;Muertes fetales tardías;38.0;A
2009;2911;70391;Muertes fetales tardías;20.0;A
2009;2911;70394;Muertes fetales tardías;18.0;A
2009;3023;70395;Muertes fetales tardías;136.0;A
2009;3023;70391;Muertes fetales tardías;68.0;A
2009;3023;70394;Muertes fetales tardías;68.0;A
2009;3142;70395;Muertes fetales tardías;153.0;A
2009;3142;70391;Muertes fetales tardías;74.0;A
2009;3142;70394;Muertes fetales tardías;79.0;A
2009;3143;70395;Muertes fetales tardías;624.0;A
2009;3143;70391;Muertes fetales tardías;311.0;A
2009;3143;70394;Muertes fetales tardías;313.0;A
2008;2352;70395;Muertes fetales tardías;65.0;A
2008;2352;70391;Muertes fetales tardías;33.0;A
2008;2352;70394;Muertes fetales tardías;32.0;A
2008;2402;70395;Muertes fetales tardías;87.0;A
2008;2402;70391;Muertes fetales tardías;42.0;A
2008;2402;70394;Muertes fetales tardías;45.0;A
2008;2482;70395;Muertes fetales tardías;59.0;A
2008;2482;70391;Muertes fetales tardías;30.0;A
2008;2482;70394;Muertes fetales tardías;29.0;A
2008;2713;70395;Muertes fetales tardías;140.0;A
2008;2713;70391;Muertes fetales tardías;66.0;A
2008;2713;70394;Muertes fetales tardías;74.0;A
2008;2911;70395;Muertes fetales tardías;71.0;A
2008;2911;70391;Muertes fetales tardías;37.0;A
2008;2911;70394;Muertes fetales tardías;34.0;A
2008;3023;70395;Muertes fetales tardías;107.0;A
2008;3023;70391;Muertes fetales tardías;54.0;A
2008;3023;70394;Muertes fetales tardías;53.0;A
2008;3142;70395;Muertes fetales tardías;210.0;A
2008;3142;70391;Muertes fetales tardías;104.0;A
2008;3142;70394;Muertes fetales tardías;106.0;A
2008;3143;70395;Muertes fetales tardías;739.0;A
2008;3143;70391;Muertes fetales tardías;366.0;A
2008;3143;70394;Muertes fetales tardías;373.0;A
2007;2352;70395;Muertes fetales tardías;35.0;A
2007;2352;70391;Muertes fetales tardías;19.0;A
2007;2352;70394;Muertes fetales tardías;16.0;A
2007;2402;70395;Muertes fetales tardías;110.0;A
2007;2402;70391;Muertes fetales tardías;55.0;A
2007;2402;70394;Muertes fetales tardías;55.0;A
2007;2482;70395;Muertes fetales tardías;72.0;A
2007;2482;70391;Muertes fetales tardías;36.0;A
2007;2482;70394;Muertes fetales tardías;36.0;A
2007;2713;70395;Muertes fetales tardías;95.0;A
2007;2713;70391;Muertes fetales tardías;46.0;A
2007;2713;70394;Muertes fetales tardías;49.0;A
2007;2797;70395;Muertes fetales tardías;2.0;A
2007;2797;70391;Muertes fetales tardías;1.0;A
2007;2797;70394;Muertes fetales tardías;1.0;A
2007;2911;70395;Muertes fetales tardías;56.0;A
2007;2911;70391;Muertes fetales tardías;29.0;A
2007;2911;70394;Muertes fetales tardías;27.0;A
2007;3023;70395;Muertes fetales tardías;118.0;A
2007;3023;70391;Muertes fetales tardías;56.0;A
2007;3023;70394;Muertes fetales tardías;62.0;A
2007;3142;70395;Muertes fetales tardías;208.0;A
2007;3142;70391;Muertes fetales tardías;104.0;A
2007;3142;70394;Muertes fetales tardías;104.0;A
2007;3143;70395;Muertes fetales tardías;696.0;A
2007;3143;70391;Muertes fetales tardías;346.0;A
2007;3143;70394;Muertes fetales tardías;350.0;A
