D_TEMPORAL_0;D_TERRITORIO_0;D_NACIONACONYUGES_0;INDICATOR;OBS_VALUE;FREQ
2015;3143;5620;Divorcios;15280.9178;A
2015;3143;5629;Divorcios;1748.6729;A
2015;3143;5625;Divorcios;1299.9576;A
2015;3143;5623;Divorcios;678.9595;A
2015;3143;5624;Divorcios;620.9981;A
2015;3143;5628;Divorcios;448.7153;A
2015;3143;5626;Divorcios;282.0671;A
2015;3143;5627;Divorcios;166.6482;A
2015;2352;5630;Divorcios;1398.5163;A
2015;2352;5622;Divorcios;1105.221;A
2015;2352;5621;Divorcios;1105.221;A
2015;2352;5620;Divorcios;1105.221;A
2015;2352;5629;Divorcios;293.2953;A
2015;2352;5625;Divorcios;183.1578;A
2015;2352;5623;Divorcios;114.4686;A
2015;2352;5624;Divorcios;68.6892;A
2015;2352;5628;Divorcios;110.1375;A
2015;2352;5626;Divorcios;71.8464;A
2015;2352;5627;Divorcios;38.2911;A
2015;2402;5630;Divorcios;2355.5567;A
2015;2402;5622;Divorcios;2180.2137;A
2015;2402;5621;Divorcios;2180.2137;A
2015;2402;5620;Divorcios;2180.2137;A
2015;2402;5629;Divorcios;175.343;A
2015;2402;5625;Divorcios;148.2484;A
2015;2402;5623;Divorcios;84.8761;A
2015;2402;5624;Divorcios;63.3723;A
2015;2402;5628;Divorcios;27.0946;A
2015;2402;5626;Divorcios;14.3442;A
2015;2402;5627;Divorcios;12.7504;A
2015;2482;5630;Divorcios;1621.987;A
2015;2482;5622;Divorcios;1557.1289;A
2015;2482;5621;Divorcios;1557.1289;A
2015;2482;5620;Divorcios;1557.1289;A
2015;2482;5629;Divorcios;64.8581;A
2015;2482;5625;Divorcios;55.9211;A
2015;2482;5623;Divorcios;25.3215;A
2015;2482;5624;Divorcios;30.5996;A
2015;2482;5628;Divorcios;8.937;A
2015;2482;5626;Divorcios;7.4475;A
2015;2482;5627;Divorcios;1.4895;A
2015;2713;5630;Divorcios;1864.9266;A
2015;2713;5622;Divorcios;1694.7456;A
2015;2713;5621;Divorcios;1694.7456;A
2015;2713;5620;Divorcios;1694.7456;A
2015;2713;5629;Divorcios;170.181;A
2015;2713;5625;Divorcios;135.801;A
2015;2713;5623;Divorcios;72.198;A
2015;2713;5624;Divorcios;63.603;A
2015;2713;5628;Divorcios;34.38;A
2015;2713;5626;Divorcios;20.628;A
2015;2713;5627;Divorcios;13.752;A
2015;2797;5630;Divorcios;1022.9657;A
2015;2797;5622;Divorcios;971.6355;A
2015;2797;5621;Divorcios;971.6355;A
2015;2797;5620;Divorcios;971.6355;A
2015;2797;5629;Divorcios;51.3302;A
2015;2797;5625;Divorcios;43.4959;A
2015;2797;5623;Divorcios;31.2039;A
2015;2797;5624;Divorcios;12.292;A
2015;2797;5628;Divorcios;7.8343;A
2015;2797;5626;Divorcios;5.9436;A
2015;2797;5627;Divorcios;1.8907;A
2015;2911;5630;Divorcios;1197.5493;A
2015;2911;5622;Divorcios;1170.2055;A
2015;2911;5621;Divorcios;1170.2055;A
2015;2911;5620;Divorcios;1170.2055;A
2015;2911;5629;Divorcios;27.3438;A
2015;2911;5625;Divorcios;24.3056;A
2015;2911;5623;Divorcios;12.1528;A
2015;2911;5624;Divorcios;12.1528;A
2015;2911;5628;Divorcios;3.0382;A
2015;2911;5626;Divorcios;1.5191;A
2015;2911;5627;Divorcios;1.5191;A
2015;3023;5630;Divorcios;3560.4711;A
2015;3023;5622;Divorcios;2904.2666;A
2015;3023;5621;Divorcios;2904.2666;A
2015;3023;5620;Divorcios;2904.2666;A
2015;3023;5629;Divorcios;656.2045;A
2015;3023;5625;Divorcios;458.0464;A
2015;3023;5623;Divorcios;217.1976;A
2015;3023;5624;Divorcios;240.8488;A
2015;3023;5628;Divorcios;198.1581;A
