D_TEMPORAL_0;D_TERRITORIO_0;D_NUMHIJOSMENORED_0;INDICATOR;OBS_VALUE;FREQ
2015;3143;5642;Divorcios;42.8632;A
2015;3143;5660;Divorcios;7.462;A
2015;2352;5661;Divorcios;1398.5163;A
2015;2352;5634;Divorcios;681.8319;A
2015;2352;5636;Divorcios;369.3924;A
2015;2352;5638;Divorcios;306.2484;A
2015;2352;5640;Divorcios;34.7292;A
2015;2352;5642;Divorcios;4.7358;A
2015;2352;5660;Divorcios;1.5786;A
2015;2402;5661;Divorcios;2355.5567;A
2015;2402;5634;Divorcios;999.2329;A
2015;2402;5636;Divorcios;734.7418;A
2015;2402;5638;Divorcios;533.923;A
2015;2402;5640;Divorcios;84.4714;A
2015;2402;5642;Divorcios;3.1876;A
2015;2482;5661;Divorcios;1621.987;A
2015;2482;5634;Divorcios;674.665;A
2015;2482;5636;Divorcios;430.4655;A
2015;2482;5638;Divorcios;475.1505;A
2015;2482;5640;Divorcios;37.2375;A
2015;2482;5642;Divorcios;4.4685;A
2015;2713;5661;Divorcios;1864.9266;A
2015;2713;5634;Divorcios;842.1216;A
2015;2713;5636;Divorcios;488.196;A
2015;2713;5638;Divorcios;462.411;A
2015;2713;5640;Divorcios;65.322;A
2015;2713;5642;Divorcios;5.157;A
2015;2713;5660;Divorcios;1.719;A
2015;2797;5661;Divorcios;1022.9657;A
2015;2797;5634;Divorcios;403.3454;A
2015;2797;5636;Divorcios;312.039;A
2015;2797;5638;Divorcios;279.3492;A
2015;2797;5640;Divorcios;26.7462;A
2015;2797;5642;Divorcios;1.4859;A
2015;2911;5661;Divorcios;1197.5493;A
2015;2911;5634;Divorcios;542.8172;A
2015;2911;5636;Divorcios;355.4694;A
2015;2911;5638;Divorcios;262.8043;A
2015;2911;5640;Divorcios;34.9393;A
2015;2911;5642;Divorcios;1.5191;A
2015;3023;5661;Divorcios;3560.4711;A
2015;3023;5634;Divorcios;1801.9869;A
2015;3023;5636;Divorcios;901.6789;A
2015;3023;5638;Divorcios;740.4144;A
2015;3023;5640;Divorcios;95.3564;A
2015;3023;5642;Divorcios;18.2299;A
2015;3023;5660;Divorcios;2.8046;A
2015;3142;5661;Divorcios;4007.618;A
2015;3142;5634;Divorcios;1691.8786;A
2015;3142;5636;Divorcios;1189.825;A
2015;3142;5638;Divorcios;1003.5324;A
2015;3142;5640;Divorcios;116.9428;A
2015;3142;5642;Divorcios;4.0794;A
2015;3142;5660;Divorcios;1.3598;A
2014;3143;5661;Divorcios;17376.98787;A
2014;3143;5634;Divorcios;7428.1654;A
2014;3143;5636;Divorcios;5046.60286;A
2014;3143;5638;Divorcios;4263.84878;A
2014;3143;5640;Divorcios;581.93644;A
2014;3143;5642;Divorcios;45.93276;A
2014;3143;5660;Divorcios;10.50163;A
2014;2352;5661;Divorcios;1315.503;A
2014;2352;5634;Divorcios;570.852;A
2014;2352;5636;Divorcios;373.032;A
2014;2352;5638;Divorcios;322.164;A
2014;2352;5640;Divorcios;42.39;A
2014;2352;5642;Divorcios;4.239;A
2014;2352;5660;Divorcios;2.826;A
2014;2402;5661;Divorcios;2485.68082;A
2014;2402;5634;Divorcios;1003.89044;A
2014;2402;5636;Divorcios;758.92915;A
2014;2402;5638;Divorcios;619.16596;A
2014;2402;5640;Divorcios;94.67829;A
2014;2402;5642;Divorcios;7.51415;A
2014;2402;5660;Divorcios;1.50283;A
2014;2482;5661;Divorcios;1712.10316;A
2014;2482;5634;Divorcios;717.81757;A
2014;2482;5636;Divorcios;506.30288;A
2014;2482;5638;Divorcios;426.36032;A
2014;2482;5640;Divorcios;59.95692;A
2014;2482;5660;Divorcios;1.66547;A
2014;2713;5661;Divorcios;1848.68385;A
2014;2713;5634;Divorcios;785.34885;A
2014;2713;5636;Divorcios;537.7437;A
2014;2713;5638;Divorcios;442.04355;A
2014;2713;5640;Divorcios;80.50965;A
2014;2713;5642;Divorcios;3.0381;A
2014;2797;5661;Divorcios;1140.17566;A
2014;2797;5634;Divorcios;421.55378;A
2014;2797;5636;Divorcios;383.35931;A
2014;2797;5638;Divorcios;289.99505;A
2014;2797;5640;Divorcios;41.02369;A
2014;2797;5642;Divorcios;4.24383;A
2014;2911;5661;Divorcios;1180.1112;A
2014;2911;5634;Divorcios;478.5028;A
2014;2911;5636;Divorcios;364.0144;A
2014;2911;5638;Divorcios;306.7702;A
2014;2911;5640;Divorcios;29.356;A
2014;2911;5642;Divorcios;1.4678;A
2014;3023;5661;Divorcios;3567.8708;A
2014;3023;5634;Divorcios;1696.9927;A
2014;3023;5636;Divorcios;920.9486;A
2014;3023;5638;Divorcios;827.5657;A
2014;3023;5640;Divorcios;107.87335;A
2014;3023;5642;Divorcios;11.27035;A
2014;3023;5660;Divorcios;3.2201;A
2014;3142;5661;Divorcios;4126.85938;A
2014;3142;5634;Divorcios;1753.20726;A
2014;3142;5636;Divorcios;1202.27282;A
2014;3142;5638;Divorcios;1029.784;A
2014;3142;5640;Divorcios;126.14854;A
2014;3142;5642;Divorcios;14.15953;A
2014;3142;5660;Divorcios;1.28723;A
2013;3143;5661;Divorcios;16473.17478;A
2013;3143;5634;Divorcios;7220.07376;A
2013;3143;5636;Divorcios;4952.98014;A
2013;3143;5638;Divorcios;3768.42882;A
2013;3143;5640;Divorcios;496.23918;A
2013;3143;5642;Divorcios;27.20316;A
2013;3143;5660;Divorcios;8.24972;A
2013;2352;5661;Divorcios;1267.4696;A
2013;2352;5634;Divorcios;607.466;A
2013;2352;5636;Divorcios;338.2108;A
2013;2352;5638;Divorcios;284.0314;A
2013;2352;5640;Divorcios;32.836;A
2013;2352;5642;Divorcios;4.9254;A
2013;2402;5661;Divorcios;2358.7305;A
2013;2402;5634;Divorcios;1009.41945;A
2013;2402;5636;Divorcios;707.61915;A
2013;2402;5638;Divorcios;565.5093;A
2013;2402;5640;Divorcios;71.78745;A
2013;2402;5642;Divorcios;4.39515;A
2013;2482;5661;Divorcios;1452.76866;A
2013;2482;5634;Divorcios;609.05054;A
2013;2482;5636;Divorcios;486.96914;A
2013;2482;5638;Divorcios;322.83748;A
2013;2482;5640;Divorcios;31.19858;A
