D_TEMPORAL_0;D_TERRITORIO_0;D_CUSTODIA_0;INDICATOR;OBS_VALUE;FREQ
2011;2482;5105;Divorcios;1607.8291226;A
2011;2482;5101;Divorcios;37.20233286;A
2011;2482;5102;Divorcios;832.32715984;A
2011;2482;5103;Divorcios;42.16081364;A
2011;2482;5104;Divorcios;1.61994096;A
2011;2482;5107;Divorcios;694.5188753;A
2011;2713;5105;Divorcios;2058.63585768;A
2011;2713;5101;Divorcios;24.59173372;A
2011;2713;5102;Divorcios;1025.27890992;A
2011;2713;5103;Divorcios;61.27902572;A
2011;2713;5104;Divorcios;4.61690328;A
2011;2713;5107;Divorcios;942.86928504;A
2011;2797;5105;Divorcios;976.40048302;A
2011;2797;5101;Divorcios;25.35884998;A
2011;2797;5102;Divorcios;524.42902814;A
2011;2797;5103;Divorcios;54.27337469;A
2011;2797;5107;Divorcios;372.33923021;A
2011;2911;5105;Divorcios;1223.16206129;A
2011;2911;5101;Divorcios;36.83982926;A
2011;2911;5102;Divorcios;695.73200291;A
2011;2911;5103;Divorcios;25.50623028;A
2011;2911;5104;Divorcios;11.1857573;A
2011;2911;5107;Divorcios;453.89824154;A
2011;3023;5105;Divorcios;3827.02436747;A
2011;3023;5101;Divorcios;67.69251388;A
2011;3023;5102;Divorcios;1794.49410771;A
2011;3023;5103;Divorcios;205.34546502;A
2011;3023;5104;Divorcios;9.4774299;A
2011;3023;5107;Divorcios;1750.01485096;A
2011;3142;5105;Divorcios;4315.22527316;A
2011;3142;5101;Divorcios;92.2700674;A
2011;3142;5102;Divorcios;2178.73241138;A
2011;3142;5103;Divorcios;189.22978692;A
2011;3142;5104;Divorcios;8.42167354;A
2011;3142;5107;Divorcios;1846.57133392;A
2010;3143;5105;Divorcios;18373.44232079;A
2010;3143;5101;Divorcios;528.57437298;A
2010;3143;5102;Divorcios;9060.13192581;A
2010;3143;5103;Divorcios;674.76684729;A
2010;3143;5104;Divorcios;45.65789335;A
2010;3143;5107;Divorcios;8064.31128136;A
2010;2352;5105;Divorcios;1362.40772485;A
2010;2352;5101;Divorcios;50.1040771;A
2010;2352;5102;Divorcios;626.72568866;A
2010;2352;5103;Divorcios;47.66313438;A
2010;2352;5107;Divorcios;637.91482471;A
2010;2402;5105;Divorcios;2718.61775842;A
2010;2402;5101;Divorcios;70.13503908;A
2010;2402;5102;Divorcios;1363.30349778;A
2010;2402;5103;Divorcios;74.17001304;A
2010;2402;5104;Divorcios;5.98748544;A
2010;2402;5107;Divorcios;1205.02172308;A
2010;2482;5105;Divorcios;1659.02026916;A
2010;2482;5101;Divorcios;46.03372363;A
2010;2482;5102;Divorcios;868.4194442;A
2010;2482;5103;Divorcios;25.22275663;A
2010;2482;5104;Divorcios;7.63648189;A
2010;2482;5107;Divorcios;711.70786281;A
2010;2713;5105;Divorcios;2005.38373943;A
2010;2713;5101;Divorcios;29.24673148;A
2010;2713;5102;Divorcios;1020.22030304;A
2010;2713;5103;Divorcios;58.21932227;A
2010;2713;5104;Divorcios;1.38399862;A
2010;2713;5107;Divorcios;896.31338402;A
2010;2797;5105;Divorcios;992.51673019;A
2010;2797;5101;Divorcios;41.71235982;A
2010;2797;5102;Divorcios;548.92198036;A
2010;2797;5103;Divorcios;32.55288974;A
2010;2797;5104;Divorcios;3.78632344;A
2010;2797;5107;Divorcios;365.54317683;A
2010;2911;5105;Divorcios;1193.6878551;A
2010;2911;5101;Divorcios;21.60577239;A
2010;2911;5102;Divorcios;639.34934789;A
2010;2911;5103;Divorcios;28.04368196;A
2010;2911;5104;Divorcios;1.28338615;A
2010;2911;5107;Divorcios;503.40566671;A
2010;3023;5105;Divorcios;3876.9745934;A
2010;3023;5101;Divorcios;103.92012192;A
2010;3023;5102;Divorcios;1794.5284419;A
2010;3023;5103;Divorcios;156.37496744;A
2010;3023;5104;Divorcios;10.09903578;A
2010;3023;5107;Divorcios;1812.05202636;A
2010;3142;5105;Divorcios;4564.83365024;A
2010;3142;5101;Divorcios;165.81654756;A
2010;3142;5102;Divorcios;2198.66322198;A
2010;3142;5103;Divorcios;252.52008183;A
2010;3142;5104;Divorcios;15.48118203;A
2010;3142;5107;Divorcios;1932.35261684;A
2009;3143;5105;Divorcios;17493.840001105;A
2009;3143;5101;Divorcios;441.214214474;A
2009;3143;5102;Divorcios;8732.391488987;A
2009;3143;5103;Divorcios;863.762000831;A
2009;3143;5104;Divorcios;89.455920519;A
2009;3143;5107;Divorcios;7348.016376294;A
2009;3143;5106;Divorcios;19.0;A
2009;2352;5105;Divorcios;1275.959999958;A
2009;2352;5101;Divorcios;35.074905968;A
2009;2352;5102;Divorcios;636.550716348;A
2009;2352;5103;Divorcios;54.34649526;A
2009;2352;5104;Divorcios;1.078473684;A
2009;2352;5107;Divorcios;548.909408698;A
2009;2402;5105;Divorcios;2773.590000972;A
2009;2402;5101;Divorcios;67.543326428;A
2009;2402;5102;Divorcios;1470.14000317;A
2009;2402;5103;Divorcios;133.965418865;A
2009;2402;5104;Divorcios;8.511255161;A
2009;2402;5107;Divorcios;1087.429997348;A
2009;2402;5106;Divorcios;6.0;A
2009;2482;5105;Divorcios;1537.74000012;A
