TEMPORAL;TERRITORIO;CNAE09;INDICATOR;OBS_VALUE;FREQ
2020;ES618;8333;ESTABLECIMIENTO;314.0;A
2020;ES618;8320;ESTABLECIMIENTO;94.0;A
2020;ES618;8323;ESTABLECIMIENTO;38.0;A
2020;ES618;8327;ESTABLECIMIENTO;137.0;A
2020;ES618;8330;ESTABLECIMIENTO;45.0;A
2020;ES618;8344;ESTABLECIMIENTO;360.0;A
2020;ES618;8337;ESTABLECIMIENTO;194.0;A
2020;ES618;8341;ESTABLECIMIENTO;166.0;A
2020;ES618;8346;ESTABLECIMIENTO;9853.0;A
2020;ES618;8385;ESTABLECIMIENTO;3152.0;A
2020;ES618;8355;ESTABLECIMIENTO;1121.0;A
2020;ES618;8352;ESTABLECIMIENTO;1121.0;A
2020;ES618;8365;ESTABLECIMIENTO;239.0;A
2020;ES618;8362;ESTABLECIMIENTO;239.0;A
2020;ES618;8371;ESTABLECIMIENTO;475.0;A
2020;ES618;8368;ESTABLECIMIENTO;475.0;A
2020;ES618;8384;ESTABLECIMIENTO;1317.0;A
2020;ES618;8377;ESTABLECIMIENTO;619.0;A
2020;ES618;8381;ESTABLECIMIENTO;698.0;A
2020;ES618;8426;ESTABLECIMIENTO;6701.0;A
2020;ES618;8400;ESTABLECIMIENTO;432.0;A
2020;ES618;8389;ESTABLECIMIENTO;55.0;A
2020;ES618;8392;ESTABLECIMIENTO;15.0;A
2020;ES618;8397;ESTABLECIMIENTO;362.0;A
2020;ES618;8415;ESTABLECIMIENTO;736.0;A
2020;ES618;8404;ESTABLECIMIENTO;92.0;A
2020;ES618;8412;ESTABLECIMIENTO;644.0;A
2020;ES618;8425;ESTABLECIMIENTO;5533.0;A
2020;ES618;8422;ESTABLECIMIENTO;5533.0;A
2020;3024;6949;ESTABLECIMIENTO;147.0;A
2020;3024;7057;ESTABLECIMIENTO;16.0;A
2020;3024;7058;ESTABLECIMIENTO;16.0;A
2020;3024;7605;ESTABLECIMIENTO;16.0;A
2020;3024;7158;ESTABLECIMIENTO;6.0;A
2020;3024;7123;ESTABLECIMIENTO;1.0;A
2020;3024;7128;ESTABLECIMIENTO;3.0;A
2020;3024;7142;ESTABLECIMIENTO;2.0;A
2020;3024;7170;ESTABLECIMIENTO;1.0;A
2020;3024;7167;ESTABLECIMIENTO;1.0;A
2020;3024;7237;ESTABLECIMIENTO;1.0;A
2020;3024;7234;ESTABLECIMIENTO;1.0;A
2020;3024;7303;ESTABLECIMIENTO;1.0;A
2020;3024;7287;ESTABLECIMIENTO;1.0;A
2020;3024;7368;ESTABLECIMIENTO;1.0;A
2020;3024;7350;ESTABLECIMIENTO;1.0;A
2020;3024;7433;ESTABLECIMIENTO;6.0;A
2020;3024;7401;ESTABLECIMIENTO;6.0;A
2020;3024;7662;ESTABLECIMIENTO;22.0;A
2020;3024;7663;ESTABLECIMIENTO;22.0;A
2020;3024;7714;ESTABLECIMIENTO;22.0;A
2020;3024;7673;ESTABLECIMIENTO;9.0;A
2020;3024;7666;ESTABLECIMIENTO;2.0;A
2020;3024;7670;ESTABLECIMIENTO;7.0;A
2020;3024;7689;ESTABLECIMIENTO;1.0;A
2020;3024;7682;ESTABLECIMIENTO;1.0;A
2020;3024;7713;ESTABLECIMIENTO;12.0;A
2020;3024;7694;ESTABLECIMIENTO;1.0;A
2020;3024;7699;ESTABLECIMIENTO;7.0;A
2020;3024;7706;ESTABLECIMIENTO;2.0;A
2020;3024;7710;ESTABLECIMIENTO;2.0;A
2020;3024;7715;ESTABLECIMIENTO;109.0;A
2020;3024;7716;ESTABLECIMIENTO;70.0;A
2020;3024;7859;ESTABLECIMIENTO;53.0;A
2020;3024;7733;ESTABLECIMIENTO;6.0;A
2020;3024;7723;ESTABLECIMIENTO;6.0;A
2020;3024;7800;ESTABLECIMIENTO;9.0;A
2020;3024;7744;ESTABLECIMIENTO;1.0;A
2020;3024;7750;ESTABLECIMIENTO;3.0;A
2020;3024;7761;ESTABLECIMIENTO;3.0;A
2020;3024;7794;ESTABLECIMIENTO;2.0;A
2020;3024;7858;ESTABLECIMIENTO;38.0;A
2020;3024;7804;ESTABLECIMIENTO;11.0;A
2020;3024;7813;ESTABLECIMIENTO;10.0;A
2020;3024;7816;ESTABLECIMIENTO;3.0;A
2020;3024;7828;ESTABLECIMIENTO;6.0;A
2020;3024;7835;ESTABLECIMIENTO;2.0;A
2020;3024;7846;ESTABLECIMIENTO;4.0;A
2020;3024;7851;ESTABLECIMIENTO;2.0;A
2020;3024;7888;ESTABLECIMIENTO;17.0;A
2020;3024;7887;ESTABLECIMIENTO;17.0;A
2020;3024;7877;ESTABLECIMIENTO;2.0;A
2020;3024;7884;ESTABLECIMIENTO;15.0;A
2020;3024;7889;ESTABLECIMIENTO;4.0;A
2020;3024;7958;ESTABLECIMIENTO;3.0;A
2020;3024;7910;ESTABLECIMIENTO;2.0;A
2020;3024;7904;ESTABLECIMIENTO;2.0;A
2020;3024;7948;ESTABLECIMIENTO;1.0;A
2020;3024;7938;ESTABLECIMIENTO;1.0;A
2020;3024;8031;ESTABLECIMIENTO;1.0;A
2020;3024;8010;ESTABLECIMIENTO;1.0;A
2020;3024;8007;ESTABLECIMIENTO;1.0;A
2020;3024;8032;ESTABLECIMIENTO;16.0;A
2020;3024;8080;ESTABLECIMIENTO;4.0;A
2020;3024;8050;ESTABLECIMIENTO;2.0;A
2020;3024;8036;ESTABLECIMIENTO;2.0;A
2020;3024;8079;ESTABLECIMIENTO;2.0;A
2020;3024;8073;ESTABLECIMIENTO;2.0;A
2020;3024;8094;ESTABLECIMIENTO;4.0;A
2020;3024;8093;ESTABLECIMIENTO;4.0;A
2020;3024;8086;ESTABLECIMIENTO;4.0;A
2020;3024;8165;ESTABLECIMIENTO;4.0;A
2020;3024;8103;ESTABLECIMIENTO;3.0;A
2020;3024;8097;ESTABLECIMIENTO;2.0;A
2020;3024;8100;ESTABLECIMIENTO;1.0;A
2020;3024;8123;ESTABLECIMIENTO;1.0;A
2020;3024;8117;ESTABLECIMIENTO;1.0;A
2020;3024;8255;ESTABLECIMIENTO;4.0;A
2020;3024;8188;ESTABLECIMIENTO;1.0;A
2020;3024;8182;ESTABLECIMIENTO;1.0;A
2020;3024;8222;ESTABLECIMIENTO;1.0;A
2020;3024;8213;ESTABLECIMIENTO;1.0;A
2020;3024;8236;ESTABLECIMIENTO;1.0;A
2020;3024;8230;ESTABLECIMIENTO;1.0;A
2020;3024;8254;ESTABLECIMIENTO;1.0;A
2020;3024;8240;ESTABLECIMIENTO;1.0;A
2020;3024;8256;ESTABLECIMIENTO;10.0;A
2020;3024;8303;ESTABLECIMIENTO;5.0;A
2020;3024;8302;ESTABLECIMIENTO;5.0;A
2020;3024;8278;ESTABLECIMIENTO;1.0;A
2020;3024;8281;ESTABLECIMIENTO;1.0;A
2020;3024;8285;ESTABLECIMIENTO;1.0;A
2020;3024;8296;ESTABLECIMIENTO;2.0;A
2020;3024;8345;ESTABLECIMIENTO;5.0;A
2020;3024;8317;ESTABLECIMIENTO;2.0;A
2020;3024;8311;ESTABLECIMIENTO;2.0;A
2020;3024;8333;ESTABLECIMIENTO;1.0;A
2020;3024;8327;ESTABLECIMIENTO;1.0;A
2020;3024;8344;ESTABLECIMIENTO;2.0;A
2020;3024;8341;ESTABLECIMIENTO;2.0;A
2020;3024;8346;ESTABLECIMIENTO;9.0;A
2020;3024;8385;ESTABLECIMIENTO;1.0;A
2020;3024;8371;ESTABLECIMIENTO;1.0;A
2020;3024;8368;ESTABLECIMIENTO;1.0;A
2020;3024;8426;ESTABLECIMIENTO;8.0;A
2020;3024;8415;ESTABLECIMIENTO;1.0;A
2020;3024;8404;ESTABLECIMIENTO;1.0;A
2020;3024;8425;ESTABLECIMIENTO;7.0;A
2020;3024;8422;ESTABLECIMIENTO;7.0;A
2020;3025;6949;ESTABLECIMIENTO;88.0;A
2020;3025;7057;ESTABLECIMIENTO;11.0;A
2020;3025;7058;ESTABLECIMIENTO;11.0;A
2020;3025;7605;ESTABLECIMIENTO;11.0;A
2020;3025;7158;ESTABLECIMIENTO;10.0;A
2020;3025;7114;ESTABLECIMIENTO;1.0;A
2020;3025;7128;ESTABLECIMIENTO;2.0;A
2020;3025;7133;ESTABLECIMIENTO;1.0;A
2020;3025;7142;ESTABLECIMIENTO;3.0;A
2020;3025;7155;ESTABLECIMIENTO;3.0;A
2020;3025;7433;ESTABLECIMIENTO;1.0;A
2020;3025;7401;ESTABLECIMIENTO;1.0;A
2020;3025;7662;ESTABLECIMIENTO;9.0;A
2020;3025;7663;ESTABLECIMIENTO;9.0;A
2020;3025;7714;ESTABLECIMIENTO;9.0;A
2020;3025;7673;ESTABLECIMIENTO;3.0;A
2020;3025;7670;ESTABLECIMIENTO;3.0;A
2020;3025;7713;ESTABLECIMIENTO;6.0;A
