TEMPORAL;TERRITORIO;IPC_GRUPOSESPECIALES;INDICATOR;OBS_VALUE;FREQ
2021-06;ES61;62097;INX;105.972;M
2021-06;ES61;62099;INX;106.309;M
2021-06;ES61;62091;INX;106.821;M
2021-06;ES61;62092;INX;118.81;M
2021-06;ES61;62098;INX;102.31;M
2021-06;ES61;62117;INX;106.373;M
2021-07;ES;62089;INX;104.686;M
2021-07;ES;62090;INX;113.177;M
2021-07;ES;62093;INX;106.024;M
2021-07;ES;62100;INX;106.413;M
2021-07;ES;62096;INX;122.672;M
2021-07;ES;62094;INX;98.976;M
2021-07;ES;62095;INX;122.306;M
2021-07;ES;62101;INX;106.258;M
2021-07;ES;62102;INX;106.541;M
2021-07;ES;62106;INX;105.244;M
2021-07;ES;62103;INX;104.634;M
2021-07;ES;62104;INX;103.838;M
2021-07;ES;62107;INX;106.525;M
2021-07;ES;62108;INX;106.564;M
2021-07;ES;62109;INX;106.288;M
2021-07;ES;62110;INX;104.466;M
2021-07;ES;62111;INX;103.546;M
2021-07;ES;62112;INX;106.01;M
2021-07;ES;62113;INX;106.024;M
2021-07;ES;62114;INX;109.035;M
2021-07;ES;62105;INX;106.563;M
2021-07;ES;62115;INX;107.749;M
2021-07;ES;62116;INX;103.847;M
2021-07;ES;62097;INX;104.374;M
2021-07;ES;62099;INX;106.329;M
2021-07;ES;62091;INX;107.417;M
2021-07;ES;62092;INX;118.032;M
2021-07;ES;62098;INX;98.991;M
2021-07;ES;62117;INX;105.299;M
2021-07;ES61;62089;INX;103.569;M
2021-07;ES61;62090;INX;113.372;M
2021-07;ES61;62093;INX;105.222;M
2021-07;ES61;62100;INX;106.741;M
2021-07;ES61;62096;INX;122.679;M
2021-07;ES61;62094;INX;98.831;M
2021-07;ES61;62095;INX;122.154;M
2021-07;ES61;62101;INX;106.004;M
2021-07;ES61;62102;INX;106.151;M
2021-07;ES61;62106;INX;104.932;M
2021-07;ES61;62103;INX;104.266;M
2021-07;ES61;62104;INX;103.413;M
2021-07;ES61;62107;INX;105.738;M
2021-07;ES61;62108;INX;105.757;M
2021-07;ES61;62109;INX;106.034;M
2021-07;ES61;62110;INX;104.286;M
2021-07;ES61;62111;INX;103.264;M
2021-07;ES61;62112;INX;105.226;M
2021-07;ES61;62113;INX;105.222;M
2021-07;ES61;62114;INX;108.038;M
2021-07;ES61;62105;INX;106.201;M
2021-07;ES61;62115;INX;106.867;M
2021-07;ES61;62116;INX;102.917;M
2021-07;ES61;62097;INX;103.419;M
2021-07;ES61;62099;INX;106.628;M
2021-07;ES61;62091;INX;106.494;M
2021-07;ES61;62092;INX;117.964;M
2021-07;ES61;62098;INX;98.458;M
2021-07;ES61;62117;INX;105.113;M
2021-08;ES;62089;INX;104.934;M
2021-08;ES;62090;INX;113.473;M
2021-08;ES;62093;INX;106.924;M
2021-08;ES;62100;INX;106.686;M
2021-08;ES;62096;INX;122.748;M
2021-08;ES;62094;INX;99.235;M
2021-08;ES;62095;INX;125.572;M
2021-08;ES;62101;INX;106.822;M
2021-08;ES;62102;INX;107.039;M
2021-08;ES;62106;INX;105.76;M
2021-08;ES;62103;INX;104.783;M
2021-08;ES;62104;INX;103.972;M
2021-08;ES;62107;INX;107.124;M
2021-08;ES;62108;INX;107.191;M
2021-08;ES;62109;INX;106.875;M
2021-08;ES;62110;INX;105.082;M
2021-08;ES;62111;INX;103.646;M
2021-08;ES;62112;INX;106.844;M
2021-08;ES;62113;INX;106.924;M
2021-08;ES;62114;INX;110.204;M
2021-08;ES;62105;INX;107.057;M
2021-08;ES;62115;INX;108.033;M
2021-08;ES;62116;INX;104.177;M
2021-08;ES;62097;INX;104.283;M
2021-08;ES;62099;INX;106.583;M
2021-08;ES;62091;INX;107.68;M
2021-08;ES;62092;INX;119.977;M
2021-08;ES;62098;INX;98.851;M
2021-08;ES;62117;INX;105.82;M
2021-08;ES61;62089;INX;103.792;M
2021-08;ES61;62090;INX;114.083;M
2021-08;ES61;62093;INX;106.22;M
2021-08;ES61;62100;INX;107.086;M
2021-08;ES61;62096;INX;123.295;M
2021-08;ES61;62094;INX;99.181;M
2021-08;ES61;62095;INX;126.078;M
2021-08;ES61;62101;INX;106.672;M
2021-08;ES61;62102;INX;106.745;M
2021-08;ES61;62106;INX;105.513;M
2021-08;ES61;62103;INX;104.458;M
2021-08;ES61;62104;INX;103.55;M
2021-08;ES61;62107;INX;106.439;M
2021-08;ES61;62108;INX;106.48;M
2021-08;ES61;62109;INX;106.72;M
2021-08;ES61;62110;INX;104.959;M
2021-08;ES61;62111;INX;103.372;M
2021-08;ES61;62112;INX;106.173;M
2021-08;ES61;62113;INX;106.22;M
2021-08;ES61;62114;INX;109.313;M
2021-08;ES61;62105;INX;106.798;M
2021-08;ES61;62115;INX;107.272;M
2021-08;ES61;62116;INX;103.217;M
2021-08;ES61;62097;INX;103.391;M
2021-08;ES61;62099;INX;106.956;M
2021-08;ES61;62091;INX;106.865;M
2021-08;ES61;62092;INX;120.437;M
2021-08;ES61;62098;INX;98.267;M
2021-08;ES61;62117;INX;105.719;M
2021-09;ES;62089;INX;105.113;M
2021-09;ES;62090;INX;113.139;M
2021-09;ES;62093;INX;109.71;M
2021-09;ES;62100;INX;106.418;M
2021-09;ES;62096;INX;124.351;M
2021-09;ES;62094;INX;99.619;M
2021-09;ES;62095;INX;131.45;M
2021-09;ES;62101;INX;108.031;M
2021-09;ES;62102;INX;107.956;M
2021-09;ES;62106;INX;106.597;M
2021-09;ES;62103;INX;105.074;M
2021-09;ES;62104;INX;104.329;M
2021-09;ES;62107;INX;108.65;M
2021-09;ES;62108;INX;108.786;M
2021-09;ES;62109;INX;108.132;M
2021-09;ES;62110;INX;106.248;M
2021-09;ES;62111;INX;104.055;M
2021-09;ES;62112;INX;109.421;M
2021-09;ES;62113;INX;109.71;M
2021-09;ES;62114;INX;113.995;M
2021-09;ES;62105;INX;107.95;M
2021-09;ES;62115;INX;107.98;M
2021-09;ES;62116;INX;104.265;M
2021-09;ES;62097;INX;105.752;M
2021-09;ES;62099;INX;106.339;M
2021-09;ES;62091;INX;107.693;M
2021-09;ES;62092;INX;123.094;M
2021-09;ES;62098;INX;100.28;M
2021-09;ES;62117;INX;106.651;M
2021-09;ES61;62089;INX;104.135;M
2021-09;ES61;62090;INX;113.641;M
2021-09;ES61;62093;INX;109.214;M
2021-09;ES61;62100;INX;106.869;M
2021-09;ES61;62096;INX;124.944;M
2021-09;ES61;62094;INX;99.626;M
2021-09;ES61;62095;INX;132.408;M
2021-09;ES61;62101;INX;108.091;M
2021-09;ES61;62102;INX;107.814;M
2021-09;ES61;62106;INX;106.516;M
2021-09;ES61;62103;INX;104.884;M
2021-09;ES61;62104;INX;104.068;M
2021-09;ES61;62107;INX;108.113;M
2021-09;ES61;62108;INX;108.207;M
2021-09;ES61;62109;INX;108.182;M
2021-09;ES61;62110;INX;106.354;M
2021-09;ES61;62111;INX;103.947;M
2021-09;ES61;62112;INX;109.005;M
2021-09;ES61;62113;INX;109.214;M
2021-09;ES61;62114;INX;113.398;M
2021-09;ES61;62105;INX;107.85;M
2021-09;ES61;62115;INX;107.31;M
2021-09;ES61;62116;INX;103.466;M
2021-09;ES61;62097;INX;105.034;M
2021-09;ES61;62099;INX;106.751;M
2021-09;ES61;62091;INX;106.97;M
2021-09;ES61;62092;INX;123.714;M
2021-09;ES61;62098;INX;99.907;M
2021-09;ES61;62117;INX;106.728;M
2021-10;ES;62089;INX;105.648;M
2021-10;ES;62090;INX;116.166;M
2021-10;ES;62093;INX;114.307;M
2021-10;ES;62100;INX;106.441;M
2021-10;ES;62096;INX;129.504;M
2021-10;ES;62094;INX;99.962;M
2021-10;ES;62095;INX;139.783;M
2021-10;ES;62101;INX;110.249;M
2021-10;ES;62102;INX;109.999;M
2021-10;ES;62106;INX;108.338;M
2021-10;ES;62103;INX;106.293;M
2021-10;ES;62104;INX;105.358;M
2021-10;ES;62107;INX;111.706;M
2021-10;ES;62108;INX;111.984;M
2021-10;ES;62109;INX;110.439;M
2021-10;ES;62110;INX;108.15;M
2021-10;ES;62111;INX;105.223;M
2021-10;ES;62112;INX;113.67;M
2021-10;ES;62113;INX;114.307;M
2021-10;ES;62114;INX;120.371;M
2021-10;ES;62105;INX;109.947;M
2021-10;ES;62115;INX;109.32;M
2021-10;ES;62116;INX;104.763;M
2021-10;ES;62097;INX;109.206;M
2021-10;ES;62099;INX;106.364;M
2021-10;ES;62091;INX;109.035;M
2021-10;ES;62092;INX;129.063;M
2021-10;ES;62098;INX;103.238;M
2021-10;ES;62117;INX;108.412;M
2021-10;ES61;62089;INX;104.694;M
2021-10;ES61;62090;INX;117.874;M
2021-10;ES61;62093;INX;113.737;M
2021-10;ES61;62100;INX;106.882;M
2021-10;ES61;62096;INX;130.073;M
2021-10;ES61;62094;INX;99.892;M
2021-10;ES61;62095;INX;141.038;M
2021-10;ES61;62101;INX;110.395;M
2021-10;ES61;62102;INX;109.981;M
2021-10;ES61;62106;INX;108.426;M
2021-10;ES61;62103;INX;106.244;M
2021-10;ES61;62104;INX;105.125;M
2021-10;ES61;62107;INX;111.284;M
2021-10;ES61;62108;INX;111.478;M
2021-10;ES61;62109;INX;110.553;M
2021-10;ES61;62110;INX;108.371;M
2021-10;ES61;62111;INX;105.164;M
2021-10;ES61;62112;INX;113.287;M
2021-10;ES61;62113;INX;113.737;M
2021-10;ES61;62114;INX;119.741;M
2021-10;ES61;62105;INX;109.991;M
2021-10;ES61;62115;INX;109.004;M
2021-10;ES61;62116;INX;103.992;M
2021-10;ES61;62097;INX;108.355;M
2021-10;ES61;62099;INX;106.766;M
2021-10;ES61;62091;INX;108.64;M
2021-10;ES61;62092;INX;130.352;M
2021-10;ES61;62098;INX;102.765;M
2021-10;ES61;62117;INX;108.661;M
2021-11;ES;62089;INX;106.127;M
2021-11;ES;62090;INX;116.939;M
2021-11;ES;62093;INX;114.756;M
2021-11;ES;62100;INX;106.509;M
2021-11;ES;62096;INX;132.012;M
2021-11;ES;62094;INX;100.399;M
2021-11;ES;62095;INX;137.78;M
2021-11;ES;62101;INX;110.5;M
2021-11;ES;62102;INX;110.343;M
2021-11;ES;62106;INX;108.507;M
2021-11;ES;62103;INX;106.912;M
2021-11;ES;62104;INX;105.96;M
2021-11;ES;62107;INX;112.189;M
2021-11;ES;62108;INX;112.487;M
2021-11;ES;62109;INX;110.697;M
2021-11;ES;62110;INX;108.159;M
2021-11;ES;62111;INX;105.861;M
2021-11;ES;62112;INX;114.09;M
2021-11;ES;62113;INX;114.756;M
2021-11;ES;62114;INX;120.825;M
2021-11;ES;62105;INX;110.289;M
2021-11;ES;62115;INX;109.937;M
2021-11;ES;62116;INX;105.307;M
2021-11;ES;62097;INX;110.957;M
2021-11;ES;62099;INX;106.433;M
2021-11;ES;62091;INX;109.609;M
2021-11;ES;62092;INX;128.292;M
2021-11;ES;62098;INX;104.766;M
2021-11;ES;62117;INX;108.591;M
2021-11;ES61;62089;INX;105.066;M
2021-11;ES61;62090;INX;118.031;M
2021-11;ES61;62093;INX;114.074;M
2021-11;ES61;62100;INX;106.839;M
2021-11;ES61;62096;INX;132.636;M
2021-11;ES61;62094;INX;100.224;M
2021-11;ES61;62095;INX;138.617;M
2021-11;ES61;62101;INX;110.548;M
2021-11;ES61;62102;INX;110.18;M
2021-11;ES61;62106;INX;108.456;M
2021-11;ES61;62103;INX;106.748;M
2021-11;ES61;62104;INX;105.666;M
2021-11;ES61;62107;INX;111.599;M
2021-11;ES61;62108;INX;111.802;M
2021-11;ES61;62109;INX;110.708;M
2021-11;ES61;62110;INX;108.279;M
2021-11;ES61;62111;INX;105.759;M
2021-11;ES61;62112;INX;113.61;M
2021-11;ES61;62113;INX;114.074;M
2021-11;ES61;62114;INX;120.081;M
2021-11;ES61;62105;INX;110.191;M
2021-11;ES61;62115;INX;109.336;M
2021-11;ES61;62116;INX;104.401;M
2021-11;ES61;62097;INX;110.04;M
2021-11;ES61;62099;INX;106.729;M
2021-11;ES61;62091;INX;108.947;M
2021-11;ES61;62092;INX;129.093;M
2021-11;ES61;62098;INX;104.225;M
2021-11;ES61;62117;INX;108.718;M
2021-12;ES;62089;INX;107.016;M
2021-12;ES;62090;INX;118.859;M
2021-12;ES;62093;INX;117.103;M
2021-12;ES;62100;INX;106.97;M
2021-12;ES;62096;INX;129.609;M
2021-12;ES;62094;INX;100.705;M
2021-12;ES;62095;INX;146.224;M
2021-12;ES;62101;INX;111.85;M
2021-12;ES;62102;INX;111.696;M
2021-12;ES;62106;INX;110.108;M
2021-12;ES;62103;INX;107.368;M
2021-12;ES;62104;INX;106.262;M
2021-12;ES;62107;INX;113.972;M
2021-12;ES;62108;INX;114.35;M
2021-12;ES;62109;INX;112.101;M
2021-12;ES;62110;INX;109.912;M
2021-12;ES;62111;INX;105.995;M
2021-12;ES;62112;INX;116.264;M
2021-12;ES;62113;INX;117.103;M
2021-12;ES;62114;INX;124.027;M
2021-12;ES;62105;INX;111.631;M
2021-12;ES;62115;INX;111.258;M
2021-12;ES;62116;INX;106.48;M
2021-12;ES;62097;INX;110.157;M
2021-12;ES;62099;INX;106.863;M
2021-12;ES;62091;INX;110.831;M
2021-12;ES;62092;INX;133.832;M
2021-12;ES;62098;INX;104.434;M
2021-12;ES;62117;INX;110.178;M
