D_TEMPORAL_0;D_CNAE09_0;D_PUB_PRIV_0;D_TERRITORIO_0;D_TIPO_EMPRESA_0;D_TIPO_ESTAB_0;INDICATOR;OBS_VALUE;FREQ
2014;217302;215134;3143;215124;213227;Unidades;61.856698238;A
2014;217302;215135;3143;215124;213227;Unidades;;A
2014;217302;215136;3143;215124;213227;Unidades;61.856698238;A
2014;217305;215134;3143;215124;213227;Unidades;11.840953717;A
2014;217305;215135;3143;215124;213227;Unidades;;A
2014;217305;215136;3143;215124;213227;Unidades;11.840953717;A
2014;217306;215134;3143;215124;213227;Unidades;47.052571659;A
2014;217306;215135;3143;215124;213227;Unidades;1.022292994;A
2014;217306;215136;3143;215124;213227;Unidades;46.030278665;A
2014;217307;215134;3143;215124;213227;Unidades;14.465325964;A
2014;217307;215135;3143;215124;213227;Unidades;;A
2014;217307;215136;3143;215124;213227;Unidades;14.465325964;A
2014;217308;215134;3143;215124;213227;Unidades;11.477174697;A
2014;217308;215135;3143;215124;213227;Unidades;;A
2014;217308;215136;3143;215124;213227;Unidades;11.477174697;A
2014;217309;215134;3143;215124;213227;Unidades;14.208162111;A
2014;217309;215135;3143;215124;213227;Unidades;;A
2014;217309;215136;3143;215124;213227;Unidades;14.208162111;A
2014;217310;215134;3143;215124;213227;Unidades;17.486967759;A
2014;217310;215135;3143;215124;213227;Unidades;;A
2014;217310;215136;3143;215124;213227;Unidades;17.486967759;A
2014;217311;215134;3143;215124;213227;Unidades;12.55582395;A
2014;217311;215135;3143;215124;213227;Unidades;;A
2014;217311;215136;3143;215124;213227;Unidades;12.55582395;A
2014;217312;215134;3143;215124;213227;Unidades;37.360290074;A
2014;217312;215135;3143;215124;213227;Unidades;;A
2014;217312;215136;3143;215124;213227;Unidades;37.360290074;A
2014;217313;215134;3143;215124;213227;Unidades;8.265977443;A
2014;217313;215135;3143;215124;213227;Unidades;;A
2014;217313;215136;3143;215124;213227;Unidades;8.265977443;A
2014;217314;215134;3143;215124;213227;Unidades;9.648148148;A
2014;217314;215135;3143;215124;213227;Unidades;;A
2014;217314;215136;3143;215124;213227;Unidades;9.648148148;A
2014;217315;215134;3143;215124;213227;Unidades;3.05882353;A
2014;217315;215135;3143;215124;213227;Unidades;;A
2014;217315;215136;3143;215124;213227;Unidades;3.05882353;A
2014;217316;215134;3143;215124;213227;Unidades;10.230263158;A
2014;217316;215135;3143;215124;213227;Unidades;;A
2014;217316;215136;3143;215124;213227;Unidades;10.230263158;A
2014;7605;215134;3143;215124;213227;Unidades;8.146464646;A
2014;7605;215135;3143;215124;213227;Unidades;;A
2014;7605;215136;3143;215124;213227;Unidades;8.146464646;A
2014;7627;215134;3143;215124;213227;Unidades;9.333333334;A
2014;7627;215135;3143;215124;213227;Unidades;5.0;A
2014;7627;215136;3143;215124;213227;Unidades;4.333333334;A
2014;7661;215134;3143;215124;213227;Unidades;9.2;A
2014;7661;215135;3143;215124;213227;Unidades;;A
2014;7661;215136;3143;215124;213227;Unidades;9.2;A
2015;7109;215134;3143;215124;213227;Unidades;5.285714286;A
2015;7109;215135;3143;215124;213227;Unidades;;A
2015;7109;215136;3143;215124;213227;Unidades;5.285714286;A
2015;217302;215134;3143;215124;213227;Unidades;64.63885602;A
2015;217302;215135;3143;215124;213227;Unidades;;A
2015;217302;215136;3143;215124;213227;Unidades;64.63885602;A
2015;217304;215134;3143;215124;213227;Unidades;1.0;A
2015;217304;215135;3143;215124;213227;Unidades;;A
2015;217304;215136;3143;215124;213227;Unidades;1.0;A
2015;217305;215134;3143;215124;213227;Unidades;11.871292157;A
2015;217305;215135;3143;215124;213227;Unidades;;A
2015;217305;215136;3143;215124;213227;Unidades;11.871292157;A
2015;217306;215134;3143;215124;213227;Unidades;43.192108846;A
2015;217306;215135;3143;215124;213227;Unidades;;A
2015;217306;215136;3143;215124;213227;Unidades;43.192108846;A
2015;217307;215134;3143;215124;213227;Unidades;13.258191528;A
2015;217307;215135;3143;215124;213227;Unidades;;A
2015;217307;215136;3143;215124;213227;Unidades;13.258191528;A
2015;217308;215134;3143;215124;213227;Unidades;6.147439194;A
2015;217308;215135;3143;215124;213227;Unidades;;A
2015;217308;215136;3143;215124;213227;Unidades;6.147439194;A
2015;217309;215134;3143;215124;213227;Unidades;15.666747106;A
2015;217309;215135;3143;215124;213227;Unidades;;A
2015;217309;215136;3143;215124;213227;Unidades;15.666747106;A
2015;217310;215134;3143;215124;213227;Unidades;14.271885523;A
2015;217310;215135;3143;215124;213227;Unidades;;A
2015;217310;215136;3143;215124;213227;Unidades;14.271885523;A
2015;217311;215134;3143;215124;213227;Unidades;13.629433875;A
2015;217311;215135;3143;215124;213227;Unidades;;A
2015;217311;215136;3143;215124;213227;Unidades;13.629433875;A
2015;217312;215134;3143;215124;213227;Unidades;35.551566044;A
2015;217312;215135;3143;215124;213227;Unidades;;A
2015;217312;215136;3143;215124;213227;Unidades;35.551566044;A
2015;217313;215134;3143;215124;213227;Unidades;7.181967352;A
2015;217313;215135;3143;215124;213227;Unidades;;A
2015;217313;215136;3143;215124;213227;Unidades;7.181967352;A
2015;217314;215134;3143;215124;213227;Unidades;9.156250001;A
2015;217314;215135;3143;215124;213227;Unidades;;A
2015;217314;215136;3143;215124;213227;Unidades;9.156250001;A
2015;217315;215134;3143;215124;213227;Unidades;7.555555556;A
2015;217315;215135;3143;215124;213227;Unidades;;A
2015;217315;215136;3143;215124;213227;Unidades;7.555555556;A
2015;217316;215134;3143;215124;213227;Unidades;2.126984126;A
2015;217316;215135;3143;215124;213227;Unidades;;A
2015;217316;215136;3143;215124;213227;Unidades;2.126984126;A
2015;7605;215134;3143;215124;213227;Unidades;6.134387352;A
2015;7605;215135;3143;215124;213227;Unidades;;A
2015;7605;215136;3143;215124;213227;Unidades;6.134387352;A
2015;7627;215134;3143;215124;213227;Unidades;8.333333333;A
2015;7627;215135;3143;215124;213227;Unidades;5.0;A
2015;7627;215136;3143;215124;213227;Unidades;3.333333333;A
2015;7661;215134;3143;215124;213227;Unidades;6.404761905;A
2015;7661;215135;3143;215124;213227;Unidades;;A
2015;7661;215136;3143;215124;213227;Unidades;6.404761905;A
2016;7109;215134;3143;215124;213227;Unidades;3.0;A
2016;7109;215135;3143;215124;213227;Unidades;;A
2016;7109;215136;3143;215124;213227;Unidades;3.0;A
2016;217302;215134;3143;215124;213227;Unidades;60.340403472;A
2016;217302;215135;3143;215124;213227;Unidades;;A
2016;217302;215136;3143;215124;213227;Unidades;60.340403472;A
2016;217304;215134;3143;215124;213227;Unidades;1.032258065;A
2016;217304;215135;3143;215124;213227;Unidades;;A
2016;217304;215136;3143;215124;213227;Unidades;1.032258065;A
2016;217305;215134;3143;215124;213227;Unidades;7.937203537;A
2016;217305;215135;3143;215124;213227;Unidades;;A
2016;217305;215136;3143;215124;213227;Unidades;7.937203537;A
2016;217306;215134;3143;215124;213227;Unidades;55.81095228;A
2016;217306;215135;3143;215124;213227;Unidades;;A
2016;217306;215136;3143;215124;213227;Unidades;55.81095228;A
2016;217307;215134;3143;215124;213227;Unidades;15.334396102;A
2016;217307;215135;3143;215124;213227;Unidades;;A
2016;217307;215136;3143;215124;213227;Unidades;15.334396102;A
2016;217308;215134;3143;215124;213227;Unidades;6.119415052;A
2016;217308;215135;3143;215124;213227;Unidades;;A
2016;217308;215136;3143;215124;213227;Unidades;6.119415052;A
2016;217309;215134;3143;215124;213227;Unidades;10.121500506;A
2016;217309;215135;3143;215124;213227;Unidades;;A
2016;217309;215136;3143;215124;213227;Unidades;10.121500506;A
2016;217310;215134;3143;215124;213227;Unidades;17.09180328;A
2016;217310;215135;3143;215124;213227;Unidades;;A
2016;217310;215136;3143;215124;213227;Unidades;17.09180328;A
2016;217311;215134;3143;215124;213227;Unidades;9.289140789;A
2016;217311;215135;3143;215124;213227;Unidades;;A
2016;217311;215136;3143;215124;213227;Unidades;9.289140789;A
2016;217312;215134;3143;215124;213227;Unidades;19.972872735;A
2016;217312;215135;3143;215124;213227;Unidades;;A
2016;217312;215136;3143;215124;213227;Unidades;19.972872735;A
