D_TEMPORAL_0;D_TIPO_PERSONAL_0;D_TIPO_EMPRESA_0;D_DISCIPLINA_0;D_SEXO_0;D_TERRITORIO_0;D_TIPO_ESTAB_0;D_ESTUDIOS_0;INDICATOR;OBS_VALUE;FREQ
2008;215156;215120;215128;3691;3143;213227;215166;Personas;315.480784296;A
2008;215156;215120;215128;3689;3143;213227;215166;Personas;160.709581606;A
2008;215156;215120;215128;3690;3143;213227;215166;Personas;154.77120269;A
2008;215156;215120;215129;3691;3143;213227;215166;Personas;111.429753798;A
2008;215156;215120;215129;3689;3143;213227;215166;Personas;51.556939294;A
2008;215156;215120;215129;3690;3143;213227;215166;Personas;59.872814504;A
2008;215156;215120;215130;3691;3143;213227;215166;Personas;425.740930415;A
2008;215156;215120;215130;3689;3143;213227;215166;Personas;211.66113422;A
2008;215156;215120;215130;3690;3143;213227;215166;Personas;214.079796195;A
2008;215156;215120;215131;3691;3143;213227;215166;Personas;360.305666824;A
2008;215156;215120;215131;3689;3143;213227;215166;Personas;184.858969558;A
2008;215156;215120;215131;3690;3143;213227;215166;Personas;175.446697266;A
2008;215156;215122;215132;3691;3143;213227;215166;Personas;13.0;A
2008;215156;215122;215132;3689;3143;213227;215166;Personas;3.0;A
2008;215156;215122;215132;3690;3143;213227;215166;Personas;10.0;A
2008;215156;215122;215126;3691;3143;213227;215166;Personas;;A
2008;215156;215122;215126;3689;3143;213227;215166;Personas;;A
2008;215156;215122;215126;3690;3143;213227;215166;Personas;;A
2008;215156;215122;215127;3691;3143;213227;215166;Personas;;A
2008;215156;215122;215127;3689;3143;213227;215166;Personas;;A
2008;215156;215122;215127;3690;3143;213227;215166;Personas;;A
2008;215156;215122;215128;3691;3143;213227;215166;Personas;;A
2008;215156;215122;215128;3689;3143;213227;215166;Personas;;A
2008;215156;215122;215128;3690;3143;213227;215166;Personas;;A
2008;215156;215122;215129;3691;3143;213227;215166;Personas;;A
2008;215156;215122;215129;3689;3143;213227;215166;Personas;;A
2008;215156;215122;215129;3690;3143;213227;215166;Personas;;A
2008;215156;215122;215130;3691;3143;213227;215166;Personas;;A
2008;215156;215122;215130;3689;3143;213227;215166;Personas;;A
2008;215156;215122;215130;3690;3143;213227;215166;Personas;;A
2008;215156;215122;215131;3691;3143;213227;215166;Personas;;A
2008;215156;215122;215131;3689;3143;213227;215166;Personas;;A
2008;215156;215122;215131;3690;3143;213227;215166;Personas;;A
2008;215156;215124;215132;3691;3143;213227;215166;Personas;2456.829815709;A
2008;215156;215124;215132;3689;3143;213227;215166;Personas;1695.658675825;A
2008;215156;215124;215132;3690;3143;213227;215166;Personas;761.171139884;A
2008;215156;215124;215126;3691;3143;213227;215166;Personas;;A
2008;215156;215124;215126;3689;3143;213227;215166;Personas;;A
2008;215156;215124;215126;3690;3143;213227;215166;Personas;;A
2008;215156;215124;215127;3691;3143;213227;215166;Personas;;A
2008;215156;215124;215127;3689;3143;213227;215166;Personas;;A
2008;215156;215124;215127;3690;3143;213227;215166;Personas;;A
2008;215156;215124;215128;3691;3143;213227;215166;Personas;;A
2008;215156;215124;215128;3689;3143;213227;215166;Personas;;A
2008;215156;215124;215128;3690;3143;213227;215166;Personas;;A
2008;215156;215124;215129;3691;3143;213227;215166;Personas;;A
2008;215156;215124;215129;3689;3143;213227;215166;Personas;;A
2008;215156;215124;215129;3690;3143;213227;215166;Personas;;A
2008;215156;215124;215130;3691;3143;213227;215166;Personas;;A
2008;215156;215124;215130;3689;3143;213227;215166;Personas;;A
2008;215156;215124;215130;3690;3143;213227;215166;Personas;;A
2008;215156;215124;215131;3691;3143;213227;215166;Personas;;A
2008;215156;215124;215131;3689;3143;213227;215166;Personas;;A
2008;215156;215124;215131;3690;3143;213227;215166;Personas;;A
2008;215157;215117;215132;3691;3143;213227;215166;Personas;881.000000001;A
2008;215157;215117;215132;3689;3143;213227;215166;Personas;584.0;A
2008;215157;215117;215132;3690;3143;213227;215166;Personas;297.000000001;A
2008;215157;215117;215126;3691;3143;213227;215166;Personas;11.370576735;A
2008;215157;215117;215126;3689;3143;213227;215166;Personas;4.315136852;A
2008;215157;215117;215126;3690;3143;213227;215166;Personas;7.055439883;A
2008;215157;215117;215127;3691;3143;213227;215166;Personas;62.234201599;A
2008;215157;215117;215127;3689;3143;213227;215166;Personas;41.329382439;A
2008;215157;215117;215127;3690;3143;213227;215166;Personas;20.90481916;A
2008;215157;215117;215128;3691;3143;213227;215166;Personas;140.308259017;A
2008;215157;215117;215128;3689;3143;213227;215166;Personas;68.547302414;A
2008;215157;215117;215128;3690;3143;213227;215166;Personas;71.760956603;A
2008;215157;215117;215129;3691;3143;213227;215166;Personas;627.981818182;A
2008;215157;215117;215129;3689;3143;213227;215166;Personas;462.520909091;A
2008;215157;215117;215129;3690;3143;213227;215166;Personas;165.460909091;A
2008;215157;215117;215130;3691;3143;213227;215166;Personas;18.273784356;A
2008;215157;215117;215130;3689;3143;213227;215166;Personas;3.311892178;A
2008;215157;215117;215130;3690;3143;213227;215166;Personas;14.961892178;A
2008;215157;215117;215131;3691;3143;213227;215166;Personas;20.831360112;A
2008;215157;215117;215131;3689;3143;213227;215166;Personas;3.975377026;A
2008;215157;215117;215131;3690;3143;213227;215166;Personas;16.855983086;A
2008;215157;215120;215132;3691;3143;213227;215166;Personas;2875.000000002;A
2008;215157;215120;215132;3689;3143;213227;215166;Personas;1247.000000001;A
2008;215157;215120;215132;3690;3143;213227;215166;Personas;1628.000000001;A
2008;215157;215120;215126;3691;3143;213227;215166;Personas;657.722445017;A
2008;215157;215120;215126;3689;3143;213227;215166;Personas;287.605217128;A
2008;215157;215120;215126;3690;3143;213227;215166;Personas;370.117227889;A
2008;215157;215120;215127;3691;3143;213227;215166;Personas;589.558367468;A
2008;215157;215120;215127;3689;3143;213227;215166;Personas;258.375654338;A
2008;215157;215120;215127;3690;3143;213227;215166;Personas;331.18271313;A
2008;215157;215120;215128;3691;3143;213227;215166;Personas;398.534319121;A
2008;215157;215120;215128;3689;3143;213227;215166;Personas;174.847081987;A
2008;215157;215120;215128;3690;3143;213227;215166;Personas;223.687237134;A
2008;215157;215120;215129;3691;3143;213227;215166;Personas;71.223862677;A
2008;215157;215120;215129;3689;3143;213227;215166;Personas;31.818831281;A
2008;215157;215120;215129;3690;3143;213227;215166;Personas;39.405031396;A
2008;215157;215120;215130;3691;3143;213227;215166;Personas;688.357229985;A
2008;215157;215120;215130;3689;3143;213227;215166;Personas;291.884565982;A
2008;215157;215120;215130;3690;3143;213227;215166;Personas;396.472664003;A
2008;215157;215120;215131;3691;3143;213227;215166;Personas;469.603775734;A
2008;215157;215120;215131;3689;3143;213227;215166;Personas;202.468649285;A
2008;215157;215120;215131;3690;3143;213227;215166;Personas;267.135126449;A
2008;215157;215122;215132;3691;3143;213227;215166;Personas;2.0;A
2008;215157;215122;215132;3689;3143;213227;215166;Personas;1.0;A
2008;215157;215122;215132;3690;3143;213227;215166;Personas;1.0;A
2008;215157;215122;215126;3691;3143;213227;215166;Personas;;A
2008;215157;215122;215126;3689;3143;213227;215166;Personas;;A
2008;215157;215122;215126;3690;3143;213227;215166;Personas;;A
2008;215157;215122;215127;3691;3143;213227;215166;Personas;;A
2008;215157;215122;215127;3689;3143;213227;215166;Personas;;A
2008;215157;215122;215127;3690;3143;213227;215166;Personas;;A
2008;215157;215122;215128;3691;3143;213227;215166;Personas;;A
2008;215157;215122;215128;3689;3143;213227;215166;Personas;;A
2008;215157;215122;215128;3690;3143;213227;215166;Personas;;A
2008;215157;215122;215129;3691;3143;213227;215166;Personas;;A
2008;215157;215122;215129;3689;3143;213227;215166;Personas;;A
2008;215157;215122;215129;3690;3143;213227;215166;Personas;;A
2008;215157;215122;215130;3691;3143;213227;215166;Personas;;A
2008;215157;215122;215130;3689;3143;213227;215166;Personas;;A
2008;215157;215122;215130;3690;3143;213227;215166;Personas;;A
2008;215157;215122;215131;3691;3143;213227;215166;Personas;;A
2008;215157;215122;215131;3689;3143;213227;215166;Personas;;A
2008;215157;215122;215131;3690;3143;213227;215166;Personas;;A
2008;215157;215124;215132;3691;3143;213227;215166;Personas;1227.44296626;A
2008;215157;215124;215132;3689;3143;213227;215166;Personas;748.975300453;A
2008;215157;215124;215132;3690;3143;213227;215166;Personas;478.467665807;A
2008;215157;215124;215126;3691;3143;213227;215166;Personas;;A
2008;215157;215124;215126;3689;3143;213227;215166;Personas;;A
2008;215157;215124;215126;3690;3143;213227;215166;Personas;;A
2008;215157;215124;215127;3691;3143;213227;215166;Personas;;A
2008;215157;215124;215127;3689;3143;213227;215166;Personas;;A
2008;215157;215124;215127;3690;3143;213227;215166;Personas;;A
2008;215157;215124;215128;3691;3143;213227;215166;Personas;;A
2008;215157;215124;215128;3689;3143;213227;215166;Personas;;A
2008;215157;215124;215128;3690;3143;213227;215166;Personas;;A
2008;215157;215124;215129;3691;3143;213227;215166;Personas;;A
2008;215157;215124;215129;3689;3143;213227;215166;Personas;;A
2008;215157;215124;215129;3690;3143;213227;215166;Personas;;A
