TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2007;ES61;TASA_VARI_INTE;-8.380591813933744;A
2007;ES611;TASA_VARI_INTE;-8.181362253144098;A
2007;ES612;TASA_VARI_INTE;-7.223600441777639;A
2007;ES613;TASA_VARI_INTE;-15.060026062099896;A
2007;ES614;TASA_VARI_INTE;14.676148150214333;A
2007;ES615;TASA_VARI_INTE;-9.02997872529942;A
2007;ES616;TASA_VARI_INTE;-4.107208109270402;A
2007;ES617;TASA_VARI_INTE;-8.332081154148893;A
2007;ES618;TASA_VARI_INTE;-0.08435648906280073;A
2008;ES61;TASA_VARI_INTE;3.9859491984728055;A
2008;ES611;TASA_VARI_INTE;-0.504089316934141;A
2008;ES612;TASA_VARI_INTE;9.9933692066297;A
2008;ES613;TASA_VARI_INTE;-5.183566173458813;A
2008;ES614;TASA_VARI_INTE;-1.7785004791823864;A
2008;ES615;TASA_VARI_INTE;-10.055489424427853;A
2008;ES616;TASA_VARI_INTE;-0.6303427618169105;A
2008;ES617;TASA_VARI_INTE;7.860904898487975;A
2008;ES618;TASA_VARI_INTE;0.7387660426999412;A
2009;ES61;TASA_VARI_INTE;2.777118795979438;A
2009;ES611;TASA_VARI_INTE;4.345561952188566;A
2009;ES612;TASA_VARI_INTE;7.490567098224628;A
2009;ES613;TASA_VARI_INTE;-1.1925367463286893;A
2009;ES614;TASA_VARI_INTE;5.225844631843249;A
2009;ES615;TASA_VARI_INTE;0.22212413754777896;A
2009;ES616;TASA_VARI_INTE;-24.2228904480621;A
2009;ES617;TASA_VARI_INTE;7.489851713738445;A
2009;ES618;TASA_VARI_INTE;-8.562792449768517;A
2010;ES61;TASA_VARI_INTE;2.5368562618864243;A
2010;ES611;TASA_VARI_INTE;2.5938749822755103;A
2010;ES612;TASA_VARI_INTE;-0.7759267129017671;A
2010;ES613;TASA_VARI_INTE;10.550880235407643;A
2010;ES614;TASA_VARI_INTE;-0.09085620658095522;A
2010;ES615;TASA_VARI_INTE;-8.30567700922197;A
2010;ES616;TASA_VARI_INTE;11.355393960434142;A
2010;ES617;TASA_VARI_INTE;-1.0259151748081108;A
2010;ES618;TASA_VARI_INTE;-9.688697662179617;A
2011;ES61;TASA_VARI_INTE;0.4672560943372304;A
2011;ES611;TASA_VARI_INTE;3.6658937600992205;A
2011;ES612;TASA_VARI_INTE;-1.4723273702212125;A
2011;ES613;TASA_VARI_INTE;15.038169492966718;A
2011;ES614;TASA_VARI_INTE;11.743879634798605;A
2011;ES615;TASA_VARI_INTE;11.014131981279494;A
2011;ES616;TASA_VARI_INTE;-23.834204682813596;A
2011;ES617;TASA_VARI_INTE;-4.4993964787018195;A
2011;ES618;TASA_VARI_INTE;-0.9989036611932761;A
2012;ES61;TASA_VARI_INTE;1.0130962196225384;A
2012;ES611;TASA_VARI_INTE;15.957128406087673;A
2012;ES612;TASA_VARI_INTE;4.653828645192536;A
2012;ES613;TASA_VARI_INTE;2.46123812695458;A
2012;ES614;TASA_VARI_INTE;-6.313690468248027;A
2012;ES615;TASA_VARI_INTE;2.8815381657473766;A
2012;ES616;TASA_VARI_INTE;-1.6508008606566833;A
2012;ES617;TASA_VARI_INTE;5.712644430586212;A
2012;ES618;TASA_VARI_INTE;9.198237162536602;A
2013;ES61;TASA_VARI_INTE;-1.340750852070981;A
2013;ES611;TASA_VARI_INTE;-5.109985631393605;A
2013;ES612;TASA_VARI_INTE;13.56737744161302;A
2013;ES613;TASA_VARI_INTE;3.6997018342316017;A
2013;ES614;TASA_VARI_INTE;-9.654034712579698;A
2013;ES615;TASA_VARI_INTE;-4.308737180174728;A
2013;ES616;TASA_VARI_INTE;-12.063992477095582;A
2013;ES617;TASA_VARI_INTE;-10.84319721419438;A
2013;ES618;TASA_VARI_INTE;-3.9484904930434794;A
2014;ES61;TASA_VARI_INTE;-1.7201938544981334;A
2014;ES611;TASA_VARI_INTE;-4.076642847633175;A
2014;ES612;TASA_VARI_INTE;-5.2653594967674655;A
2014;ES613;TASA_VARI_INTE;-0.6701244299045407;A
2014;ES614;TASA_VARI_INTE;1.0303196073092529;A
2014;ES615;TASA_VARI_INTE;-11.452924404178733;A
2014;ES616;TASA_VARI_INTE;-1.7125088629086047;A
2014;ES617;TASA_VARI_INTE;-11.914390088105872;A
2014;ES618;TASA_VARI_INTE;-2.899832043849055;A
2015;ES61;TASA_VARI_INTE;-1.9468721966757092;A
2015;ES611;TASA_VARI_INTE;-19.06943216157299;A
