TEMPORAL;TERRITORIO;ESTADOCIVIL;ESTADOCIVILC2;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;DURACMATRIM;NUMHIJOSMENORED;CUSTODIA;NACIONACONYUGES;TIPOMATRIMONIO
2020;ES618;4316;4958;DIV;3031.29808;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4316;4962;DIV;3.43362;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4316;4965;DIV;94.9627;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4320;4967;DIV;12.29954;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4320;4958;DIV;7.86658;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4320;4962;DIV;1.71681;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4320;4965;DIV;2.71615;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4323;4967;DIV;248.27135;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4323;4958;DIV;149.02942;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4323;4962;DIV;4.43296;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2020;ES618;4323;4965;DIV;94.80897;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;TOTAL;4967;DIV;17078.2748;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;TOTAL;4958;DIV;15922.65804;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;TOTAL;4962;DIV;77.31374;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2019;ES61;TOTAL;4965;DIV;1078.30302;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
