TEMPORAL;TERRITORIO;CUSTODIA;INDICATOR;OBS_VALUE;FREQ;EDAD;EDADC2;SEXO;SEXOC2;ESTADOCIVIL;ESTADOCIVILC2;DURACMATRIM;NUMHIJOSMENORED;NACIONACONYUGES;TIPOMATRIMONIO
2018;ES61;5103;DIV;2033.3118;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES61;5104;DIV;44.1893;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES61;5107;DIV;7818.8216;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES611;5105;DIV;1456.1395;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES611;5101;DIV;45.5756;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES611;5102;DIV;522.4917;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES611;5103;DIV;209.9733;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES611;5104;DIV;4.8831;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES611;5107;DIV;673.2158;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES612;5105;DIV;2490.3415;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES612;5101;DIV;37.0277;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES612;5102;DIV;1115.1872;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES612;5103;DIV;235.2348;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES612;5107;DIV;1102.8918;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES613;5105;DIV;1405.7198;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES613;5101;DIV;41.984;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES613;5102;DIV;566.784;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES613;5103;DIV;182.368;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES613;5104;DIV;3.936;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES613;5107;DIV;610.6478;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES614;5105;DIV;1684.5826;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES614;5101;DIV;39.7392;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES614;5102;DIV;598.4256;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES614;5103;DIV;222.072;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES614;5104;DIV;2.3376;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES614;5107;DIV;822.0082;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES615;5105;DIV;986.218;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES615;5101;DIV;33.638;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES615;5102;DIV;422.004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES615;5103;DIV;85.624;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES615;5104;DIV;12.232;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES615;5107;DIV;432.72;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES616;5105;DIV;1108.2069;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES616;5101;DIV;39.2581;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES616;5102;DIV;351.0136;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES616;5103;DIV;85.4441;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES616;5104;DIV;4.6186;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES616;5107;DIV;627.8725;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES617;5105;DIV;3718.358;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES617;5101;DIV;74.7118;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES617;5102;DIV;1433.2869;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES617;5103;DIV;367.6607;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES617;5104;DIV;5.8983;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES617;5107;DIV;1836.8003;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES618;5105;DIV;4085.2617;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES618;5101;DIV;83.7387;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES618;5102;DIV;1633.6392;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES618;5103;DIV;644.9349;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES618;5104;DIV;10.2837;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2018;ES618;5107;DIV;1712.6652;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES61;5105;DIV;17436.6101;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES61;5101;DIV;379.8199;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES61;5102;DIV;7175.7275;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES61;5103;DIV;1828.2458;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES61;5104;DIV;40.0951;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES61;5107;DIV;8012.7218;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES611;5105;DIV;1454.7143;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES611;5101;DIV;31.9452;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES611;5102;DIV;553.7168;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES611;5103;DIV;150.5988;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES611;5104;DIV;9.1272;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES611;5107;DIV;709.3263;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES612;5105;DIV;2406.3281;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES612;5101;DIV;57.5212;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES612;5102;DIV;1057.375;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES612;5103;DIV;240.2356;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES612;5104;DIV;3.3836;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES612;5107;DIV;1047.8127;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES613;5105;DIV;1426.032;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES613;5101;DIV;38.075;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES613;5102;DIV;616.815;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES613;5103;DIV;182.76;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES613;5104;DIV;1.523;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES613;5107;DIV;586.859;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES614;5105;DIV;1990.6668;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES614;5101;DIV;32.2432;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES614;5102;DIV;796.004;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES614;5103;DIV;247.8696;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES614;5104;DIV;2.0152;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES614;5107;DIV;912.5348;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES615;5105;DIV;1060.4795;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES615;5101;DIV;15.8464;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES615;5102;DIV;511.0464;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES615;5103;DIV;73.2896;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES615;5104;DIV;1.9808;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES615;5107;DIV;458.3163;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES616;5105;DIV;1127.8821;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES616;5101;DIV;32.7552;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES616;5102;DIV;403.2984;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES616;5103;DIV;75.7464;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES616;5107;DIV;616.0821;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES617;5105;DIV;3652.1307;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES617;5101;DIV;71.0952;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES617;5102;DIV;1402.5144;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES617;5103;DIV;340.9338;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES617;5104;DIV;9.6948;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES617;5107;DIV;1827.8925;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES618;5105;DIV;4318.3766;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES618;5101;DIV;100.3385;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES618;5102;DIV;1834.9575;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES618;5103;DIV;516.812;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES618;5104;DIV;12.3705;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2017;ES618;5107;DIV;1853.8981;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2016;ES61;5105;DIV;16968.2676;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2016;ES61;5101;DIV;384.1741;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2016;ES61;5102;DIV;7356.5474;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2016;ES61;5103;DIV;1611.2765;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2016;ES61;5104;DIV;38.3014;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2016;ES61;5107;DIV;7577.9682;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2016;ES611;5105;DIV;1425.5804;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
2016;ES611;5101;DIV;25.2681;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
