TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;SEXO;PROCEDENCIA_ECTA;TIPO_ALOJAM_ECTA
2005;ES613;TASA_VARI_INTE;-28.377078243743153;A;_Z;_Z;_Z
2005;ES614;TASA_VARI_INTE;-0.014916481647772914;A;_Z;_Z;_Z
2005;ES615;TASA_VARI_INTE;-1.5405664500349667;A;_Z;_Z;_Z
2005;ES616;TASA_VARI_INTE;-3.813134004935744;A;_Z;_Z;_Z
2005;ES617;TASA_VARI_INTE;-5.72763625108318;A;_Z;_Z;_Z
2005;ES618;TASA_VARI_INTE;1.2970478963867347;A;_Z;_Z;_Z
2006;;TASA_VARI_INTE;18.980465791234042;A;_Z;_Z;_Z
2006;ES611;TASA_VARI_INTE;20.64953594281926;A;_Z;_Z;_Z
2006;ES612;TASA_VARI_INTE;-7.102867116204579;A;_Z;_Z;_Z
2006;ES613;TASA_VARI_INTE;7.1300566142199555;A;_Z;_Z;_Z
2006;ES614;TASA_VARI_INTE;-18.26929838372784;A;_Z;_Z;_Z
2006;ES615;TASA_VARI_INTE;20.18166801406976;A;_Z;_Z;_Z
2006;ES616;TASA_VARI_INTE;4.2898759682634715;A;_Z;_Z;_Z
2006;ES617;TASA_VARI_INTE;-15.633285796204929;A;_Z;_Z;_Z
2006;ES618;TASA_VARI_INTE;-9.212781597924156;A;_Z;_Z;_Z
2007;;TASA_VARI_INTE;-8.380591813933744;A;_Z;_Z;_Z
2007;ES611;TASA_VARI_INTE;-8.181362253144098;A;_Z;_Z;_Z
2007;ES612;TASA_VARI_INTE;-7.223600441777639;A;_Z;_Z;_Z
2007;ES613;TASA_VARI_INTE;-15.060026062099896;A;_Z;_Z;_Z
2007;ES614;TASA_VARI_INTE;14.676148150214333;A;_Z;_Z;_Z
2007;ES615;TASA_VARI_INTE;-9.02997872529942;A;_Z;_Z;_Z
2007;ES616;TASA_VARI_INTE;-4.107208109270402;A;_Z;_Z;_Z
2007;ES617;TASA_VARI_INTE;-8.332081154148893;A;_Z;_Z;_Z
2007;ES618;TASA_VARI_INTE;-0.08435648906280073;A;_Z;_Z;_Z
2008;;TASA_VARI_INTE;3.9859491984728055;A;_Z;_Z;_Z
2008;ES611;TASA_VARI_INTE;-0.504089316934141;A;_Z;_Z;_Z
2008;ES612;TASA_VARI_INTE;9.9933692066297;A;_Z;_Z;_Z
2008;ES613;TASA_VARI_INTE;-5.183566173458813;A;_Z;_Z;_Z
2008;ES614;TASA_VARI_INTE;-1.7785004791823864;A;_Z;_Z;_Z
2008;ES615;TASA_VARI_INTE;-10.055489424427853;A;_Z;_Z;_Z
2008;ES616;TASA_VARI_INTE;-0.6303427618169105;A;_Z;_Z;_Z
2008;ES617;TASA_VARI_INTE;7.860904898487975;A;_Z;_Z;_Z
2008;ES618;TASA_VARI_INTE;0.7387660426999412;A;_Z;_Z;_Z
2009;;TASA_VARI_INTE;2.777118795979438;A;_Z;_Z;_Z
2009;ES611;TASA_VARI_INTE;4.345561952188566;A;_Z;_Z;_Z
2009;ES612;TASA_VARI_INTE;7.490567098224628;A;_Z;_Z;_Z
2009;ES613;TASA_VARI_INTE;-1.1925367463286893;A;_Z;_Z;_Z
2009;ES614;TASA_VARI_INTE;5.225844631843249;A;_Z;_Z;_Z
2009;ES615;TASA_VARI_INTE;0.22212413754777896;A;_Z;_Z;_Z
2009;ES616;TASA_VARI_INTE;-24.2228904480621;A;_Z;_Z;_Z
2009;ES617;TASA_VARI_INTE;7.489851713738445;A;_Z;_Z;_Z
2009;ES618;TASA_VARI_INTE;-8.562792449768517;A;_Z;_Z;_Z
2010;;TASA_VARI_INTE;2.5368562618864243;A;_Z;_Z;_Z
2010;ES611;TASA_VARI_INTE;2.5938749822755103;A;_Z;_Z;_Z
2010;ES612;TASA_VARI_INTE;-0.7759267129017671;A;_Z;_Z;_Z
2010;ES613;TASA_VARI_INTE;10.550880235407643;A;_Z;_Z;_Z
2010;ES614;TASA_VARI_INTE;-0.09085620658095522;A;_Z;_Z;_Z
2010;ES615;TASA_VARI_INTE;-8.30567700922197;A;_Z;_Z;_Z
2010;ES616;TASA_VARI_INTE;11.355393960434142;A;_Z;_Z;_Z
2010;ES617;TASA_VARI_INTE;-1.0259151748081108;A;_Z;_Z;_Z
2010;ES618;TASA_VARI_INTE;-9.688697662179617;A;_Z;_Z;_Z
2011;;TASA_VARI_INTE;0.4672560943372304;A;_Z;_Z;_Z
