D_ESTADO_DATO_0;D_PARQUES_TURISMO_0;D_RESITUR_0;D_TEMPORAL_0;INDICATOR;OBS_VALUE;FREQ
40123;55126;55549;2015;Viajeros;249.25817557;A
40123;55126;55549;2010;Viajeros;188.349372655;A
40123;55126;55550;2020;Viajeros;-;A
40123;55126;55550;2019;Viajeros;368.843222017;A
40123;55126;55550;2018;Viajeros;474.07127224;A
40123;55126;55550;2017;Viajeros;443.064501233;A
40123;55126;55550;2016;Viajeros;192.39213145;A
40123;55126;55550;2015;Viajeros;112.85527394;A
40123;55126;55550;2010;Viajeros;225.048818651;A
40123;55126;55551;2020;Viajeros;500.6215598;A
40123;55126;55551;2019;Viajeros;620.847854228;A
40123;55126;55551;2018;Viajeros;449.522317636;A
40123;55126;55551;2017;Viajeros;693.589194485;A
40123;55126;55551;2016;Viajeros;657.545790805;A
40123;55126;55551;2015;Viajeros;348.538451165;A
40123;55126;55551;2010;Viajeros;379.635624042;A
40123;55126;55552;2020;Viajeros;214.891121963;A
40123;55126;55552;2019;Viajeros;401.056524858;A
40123;55126;55552;2018;Viajeros;586.663816249;A
40123;55126;55552;2017;Viajeros;448.9291987;A
40123;55126;55552;2016;Viajeros;133.88871727;A
40123;55126;55552;2015;Viajeros;231.68545835;A
40123;55126;55552;2010;Viajeros;242.755186986;A
40123;55126;55553;2020;Viajeros;243.902590273;A
40123;55126;55553;2019;Viajeros;854.977583652;A
40123;55126;55553;2018;Viajeros;899.445196814;A
40123;55126;55553;2017;Viajeros;1106.62015534;A
40123;55126;55553;2016;Viajeros;1014.0085561;A
40123;55126;55553;2015;Viajeros;772.9137122;A
40123;55126;55553;2010;Viajeros;2319.02671544;A
40123;55126;55554;2020;Viajeros;-;A
40123;55126;55554;2019;Viajeros;165.77347402;A
40123;55126;55554;2018;Viajeros;219.82062306;A
40123;55126;55554;2017;Viajeros;212.22638894;A
40123;55126;55554;2016;Viajeros;124.831437107;A
40123;55126;55554;2015;Viajeros;-;A
40123;55126;55554;2010;Viajeros;-;A
40123;55126;55555;2020;Viajeros;185.571242922;A
40123;55126;55555;2019;Viajeros;796.15586631;A
40123;55126;55555;2018;Viajeros;844.739109054;A
40123;55126;55555;2017;Viajeros;936.061994312;A
40123;55126;55555;2016;Viajeros;666.93385383;A
40123;55126;55555;2015;Viajeros;342.5674159;A
40123;55126;55555;2010;Viajeros;952.38403018;A
40123;55126;55556;2020;Viajeros;-;A
40123;55126;55556;2019;Viajeros;270.050041759;A
40123;55126;55556;2018;Viajeros;186.24376407;A
40123;55126;55556;2017;Viajeros;167.860841924;A
40123;55126;55556;2016;Viajeros;-;A
40123;55126;55556;2015;Viajeros;158.68300256;A
40123;55126;55556;2010;Viajeros;260.024795241;A
40123;55126;55557;2020;Viajeros;-;A
40123;55126;55557;2019;Viajeros;203.936904466;A
40123;55126;55557;2018;Viajeros;-;A
40123;55126;55557;2017;Viajeros;107.991381299;A
