D_TEMPORAL_0;D_TERRITORIO_0;D_CNAE09_0;INDICATOR;OBS_VALUE;FREQ
2020;3023;8174;Empresas;210.0;A
2020;3023;8182;Empresas;426.0;A
2020;3023;8185;Empresas;96.0;A
2020;3023;8187;Empresas;;A
2020;3023;8200;Empresas;169.0;A
2020;3023;8191;Empresas;101.0;A
2020;3023;8194;Empresas;19.0;A
2020;3023;8197;Empresas;49.0;A
2020;3023;8199;Empresas;;A
2020;3023;8210;Empresas;803.0;A
2020;3023;8204;Empresas;516.0;A
2020;3023;8207;Empresas;287.0;A
2020;3023;8209;Empresas;;A
2020;3023;8222;Empresas;127.0;A
2020;3023;8213;Empresas;61.0;A
2020;3023;8216;Empresas;27.0;A
2020;3023;8219;Empresas;39.0;A
2020;3023;8221;Empresas;;A
2020;3023;8236;Empresas;2103.0;A
2020;3023;8225;Empresas;138.0;A
2020;3023;8230;Empresas;1558.0;A
2020;3023;8233;Empresas;407.0;A
2020;3023;8235;Empresas;;A
2020;3023;8254;Empresas;2292.0;A
2020;3023;8240;Empresas;495.0;A
2020;3023;8243;Empresas;48.0;A
2020;3023;8246;Empresas;279.0;A
2020;3023;8251;Empresas;1470.0;A
2020;3023;8253;Empresas;;A
2020;3023;8256;Empresas;9291.0;A
2020;3023;8275;Empresas;;A
2020;3023;8274;Empresas;;A
2020;3023;8261;Empresas;;A
2020;3023;8268;Empresas;;A
2020;3023;8271;Empresas;;A
2020;3023;8273;Empresas;;A
2020;3023;8303;Empresas;3736.0;A
2020;3023;8302;Empresas;3736.0;A
2020;3023;8278;Empresas;293.0;A
2020;3023;8281;Empresas;135.0;A
2020;3023;8285;Empresas;360.0;A
2020;3023;8290;Empresas;113.0;A
2020;3023;8296;Empresas;2800.0;A
2020;3023;8299;Empresas;35.0;A
2020;3023;8301;Empresas;;A
2020;3023;8345;Empresas;5555.0;A
2020;3023;8317;Empresas;5197.0;A
2020;3023;8306;Empresas;47.0;A
2020;3023;8311;Empresas;2779.0;A
2020;3023;8314;Empresas;2371.0;A
2020;3023;8316;Empresas;;A
2020;3023;8333;Empresas;135.0;A
2020;3023;8320;Empresas;39.0;A
2020;3023;8323;Empresas;16.0;A
2020;3023;8327;Empresas;71.0;A
2020;3023;8330;Empresas;9.0;A
2020;3023;8332;Empresas;;A
2020;3023;8344;Empresas;223.0;A
2020;3023;8337;Empresas;94.0;A
2020;3023;8341;Empresas;129.0;A
2020;3023;8343;Empresas;;A
2020;3023;8346;Empresas;10458.0;A
2020;3023;8385;Empresas;2894.0;A
2020;3023;8355;Empresas;1028.0;A
2020;3023;8352;Empresas;1028.0;A
2020;3023;8354;Empresas;;A
2020;3023;8365;Empresas;127.0;A
2020;3023;8362;Empresas;127.0;A
2020;3023;8364;Empresas;;A
2020;3023;8371;Empresas;340.0;A
2020;3023;8368;Empresas;340.0;A
2020;3023;8370;Empresas;;A
2020;3023;8384;Empresas;1399.0;A
2020;3023;8377;Empresas;879.0;A
2020;3023;8381;Empresas;520.0;A
2020;3023;8383;Empresas;;A
2020;3023;8426;Empresas;7564.0;A
2020;3023;8400;Empresas;646.0;A
2020;3023;8389;Empresas;88.0;A
2020;3023;8392;Empresas;7.0;A
2020;3023;8397;Empresas;551.0;A
2020;3023;8399;Empresas;;A
2020;3023;8415;Empresas;853.0;A
2020;3023;8404;Empresas;182.0;A
2020;3023;8412;Empresas;671.0;A
2020;3023;8414;Empresas;;A
2020;3023;8425;Empresas;6065.0;A
2020;3023;8422;Empresas;6065.0;A
2020;3023;8424;Empresas;;A
2020;3023;8442;Empresas;;A
2020;3023;8432;Empresas;;A
2020;3023;8429;Empresas;;A
2020;3023;8431;Empresas;;A
2020;3023;8441;Empresas;;A
2020;3023;8435;Empresas;;A
2020;3023;8438;Empresas;;A
2020;3023;8440;Empresas;;A
2020;3023;8449;Empresas;;A
2020;3023;8448;Empresas;;A
2020;3023;8445;Empresas;;A
2020;3023;8447;Empresas;;A
