ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO
A;ES611;2020;PLAZ_MEDI_ESTI;7396.32301195;A;_Z;_Z
A;ES611;2019;PLAZ_MEDI_ESTI;8073.434331798;A;_Z;_Z
A;ES611;2018;PLAZ_MEDI_ESTI;7900.961994332;A;_Z;_Z
A;ES611;2017;PLAZ_MEDI_ESTI;7694.272311778;A;_Z;_Z
A;ES611;2016;PLAZ_MEDI_ESTI;7677.96577682;A;_Z;_Z
A;ES611;2015;PLAZ_MEDI_ESTI;7744.16397852;A;_Z;_Z
A;ES611;2014;PLAZ_MEDI_ESTI;8018.5166667;A;_Z;_Z
A;ES611;2013;PLAZ_MEDI_ESTI;8054.41666663;A;_Z;_Z
A;ES611;2012;PLAZ_MEDI_ESTI;8005.83333333;A;_Z;_Z
A;ES611;2011;PLAZ_MEDI_ESTI;8002.6666667;A;_Z;_Z
A;ES611;2010;PLAZ_MEDI_ESTI;7900.65591401;A;_Z;_Z
A;ES611;2009;PLAZ_MEDI_ESTI;7873.9333333;A;_Z;_Z
A;ES611;2008;PLAZ_MEDI_ESTI;7791.060476;A;_Z;_Z
A;ES611;2007;PLAZ_MEDI_ESTI;8830.51226812;A;_Z;_Z
A;ES612;2020;PLAZ_MEDI_ESTI;11107.928661615;A;_Z;_Z
A;ES612;2019;PLAZ_MEDI_ESTI;14997.96701575;A;_Z;_Z
A;ES612;2018;PLAZ_MEDI_ESTI;14589.7163589;A;_Z;_Z
A;ES612;2017;PLAZ_MEDI_ESTI;14586.79559569;A;_Z;_Z
A;ES612;2016;PLAZ_MEDI_ESTI;15170.7815862;A;_Z;_Z
A;ES612;2015;PLAZ_MEDI_ESTI;14619.92640228;A;_Z;_Z
A;ES612;2014;PLAZ_MEDI_ESTI;14642.61022608;A;_Z;_Z
A;ES612;2013;PLAZ_MEDI_ESTI;15507.40241154;A;_Z;_Z
A;ES612;2012;PLAZ_MEDI_ESTI;15179.88954717;A;_Z;_Z
A;ES612;2011;PLAZ_MEDI_ESTI;13895.19369801;A;_Z;_Z
A;ES612;2010;PLAZ_MEDI_ESTI;13886.97642075;A;_Z;_Z
A;ES612;2009;PLAZ_MEDI_ESTI;13143.677798223;A;_Z;_Z
A;ES612;2008;PLAZ_MEDI_ESTI;13060.861763053;A;_Z;_Z
A;ES612;2007;PLAZ_MEDI_ESTI;14143.21693262;A;_Z;_Z
A;ES613;2020;PLAZ_MEDI_ESTI;2747.596285436;A;_Z;_Z
A;ES613;2019;PLAZ_MEDI_ESTI;3382.190322581;A;_Z;_Z
A;ES613;2018;PLAZ_MEDI_ESTI;3362.705376382;A;_Z;_Z
A;ES613;2017;PLAZ_MEDI_ESTI;3373.99731186;A;_Z;_Z
A;ES613;2016;PLAZ_MEDI_ESTI;3364.072645567;A;_Z;_Z
A;ES613;2015;PLAZ_MEDI_ESTI;3298.256720467;A;_Z;_Z
A;ES613;2014;PLAZ_MEDI_ESTI;3300.938172;A;_Z;_Z
A;ES613;2013;PLAZ_MEDI_ESTI;3442.672043;A;_Z;_Z
A;ES613;2012;PLAZ_MEDI_ESTI;3455.9166667;A;_Z;_Z
A;ES613;2011;PLAZ_MEDI_ESTI;3490.6370968;A;_Z;_Z
A;ES613;2010;PLAZ_MEDI_ESTI;3518.411290371;A;_Z;_Z
A;ES613;2009;PLAZ_MEDI_ESTI;3732.8924731;A;_Z;_Z
A;ES613;2008;PLAZ_MEDI_ESTI;3700.79032261;A;_Z;_Z
A;ES613;2007;PLAZ_MEDI_ESTI;3766.73157913;A;_Z;_Z
A;ES614;2020;PLAZ_MEDI_ESTI;5727.687814625;A;_Z;_Z
A;ES614;2019;PLAZ_MEDI_ESTI;7249.826792673;A;_Z;_Z
A;ES614;2018;PLAZ_MEDI_ESTI;7296.18279576;A;_Z;_Z
A;ES614;2017;PLAZ_MEDI_ESTI;7537.8748849;A;_Z;_Z
A;ES614;2016;PLAZ_MEDI_ESTI;7990.2204301;A;_Z;_Z
A;ES614;2015;PLAZ_MEDI_ESTI;7813.90887096;A;_Z;_Z
A;ES614;2014;PLAZ_MEDI_ESTI;7713.1833333;A;_Z;_Z
A;ES614;2013;PLAZ_MEDI_ESTI;7584.2626192;A;_Z;_Z
A;ES614;2012;PLAZ_MEDI_ESTI;7522.6123303;A;_Z;_Z
A;ES614;2011;PLAZ_MEDI_ESTI;7349.6504098;A;_Z;_Z
A;ES614;2010;PLAZ_MEDI_ESTI;7286.77939061;A;_Z;_Z
A;ES614;2009;PLAZ_MEDI_ESTI;7219.4041218;A;_Z;_Z
A;ES614;2008;PLAZ_MEDI_ESTI;7257.91129033;A;_Z;_Z
