D_TEMPORAL_0;D_TERRITORIO_0;D_EDAD_0;D_G102_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;2352;4306;838410;3689;Defunciones;151.0;A
2020;2352;4306;838410;3690;Defunciones;115.0;A
2020;2352;4306;838410;3691;Defunciones;266.0;A
2020;2352;4306;838411;3689;Defunciones;18.0;A
2020;2352;4306;838411;3690;Defunciones;15.0;A
2020;2352;4306;838411;3691;Defunciones;33.0;A
2020;2352;4306;57731;3689;Defunciones;2882.0;A
2020;2352;4306;57731;3690;Defunciones;2517.0;A
2020;2352;4306;57731;3691;Defunciones;5399.0;A
2020;2352;4306;583;3689;Defunciones;3051.0;A
2020;2352;4306;583;3690;Defunciones;2647.0;A
2020;2352;4306;583;3691;Defunciones;5698.0;A
2020;2402;61611;57731;3689;Defunciones;13.0;A
2020;2402;61611;57731;3690;Defunciones;7.0;A
2020;2402;61611;57731;3691;Defunciones;20.0;A
2020;2402;61611;583;3689;Defunciones;13.0;A
2020;2402;61611;583;3690;Defunciones;7.0;A
2020;2402;61611;583;3691;Defunciones;20.0;A
2020;2402;4172;57731;3689;Defunciones;8.0;A
2020;2402;4172;57731;3690;Defunciones;6.0;A
2020;2402;4172;57731;3691;Defunciones;14.0;A
2020;2402;4172;583;3689;Defunciones;8.0;A
2020;2402;4172;583;3690;Defunciones;6.0;A
2020;2402;4172;583;3691;Defunciones;14.0;A
2020;2402;4191;838410;3689;Defunciones;1.0;A
2020;2402;4191;838410;3690;Defunciones;1.0;A
2020;2402;4191;838410;3691;Defunciones;2.0;A
2020;2402;4191;838411;3689;Defunciones;1.0;A
2020;2402;4191;838411;3691;Defunciones;1.0;A
2020;2402;4191;57731;3689;Defunciones;30.0;A
2020;2402;4191;57731;3690;Defunciones;11.0;A
2020;2402;4191;57731;3691;Defunciones;41.0;A
2020;2402;4191;583;3689;Defunciones;32.0;A
2020;2402;4191;583;3690;Defunciones;12.0;A
2020;2402;4191;583;3691;Defunciones;44.0;A
2020;2402;4210;838410;3689;Defunciones;3.0;A
2020;2402;4210;838410;3690;Defunciones;1.0;A
2020;2402;4210;838410;3691;Defunciones;4.0;A
2020;2402;4210;57731;3689;Defunciones;60.0;A
2020;2402;4210;57731;3690;Defunciones;30.0;A
2020;2402;4210;57731;3691;Defunciones;90.0;A
2020;2402;4210;583;3689;Defunciones;63.0;A
2020;2402;4210;583;3690;Defunciones;31.0;A
2020;2402;4210;583;3691;Defunciones;94.0;A
2020;2402;4235;57731;3689;Defunciones;57.0;A
2020;2402;4235;57731;3690;Defunciones;37.0;A
2020;2402;4235;57731;3691;Defunciones;94.0;A
2020;2402;4235;583;3689;Defunciones;57.0;A
2020;2402;4235;583;3690;Defunciones;37.0;A
2020;2402;4235;583;3691;Defunciones;94.0;A
2020;2402;4305;838410;3689;Defunciones;5.0;A
2020;2402;4305;838410;3691;Defunciones;5.0;A
2020;2402;4305;838411;3689;Defunciones;1.0;A
2020;2402;4305;838411;3690;Defunciones;1.0;A
2020;2402;4305;838411;3691;Defunciones;2.0;A
2020;2402;4305;57731;3689;Defunciones;113.0;A
2020;2402;4305;57731;3690;Defunciones;50.0;A
2020;2402;4305;57731;3691;Defunciones;163.0;A
2020;2402;4305;583;3689;Defunciones;119.0;A
2020;2402;4305;583;3690;Defunciones;51.0;A
2020;2402;4305;583;3691;Defunciones;170.0;A
2020;2402;61613;838410;3689;Defunciones;10.0;A
2020;2402;61613;838410;3690;Defunciones;7.0;A
2020;2402;61613;838410;3691;Defunciones;17.0;A
2020;2402;61613;838411;3689;Defunciones;2.0;A
2020;2402;61613;838411;3691;Defunciones;2.0;A
2020;2402;61613;57731;3689;Defunciones;221.0;A
2020;2402;61613;57731;3690;Defunciones;104.0;A
2020;2402;61613;57731;3691;Defunciones;325.0;A
2020;2402;61613;583;3689;Defunciones;233.0;A
2020;2402;61613;583;3690;Defunciones;111.0;A
2020;2402;61613;583;3691;Defunciones;344.0;A
2020;2402;61614;838410;3689;Defunciones;13.0;A
2020;2402;61614;838410;3690;Defunciones;7.0;A
2020;2402;61614;838410;3691;Defunciones;20.0;A
2020;2402;61614;838411;3689;Defunciones;3.0;A
