D_TEMPORAL_0;D_CIE10_0;D_TERRITORIO_0;D_SEXO_0;INDICATOR;OBS_VALUE;FREQ
2020;56873;3023;3691;Defunciones;83.0;A
2020;56873;3023;3689;Defunciones;26.0;A
2020;56873;3023;3690;Defunciones;57.0;A
2020;56873;3142;3691;Defunciones;163.0;A
2020;56873;3142;3689;Defunciones;64.0;A
2020;56873;3142;3690;Defunciones;99.0;A
2020;56947;3143;3691;Defunciones;2619.0;A
2020;56947;3143;3689;Defunciones;1130.0;A
2020;56947;3143;3690;Defunciones;1489.0;A
2020;56947;2352;3691;Defunciones;184.0;A
2020;56947;2352;3689;Defunciones;73.0;A
2020;56947;2352;3690;Defunciones;111.0;A
2020;56947;2402;3691;Defunciones;433.0;A
2020;56947;2402;3689;Defunciones;207.0;A
2020;56947;2402;3690;Defunciones;226.0;A
2020;56947;2482;3691;Defunciones;272.0;A
2020;56947;2482;3689;Defunciones;118.0;A
2020;56947;2482;3690;Defunciones;154.0;A
2020;56947;2713;3691;Defunciones;333.0;A
2020;56947;2713;3689;Defunciones;144.0;A
2020;56947;2713;3690;Defunciones;189.0;A
2020;56947;2797;3691;Defunciones;159.0;A
2020;56947;2797;3689;Defunciones;71.0;A
2020;56947;2797;3690;Defunciones;88.0;A
2020;56947;2911;3691;Defunciones;261.0;A
2020;56947;2911;3689;Defunciones;110.0;A
2020;56947;2911;3690;Defunciones;151.0;A
2020;56947;3023;3691;Defunciones;426.0;A
2020;56947;3023;3689;Defunciones;173.0;A
2020;56947;3023;3690;Defunciones;253.0;A
2020;56947;3142;3691;Defunciones;551.0;A
2020;56947;3142;3689;Defunciones;234.0;A
2020;56947;3142;3690;Defunciones;317.0;A
2020;57018;3143;3691;Defunciones;2.0;A
2020;57018;3143;3690;Defunciones;2.0;A
2020;57018;3142;3691;Defunciones;2.0;A
2020;57018;3142;3690;Defunciones;2.0;A
2020;57078;3143;3691;Defunciones;117.0;A
2020;57078;3143;3689;Defunciones;67.0;A
2020;57078;3143;3690;Defunciones;50.0;A
2020;57078;2352;3691;Defunciones;24.0;A
2020;57078;2352;3689;Defunciones;10.0;A
2020;57078;2352;3690;Defunciones;14.0;A
2020;57078;2402;3691;Defunciones;14.0;A
2020;57078;2402;3689;Defunciones;11.0;A
2020;57078;2402;3690;Defunciones;3.0;A
2020;57078;2482;3691;Defunciones;8.0;A
2020;57078;2482;3689;Defunciones;3.0;A
2020;57078;2482;3690;Defunciones;5.0;A
2020;57078;2713;3691;Defunciones;6.0;A
2020;57078;2713;3689;Defunciones;4.0;A
2020;57078;2713;3690;Defunciones;2.0;A
2020;57078;2797;3691;Defunciones;9.0;A
2020;57078;2797;3689;Defunciones;6.0;A
2020;57078;2797;3690;Defunciones;3.0;A
2020;57078;2911;3691;Defunciones;10.0;A
2020;57078;2911;3689;Defunciones;5.0;A
2020;57078;2911;3690;Defunciones;5.0;A
2020;57078;3023;3691;Defunciones;19.0;A
2020;57078;3023;3689;Defunciones;12.0;A
2020;57078;3023;3690;Defunciones;7.0;A
2020;57078;3142;3691;Defunciones;27.0;A
2020;57078;3142;3689;Defunciones;16.0;A
2020;57078;3142;3690;Defunciones;11.0;A
2020;57167;3143;3691;Defunciones;168.0;A
2020;57167;3143;3689;Defunciones;96.0;A
2020;57167;3143;3690;Defunciones;72.0;A
2020;57167;2352;3691;Defunciones;10.0;A
2020;57167;2352;3689;Defunciones;6.0;A
2020;57167;2352;3690;Defunciones;4.0;A
2020;57167;2402;3691;Defunciones;23.0;A
2020;57167;2402;3689;Defunciones;12.0;A
2020;57167;2402;3690;Defunciones;11.0;A
2020;57167;2482;3691;Defunciones;17.0;A
2020;57167;2482;3689;Defunciones;8.0;A
2020;57167;2482;3690;Defunciones;9.0;A
2020;57167;2713;3691;Defunciones;22.0;A
2020;57167;2713;3689;Defunciones;14.0;A
2020;57167;2713;3690;Defunciones;8.0;A
2020;57167;2797;3691;Defunciones;16.0;A
2020;57167;2797;3689;Defunciones;6.0;A
2020;57167;2797;3690;Defunciones;10.0;A
2020;57167;2911;3691;Defunciones;16.0;A
2020;57167;2911;3689;Defunciones;9.0;A
2020;57167;2911;3690;Defunciones;7.0;A
2020;57167;3023;3691;Defunciones;24.0;A
2020;57167;3023;3689;Defunciones;14.0;A
