TEMPORAL;TERRITORIO;EDAD;SEXO;INDICATOR;OBS_VALUE;FREQ
2020;2253;Y30-34;M;NACI;295.0;A
2020;2253;Y30-34;F;NACI;264.0;A
2020;2253;Y35-39;_T;NACI;453.0;A
2020;2253;Y35-39;M;NACI;217.0;A
2020;2253;Y35-39;F;NACI;236.0;A
2020;2253;Y30-44;_T;NACI;160.0;A
2020;2253;Y30-44;M;NACI;80.0;A
2020;2253;Y30-44;F;NACI;80.0;A
2020;2253;Y45-64;_T;NACI;12.0;A
2020;2253;Y45-64;M;NACI;4.0;A
2020;2253;Y45-64;F;NACI;8.0;A
2020;2253;Y65-100;_T;NACI;1.0;A
2020;2253;Y65-100;M;NACI;1.0;A
2020;2256;TOTAL;_T;NACI;28.0;A
2020;2256;TOTAL;M;NACI;15.0;A
2020;2256;TOTAL;F;NACI;13.0;A
2020;2256;Y20-24;_T;NACI;3.0;A
2020;2256;Y20-24;M;NACI;3.0;A
2020;2256;Y25-29;_T;NACI;3.0;A
2020;2256;Y25-29;M;NACI;2.0;A
2020;2256;Y25-29;F;NACI;1.0;A
2020;2256;Y30-34;_T;NACI;13.0;A
2020;2256;Y30-34;M;NACI;6.0;A
2020;2256;Y30-34;F;NACI;7.0;A
2020;2256;Y35-39;_T;NACI;7.0;A
2020;2256;Y35-39;M;NACI;2.0;A
2020;2256;Y35-39;F;NACI;5.0;A
2020;2256;Y30-44;_T;NACI;2.0;A
2020;2256;Y30-44;M;NACI;2.0;A
2020;2257;TOTAL;_T;NACI;5.0;A
2020;2257;TOTAL;M;NACI;2.0;A
2020;2257;TOTAL;F;NACI;3.0;A
2020;2257;Y30-34;_T;NACI;2.0;A
2020;2257;Y30-34;M;NACI;1.0;A
2020;2257;Y30-34;F;NACI;1.0;A
2020;2257;Y35-39;_T;NACI;3.0;A
2020;2257;Y35-39;M;NACI;1.0;A
2020;2257;Y35-39;F;NACI;2.0;A
2020;9563;TOTAL;_T;NACI;17.0;A
2020;9563;TOTAL;M;NACI;12.0;A
2020;9563;TOTAL;F;NACI;5.0;A
2020;9563;Y20-24;_T;NACI;3.0;A
