TIME_PERIOD;REF_AREA;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2010;2246;F;Y95-99;DEATHS;5.0;A
2010;2246;F;Y_GE100;DEATHS;1.0;A
2010;2247;_T;TOTAL;DEATHS;5.0;A
2010;2247;_T;Y60-64;DEATHS;1.0;A
2010;2247;_T;Y75-79;DEATHS;2.0;A
2010;2247;_T;Y85-89;DEATHS;1.0;A
2010;2247;_T;Y95-99;DEATHS;1.0;A
2010;2247;M;TOTAL;DEATHS;3.0;A
2010;2247;M;Y60-64;DEATHS;1.0;A
2010;2247;M;Y75-79;DEATHS;1.0;A
2010;2247;M;Y85-89;DEATHS;1.0;A
2010;2247;F;TOTAL;DEATHS;2.0;A
2010;2247;F;Y75-79;DEATHS;1.0;A
2010;2247;F;Y95-99;DEATHS;1.0;A
2010;2248;_T;TOTAL;DEATHS;10.0;A
2010;2248;_T;Y55-59;DEATHS;1.0;A
2010;2248;_T;Y75-79;DEATHS;1.0;A
2010;2248;_T;Y80-84;DEATHS;2.0;A
2010;2248;_T;Y85-89;DEATHS;4.0;A
2010;2248;_T;Y90-94;DEATHS;1.0;A
2010;2248;_T;Y95-99;DEATHS;1.0;A
2010;2248;M;TOTAL;DEATHS;6.0;A
2010;2248;M;Y55-59;DEATHS;1.0;A
2010;2248;M;Y75-79;DEATHS;1.0;A
2010;2248;M;Y80-84;DEATHS;2.0;A
2010;2248;M;Y85-89;DEATHS;1.0;A
2010;2248;M;Y95-99;DEATHS;1.0;A
2010;2248;F;TOTAL;DEATHS;4.0;A
2010;2248;F;Y85-89;DEATHS;3.0;A
2010;2248;F;Y90-94;DEATHS;1.0;A
2010;2249;_T;TOTAL;DEATHS;1.0;A
2010;2249;_T;Y85-89;DEATHS;1.0;A
2010;2249;F;TOTAL;DEATHS;1.0;A
2010;2249;F;Y85-89;DEATHS;1.0;A
2010;2250;_T;TOTAL;DEATHS;9.0;A
2010;2250;_T;Y50-54;DEATHS;2.0;A
2010;2250;_T;Y65-69;DEATHS;1.0;A
2010;2250;_T;Y75-79;DEATHS;2.0;A
2010;2250;_T;Y80-84;DEATHS;1.0;A
2010;2250;_T;Y85-89;DEATHS;2.0;A
2010;2250;_T;Y95-99;DEATHS;1.0;A
2010;2250;M;TOTAL;DEATHS;5.0;A
2010;2250;M;Y50-54;DEATHS;2.0;A
2010;2250;M;Y75-79;DEATHS;1.0;A
2010;2250;M;Y80-84;DEATHS;1.0;A
2010;2250;M;Y85-89;DEATHS;1.0;A
2010;2250;F;TOTAL;DEATHS;4.0;A
2010;2250;F;Y65-69;DEATHS;1.0;A
2010;2250;F;Y75-79;DEATHS;1.0;A
2010;2250;F;Y85-89;DEATHS;1.0;A
2010;2250;F;Y95-99;DEATHS;1.0;A
2010;2251;_T;TOTAL;DEATHS;50.0;A
2010;2251;_T;Y_LT1;DEATHS;1.0;A
2010;2251;_T;Y35-39;DEATHS;1.0;A
2010;2251;_T;Y55-59;DEATHS;1.0;A
2010;2251;_T;Y60-64;DEATHS;1.0;A
2010;2251;_T;Y65-69;DEATHS;1.0;A
2010;2251;_T;Y70-74;DEATHS;5.0;A
2010;2251;_T;Y75-79;DEATHS;7.0;A
2010;2251;_T;Y80-84;DEATHS;7.0;A
2010;2251;_T;Y85-89;DEATHS;15.0;A
2010;2251;_T;Y90-94;DEATHS;6.0;A
2010;2251;_T;Y95-99;DEATHS;4.0;A
2010;2251;_T;Y_GE100;DEATHS;1.0;A
2010;2251;M;TOTAL;DEATHS;22.0;A
2010;2251;M;Y60-64;DEATHS;1.0;A
2010;2251;M;Y65-69;DEATHS;1.0;A
2010;2251;M;Y70-74;DEATHS;2.0;A
2010;2251;M;Y75-79;DEATHS;5.0;A
2010;2251;M;Y80-84;DEATHS;5.0;A
2010;2251;M;Y85-89;DEATHS;4.0;A
2010;2251;M;Y90-94;DEATHS;3.0;A
2010;2251;M;Y95-99;DEATHS;1.0;A
2010;2251;F;TOTAL;DEATHS;28.0;A
2010;2251;F;Y_LT1;DEATHS;1.0;A
2010;2251;F;Y35-39;DEATHS;1.0;A
2010;2251;F;Y55-59;DEATHS;1.0;A
2010;2251;F;Y70-74;DEATHS;3.0;A
2010;2251;F;Y75-79;DEATHS;2.0;A
2010;2251;F;Y80-84;DEATHS;2.0;A
2010;2251;F;Y85-89;DEATHS;11.0;A
2010;2251;F;Y90-94;DEATHS;3.0;A
2010;2251;F;Y95-99;DEATHS;3.0;A
2010;2251;F;Y_GE100;DEATHS;1.0;A
2010;2252;_T;TOTAL;DEATHS;3.0;A
2010;2252;_T;Y70-74;DEATHS;2.0;A
2010;2252;_T;Y75-79;DEATHS;1.0;A
2010;2252;M;TOTAL;DEATHS;1.0;A
2010;2252;M;Y70-74;DEATHS;1.0;A
2010;2252;F;TOTAL;DEATHS;2.0;A
2010;2252;F;Y70-74;DEATHS;1.0;A
2010;2252;F;Y75-79;DEATHS;1.0;A
2010;2253;_T;TOTAL;DEATHS;1346.0;A
2010;2253;_T;Y_LT1;DEATHS;11.0;A
2010;2253;_T;Y1-4;DEATHS;1.0;A
2010;2253;_T;Y5-9;DEATHS;2.0;A
2010;2253;_T;Y10-14;DEATHS;1.0;A
2010;2253;_T;Y15-19;DEATHS;2.0;A
2010;2253;_T;Y20-24;DEATHS;3.0;A
2010;2253;_T;Y25-29;DEATHS;7.0;A
2010;2253;_T;Y30-34;DEATHS;8.0;A
2010;2253;_T;Y35-39;DEATHS;13.0;A
2010;2253;_T;Y40-44;DEATHS;24.0;A
2010;2253;_T;Y45-49;DEATHS;25.0;A
2010;2253;_T;Y50-54;DEATHS;49.0;A
2010;2253;_T;Y55-59;DEATHS;50.0;A
2010;2253;_T;Y60-64;DEATHS;74.0;A
2010;2253;_T;Y65-69;DEATHS;75.0;A
2010;2253;_T;Y70-74;DEATHS;110.0;A
2010;2253;_T;Y75-79;DEATHS;209.0;A
2010;2253;_T;Y80-84;DEATHS;236.0;A
2010;2253;_T;Y85-89;DEATHS;268.0;A
2010;2253;_T;Y90-94;DEATHS;122.0;A
2010;2253;_T;Y95-99;DEATHS;47.0;A
2010;2253;_T;Y_GE100;DEATHS;9.0;A
2010;2253;M;TOTAL;DEATHS;689.0;A
2010;2253;M;Y_LT1;DEATHS;6.0;A
2010;2253;M;Y1-4;DEATHS;1.0;A
2010;2253;M;Y5-9;DEATHS;1.0;A
2010;2253;M;Y10-14;DEATHS;1.0;A
2010;2253;M;Y15-19;DEATHS;2.0;A
2010;2253;M;Y20-24;DEATHS;3.0;A
2010;2253;M;Y25-29;DEATHS;4.0;A
2010;2253;M;Y30-34;DEATHS;6.0;A
2010;2253;M;Y35-39;DEATHS;10.0;A
2010;2253;M;Y40-44;DEATHS;17.0;A
2010;2253;M;Y45-49;DEATHS;19.0;A
2010;2253;M;Y50-54;DEATHS;32.0;A
2010;2253;M;Y55-59;DEATHS;38.0;A
2010;2253;M;Y60-64;DEATHS;52.0;A
2010;2253;M;Y65-69;DEATHS;48.0;A
2010;2253;M;Y70-74;DEATHS;67.0;A
2010;2253;M;Y75-79;DEATHS;125.0;A
2010;2253;M;Y80-84;DEATHS;115.0;A
2010;2253;M;Y85-89;DEATHS;88.0;A
2010;2253;M;Y90-94;DEATHS;36.0;A
