TEMPORAL;TIPO_ALOJAM_ECTA;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2015;6791;ES61;ESTANCIA_MEDIA;2.714452244;A
2015;6792;ES61;ESTANCIA_MEDIA;5.104410266;A
2016;6793;ES61;ESTANCIA_MEDIA;8.579452834;A
2016;6784;ES61;ESTANCIA_MEDIA;4.847854331;A
2016;6785;ES61;ESTANCIA_MEDIA;3.654875692;A
2016;6786;ES61;ESTANCIA_MEDIA;9.841646518;A
2016;6787;ES61;ESTANCIA_MEDIA;12.890619239;A
2016;6789;ES61;ESTANCIA_MEDIA;6.653055784;A
2016;6790;ES61;ESTANCIA_MEDIA;4.963793854;A
2016;6791;ES61;ESTANCIA_MEDIA;2.20126466;A
2016;6792;ES61;ESTANCIA_MEDIA;4.275278302;A
2017;6793;ES61;ESTANCIA_MEDIA;8.517037301;A
2017;6784;ES61;ESTANCIA_MEDIA;5.020055171;A
2017;6785;ES61;ESTANCIA_MEDIA;4.425282429;A
2017;6786;ES61;ESTANCIA_MEDIA;9.064619405;A
2017;6787;ES61;ESTANCIA_MEDIA;10.727411214;A
2017;6789;ES61;ESTANCIA_MEDIA;6.419415779;A
2017;6790;ES61;ESTANCIA_MEDIA;3.065800781;A
2017;6791;ES61;ESTANCIA_MEDIA;3.484957493;A
2017;6792;ES61;ESTANCIA_MEDIA;4.814863925;A
2018;6793;ES61;ESTANCIA_MEDIA;8.287717311;A
2018;6784;ES61;ESTANCIA_MEDIA;4.700059713;A
2018;6785;ES61;ESTANCIA_MEDIA;3.645635271;A
2018;6786;ES61;ESTANCIA_MEDIA;8.783174228;A
2018;6787;ES61;ESTANCIA_MEDIA;11.079311135;A
2018;6789;ES61;ESTANCIA_MEDIA;6.32283202;A
2018;6790;ES61;ESTANCIA_MEDIA;3.277966965;A
2018;6791;ES61;ESTANCIA_MEDIA;2.65554073;A
2018;6792;ES61;ESTANCIA_MEDIA;4.47247581;A
2019;6793;ES61;ESTANCIA_MEDIA;8.199248489;A
2019;6784;ES61;ESTANCIA_MEDIA;4.565297335;A
2019;6785;ES61;ESTANCIA_MEDIA;4.694644124;A
2019;6786;ES61;ESTANCIA_MEDIA;9.010208243;A
2019;6787;ES61;ESTANCIA_MEDIA;13.228938832;A
2019;6789;ES61;ESTANCIA_MEDIA;6.664303786;A
2019;6790;ES61;ESTANCIA_MEDIA;3.194008297;A
2019;6791;ES61;ESTANCIA_MEDIA;1.7642997;A
2019;6792;ES61;ESTANCIA_MEDIA;5.519936752;A
2020;6793;ES61;ESTANCIA_MEDIA;7.877292242;A
2020;6784;ES61;ESTANCIA_MEDIA;4.403279763;A
2020;6785;ES61;ESTANCIA_MEDIA;3.09093358;A
2020;6786;ES61;ESTANCIA_MEDIA;9.745224437;A
2020;6787;ES61;ESTANCIA_MEDIA;17.007382165;A
2020;6789;ES61;ESTANCIA_MEDIA;7.030422303;A
2020;6790;ES61;ESTANCIA_MEDIA;3.848650787;A
2020;6791;ES61;ESTANCIA_MEDIA;2.676256045;A
2020;6792;ES61;ESTANCIA_MEDIA;4.001740962;A
2021;6793;ES61;ESTANCIA_MEDIA;6.948186352;A
2021;6784;ES61;ESTANCIA_MEDIA;4.159390852;A
2021;6785;ES61;ESTANCIA_MEDIA;3.140687331;A
2021;6786;ES61;ESTANCIA_MEDIA;6.771823325;A
2021;6787;ES61;ESTANCIA_MEDIA;15.075666235;A
2021;6789;ES61;ESTANCIA_MEDIA;6.216036342;A
2021;6790;ES61;ESTANCIA_MEDIA;3.036130357;A
2021;6791;ES61;ESTANCIA_MEDIA;2.07715673;A
2021;6792;ES61;ESTANCIA_MEDIA;4.296602536;A
