TEMPORAL;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2003;ES617;TASA_VARI_INTE;16.345302518401088;A
2003;ES618;TASA_VARI_INTE;2.582054886220566;A
2004;ES61;TASA_VARI_INTE;5.67456072418181;A
2004;ES611;TASA_VARI_INTE;12.753991879534093;A
2004;ES612;TASA_VARI_INTE;-3.5041304031743334;A
2004;ES613;TASA_VARI_INTE;-17.844412736076457;A
2004;ES614;TASA_VARI_INTE;5.813581482508218;A
2004;ES615;TASA_VARI_INTE;20.693457714122555;A
2004;ES616;TASA_VARI_INTE;21.168912300455613;A
2004;ES617;TASA_VARI_INTE;9.872737506594547;A
2004;ES618;TASA_VARI_INTE;-3.1457149535686257;A
2005;ES61;TASA_VARI_INTE;6.582026025663564;A
2005;ES611;TASA_VARI_INTE;27.128742547862082;A
2005;ES612;TASA_VARI_INTE;0.5189761741940285;A
2005;ES613;TASA_VARI_INTE;0.24639596503915187;A
2005;ES614;TASA_VARI_INTE;22.79397502247153;A
2005;ES615;TASA_VARI_INTE;8.825310897219703;A
2005;ES616;TASA_VARI_INTE;2.9187345229108708;A
2005;ES617;TASA_VARI_INTE;-2.0449085123266335;A
2005;ES618;TASA_VARI_INTE;-9.022539621132013;A
2006;ES61;TASA_VARI_INTE;3.35130928596971;A
2006;ES611;TASA_VARI_INTE;3.811141098412385;A
2006;ES612;TASA_VARI_INTE;-1.5646893123349555;A
2006;ES613;TASA_VARI_INTE;19.477716247961403;A
2006;ES614;TASA_VARI_INTE;5.959879869710403;A
2006;ES615;TASA_VARI_INTE;8.545720784995158;A
2006;ES616;TASA_VARI_INTE;7.730598822435088;A
2006;ES617;TASA_VARI_INTE;17.682935233752044;A
2006;ES618;TASA_VARI_INTE;-2.290880865866771;A
2007;ES61;TASA_VARI_INTE;4.693909142857414;A
2007;ES611;TASA_VARI_INTE;1.0877809862162964;A
2007;ES612;TASA_VARI_INTE;5.9536234604385685;A
2007;ES613;TASA_VARI_INTE;18.705282589900456;A
2007;ES614;TASA_VARI_INTE;-3.1582350298853292;A
2007;ES615;TASA_VARI_INTE;3.002070288703869;A
2007;ES616;TASA_VARI_INTE;1.1185322386250707;A
2007;ES617;TASA_VARI_INTE;9.82744329487248;A
2007;ES618;TASA_VARI_INTE;10.976193707385784;A
2008;ES61;TASA_VARI_INTE;2.7938224303274937;A
2008;ES611;TASA_VARI_INTE;6.984400927113593;A
2008;ES612;TASA_VARI_INTE;3.6004373190908554;A
2008;ES613;TASA_VARI_INTE;10.282156118808878;A
2008;ES614;TASA_VARI_INTE;-1.9363330473596891;A
2008;ES615;TASA_VARI_INTE;1.3553165750363034;A
2008;ES616;TASA_VARI_INTE;20.711348455646956;A
2008;ES617;TASA_VARI_INTE;0.5483188152032682;A
2008;ES618;TASA_VARI_INTE;1.8355495262935804;A
2009;ES61;TASA_VARI_INTE;2.042772681369819;A
2009;ES611;TASA_VARI_INTE;3.5313150679714655;A
2009;ES612;TASA_VARI_INTE;4.809837618262257;A
2009;ES613;TASA_VARI_INTE;13.497516847541084;A
2009;ES614;TASA_VARI_INTE;8.47687740988994;A
2009;ES615;TASA_VARI_INTE;-4.181869155523201;A
2009;ES616;TASA_VARI_INTE;1.7276538715683107;A
2009;ES617;TASA_VARI_INTE;-5.258394193528152;A
2009;ES618;TASA_VARI_INTE;4.513081505729543;A
2010;ES61;TASA_VARI_INTE;0.881305813857897;A
2010;ES611;TASA_VARI_INTE;-9.196399175761673;A
2010;ES612;TASA_VARI_INTE;12.364016747646183;A
2010;ES613;TASA_VARI_INTE;-13.271338735992789;A
2010;ES614;TASA_VARI_INTE;-1.1687893493766397;A
2010;ES615;TASA_VARI_INTE;-0.8004644374152206;A
2010;ES616;TASA_VARI_INTE;0.22351152339086292;A
2010;ES617;TASA_VARI_INTE;-3.241380639919647;A
2010;ES618;TASA_VARI_INTE;10.49432062788287;A
2011;ES61;TASA_VARI_INTE;-0.28644910281477654;A
2011;ES611;TASA_VARI_INTE;-12.14848526668979;A
2011;ES612;TASA_VARI_INTE;-2.059709009490131;A
2011;ES613;TASA_VARI_INTE;-12.923963839060429;A
2011;ES614;TASA_VARI_INTE;-4.0959679858384686;A
2011;ES615;TASA_VARI_INTE;-0.7151837712725673;A
2011;ES616;TASA_VARI_INTE;8.793942350886432;A
2011;ES617;TASA_VARI_INTE;8.700735430384185;A
2011;ES618;TASA_VARI_INTE;-3.87933904089161;A
2012;ES61;TASA_VARI_INTE;-1.188895623520463;A
2012;ES611;TASA_VARI_INTE;-4.749863190837531;A
2012;ES612;TASA_VARI_INTE;-3.444017889528037;A
2012;ES613;TASA_VARI_INTE;-6.743888110853925;A
2012;ES614;TASA_VARI_INTE;-8.273093049795403;A
2012;ES615;TASA_VARI_INTE;7.155622463865385;A
2012;ES616;TASA_VARI_INTE;6.22602074495686;A
2012;ES617;TASA_VARI_INTE;3.796233372189732;A
2012;ES618;TASA_VARI_INTE;1.2109062201720715;A
2013;ES61;TASA_VARI_INTE;2.0575383377330074;A
2013;ES611;TASA_VARI_INTE;9.115575136946823;A
2013;ES612;TASA_VARI_INTE;-0.548850347442885;A
2013;ES613;TASA_VARI_INTE;4.55403342537417;A
2013;ES614;TASA_VARI_INTE;-0.49722668728451813;A
2013;ES615;TASA_VARI_INTE;8.717223688875984;A
2013;ES616;TASA_VARI_INTE;-4.673507806554594;A
2013;ES617;TASA_VARI_INTE;4.491400762378164;A
2013;ES618;TASA_VARI_INTE;0.18006983543871727;A
2014;ES61;TASA_VARI_INTE;1.90688881638531;A
2014;ES611;TASA_VARI_INTE;8.609040159154436;A
2014;ES612;TASA_VARI_INTE;1.1882663916660474;A
2014;ES613;TASA_VARI_INTE;4.905626536471737;A
2014;ES614;TASA_VARI_INTE;-2.051378368249063;A
2014;ES615;TASA_VARI_INTE;0.7011208939041793;A
2014;ES616;TASA_VARI_INTE;3.153228974549835;A
2014;ES617;TASA_VARI_INTE;-0.3406145022262681;A
2014;ES618;TASA_VARI_INTE;6.480997977311979;A
2015;ES61;TASA_VARI_INTE;1.9629736296841078;A
2015;ES611;TASA_VARI_INTE;0.36698694348928523;A
2015;ES612;TASA_VARI_INTE;1.1432743756120312;A
2015;ES613;TASA_VARI_INTE;-2.708672512229735;A
2015;ES614;TASA_VARI_INTE;2.4610366437522324;A
2015;ES615;TASA_VARI_INTE;-5.802546249284356;A
2015;ES616;TASA_VARI_INTE;-9.559305748877009;A
2015;ES617;TASA_VARI_INTE;-1.1908165926152587;A
2015;ES618;TASA_VARI_INTE;4.841182148254838;A
2016;ES61;TASA_VARI_INTE;2.558865860857561;A
2016;ES611;TASA_VARI_INTE;7.539993267252125;A
2016;ES612;TASA_VARI_INTE;4.08437472179928;A
2016;ES613;TASA_VARI_INTE;5.2097402570310605;A
2016;ES614;TASA_VARI_INTE;3.380957425947057;A
2016;ES615;TASA_VARI_INTE;5.104874580958983;A
2016;ES616;TASA_VARI_INTE;5.211516125912605;A
2016;ES617;TASA_VARI_INTE;5.358551074867827;A
2016;ES618;TASA_VARI_INTE;-1.0753229038995444;A
2017;ES61;TASA_VARI_INTE;2.146058331099759;A
2017;ES611;TASA_VARI_INTE;6.6536386585142955;A
2017;ES612;TASA_VARI_INTE;-0.5367027524306345;A
2017;ES613;TASA_VARI_INTE;5.4293912514489895;A
2017;ES614;TASA_VARI_INTE;0.6638338313603532;A
2017;ES615;TASA_VARI_INTE;6.845758164444797;A
2017;ES616;TASA_VARI_INTE;-10.649056713045663;A
2017;ES617;TASA_VARI_INTE;6.7408539981687525;A
2017;ES618;TASA_VARI_INTE;-3.5168103486348294;A
2018;ES61;TASA_VARI_INTE;1.013040799718839;A
2018;ES611;TASA_VARI_INTE;1.9580316736808525;A
2018;ES612;TASA_VARI_INTE;1.9949149046804928;A
2018;ES613;TASA_VARI_INTE;2.867064718151726;A
2018;ES614;TASA_VARI_INTE;6.394785964118686;A
2018;ES615;TASA_VARI_INTE;0.6898699159630752;A
2018;ES616;TASA_VARI_INTE;3.5040628262868605;A
2018;ES617;TASA_VARI_INTE;-0.8301493913999252;A
2018;ES618;TASA_VARI_INTE;-3.6824612461022825;A
2019;ES61;TASA_VARI_INTE;1.2119716032772272;A
2019;ES611;TASA_VARI_INTE;2.677905227109168;A
2019;ES612;TASA_VARI_INTE;8.710092050443246;A
2019;ES613;TASA_VARI_INTE;1.2200803307564312;A
2019;ES614;TASA_VARI_INTE;-1.5701561303550449;A
2019;ES615;TASA_VARI_INTE;-4.221530711668044;A
2019;ES616;TASA_VARI_INTE;-6.819260433828958;A
2019;ES617;TASA_VARI_INTE;3.122289462056086;A
2019;ES618;TASA_VARI_INTE;-3.8866861987502332;A
2020;ES61;TASA_VARI_INTE;-5.838055216922441;A
2020;ES611;TASA_VARI_INTE;-5.038259660301617;A
2020;ES612;TASA_VARI_INTE;-6.646098842753867;A
2020;ES613;TASA_VARI_INTE;0.7120551274552258;A
2020;ES614;TASA_VARI_INTE;-7.771033444396486;A
2020;ES615;TASA_VARI_INTE;-6.751614734104283;A
2020;ES616;TASA_VARI_INTE;-7.697913034865713;A
2020;ES617;TASA_VARI_INTE;-10.717163342091538;A
2020;ES618;TASA_VARI_INTE;-4.055075387721926;A
2021;ES61;TASA_VARI_INTE;7.7517716093464974;A
2021;ES611;TASA_VARI_INTE;7.510164252816132;A
2021;ES612;TASA_VARI_INTE;8.692431271249589;A
2021;ES613;TASA_VARI_INTE;2.348043143839444;A
2021;ES614;TASA_VARI_INTE;5.296755424282614;A
2021;ES615;TASA_VARI_INTE;11.622087254008798;A
2021;ES616;TASA_VARI_INTE;1.739188909658929;A
2021;ES617;TASA_VARI_INTE;15.727099878654924;A
2021;ES618;TASA_VARI_INTE;3.5313597499855605;A
