TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;OBS_STATUS;FREQ
3356;2005;EUR_HAB;5.605097074442937;;A
3356;2006;EUR_HAB;6.241962743086889;;A
3356;2007;EUR_HAB;7.374540899513583;;A
3356;2008;EUR_HAB;7.4429499824357555;;A
3356;2009;EUR_HAB;5.630042565338214;;A
3356;2010;EUR_HAB;5.590159714072692;;A
3356;2011;EUR_HAB;5.181019144781997;;A
3356;2012;EUR_HAB;4.459123592817554;;A
3356;2013;EUR_HAB;4.737065506469734;;A
3356;2014;EUR_HAB;4.456181708766643;;A
3356;2015;EUR_HAB;4.047843585213915;;A
3356;2016;EUR_HAB;4.571223251357393;;A
3356;2017;EUR_HAB;4.366915934889162;;A
3356;2018;EUR_HAB;4.972710814800959;;A
3356;2019;EUR_HAB;5.14183203831968;;A
3356;2020;EUR_HAB;4.996559492184411;;A
3349;2004;EUR_HAB;14.624028132641007;;A
3349;2005;EUR_HAB;13.973515313997888;;A
3349;2006;EUR_HAB;13.217571940290558;;A
3349;2007;EUR_HAB;14.39521332759767;;A
3349;2008;EUR_HAB;12.06920661556259;;A
3349;2009;EUR_HAB;12.338498094153755;;A
3349;2010;EUR_HAB;11.613719934896618;;A
3349;2011;EUR_HAB;11.356477999247838;;A
3349;2012;EUR_HAB;10.460096070374442;;A
3349;2013;EUR_HAB;8.138617537183563;;A
3349;2014;EUR_HAB;7.0498533724340176;;A
3349;2015;EUR_HAB;6.99926857466437;;A
3349;2016;EUR_HAB;6.4669547653717885;;A
3349;2017;EUR_HAB;6.6897803425167535;;A
3349;2018;EUR_HAB;6.83508223476272;;A
3349;2019;EUR_HAB;7.080900277793526;;A
3349;2020;EUR_HAB;7.933856502242152;;A
3366;2005;EUR_HAB;0.8339475153545506;;A
3366;2006;EUR_HAB;3.8843265755005274;;A
3366;2007;EUR_HAB;4.282994779716769;;A
3366;2008;EUR_HAB;5.684818595510004;;A
3366;2009;EUR_HAB;2.8445510950097805;;A
3366;2010;EUR_HAB;2.1527781088929046;;A
3366;2011;EUR_HAB;1.3065673222169873;;A
3366;2012;EUR_HAB;2.3976593809160867;;A
3366;2013;EUR_HAB;2.623198414157322;;A
3366;2014;EUR_HAB;3.4599473486273036;;A
3366;2015;EUR_HAB;4.399917059034749;;A
3366;2016;EUR_HAB;5.6141353721151;;A
3366;2017;EUR_HAB;3.142450905644048;;A
3366;2018;EUR_HAB;3.737832576249189;;A
3366;2019;EUR_HAB;6.115440703746099;;A
3366;2020;EUR_HAB;5.734246604168639;;A
3368;2004;EUR_HAB;3.7295533419403744;;A
3368;2005;EUR_HAB;3.8979683972911965;;A
3368;2006;EUR_HAB;1.9930212146511677;;A
3368;2007;EUR_HAB;2.1267048144858554;;A
3368;2008;EUR_HAB;2.679294484761884;;A
3368;2009;EUR_HAB;2.2299014834393533;;A
3368;2010;EUR_HAB;1.773814443640872;;A
3368;2011;EUR_HAB;2.0474750009907137;;A
3368;2012;EUR_HAB;2.0145459657202527;;A
3368;2013;EUR_HAB;2.251081080167293;;A
