TERRITORIO;TEMPORAL;CNAE_O9_CRA_NEW;OBS_STATUS;INDICATOR;OBS_VALUE;FREQ
ES61;2017;273168;A;CON_INTER_PREC_ADQ;205589.0;A
ES61;2017;273169;A;CON_INTER_PREC_ADQ;161518.0;A
ES61;2017;273166;A;CON_INTER_PREC_ADQ;57801044;A
ES61;2017;273248;A;CON_INTER_PREC_ADQ;49017659;A
ES61;2017;273130;A;CON_INTER_PREC_ADQ;583686.0;A
ES61;2017;273170;A;CON_INTER_PREC_ADQ;583686.0;A
ES61;2017;273131;A;CON_INTER_PREC_ADQ;15642696;A
ES61;2017;273171;A;CON_INTER_PREC_ADQ;1924612.0;A
ES61;2017;273172;A;CON_INTER_PREC_ADQ;315818.0;A
ES61;2017;273173;A;CON_INTER_PREC_ADQ;1492375.0;A
ES61;2017;273174;A;CON_INTER_PREC_ADQ;7123164.0;A
ES61;2017;273175;A;CON_INTER_PREC_ADQ;510869.0;A
ES61;2017;273176;A;CON_INTER_PREC_ADQ;1089918.0;A
ES61;2017;273177;A;CON_INTER_PREC_ADQ;1279565.0;A
ES61;2017;273178;A;CON_INTER_PREC_ADQ;1906375.0;A
ES61;2017;273132;A;CON_INTER_PREC_ADQ;534455.0;A
ES61;2017;273179;A;CON_INTER_PREC_ADQ;534455.0;A
ES61;2017;273133;A;CON_INTER_PREC_ADQ;1259266.0;A
ES61;2017;273180;A;CON_INTER_PREC_ADQ;466825.0;A
ES61;2017;273181;A;CON_INTER_PREC_ADQ;544345.0;A
ES61;2017;273182;A;CON_INTER_PREC_ADQ;248096.0;A
ES61;2017;273134;A;CON_INTER_PREC_ADQ;16517165;A
ES61;2017;273183;A;CON_INTER_PREC_ADQ;15607533;A
ES61;2017;273184;A;CON_INTER_PREC_ADQ;909632.0;A
ES61;2017;273135;A;CON_INTER_PREC_ADQ;169302.0;A
ES61;2017;273185;A;CON_INTER_PREC_ADQ;169302.0;A
ES61;2017;273136;A;CON_INTER_PREC_ADQ;2117312.0;A
ES61;2017;273186;A;CON_INTER_PREC_ADQ;913352.0;A
ES61;2017;273189;A;CON_INTER_PREC_ADQ;518917.0;A
ES61;2017;273188;A;CON_INTER_PREC_ADQ;82770.0;A
ES61;2017;273187;A;CON_INTER_PREC_ADQ;602273.0;A
ES61;2017;273137;A;CON_INTER_PREC_ADQ;6519368.0;A
ES61;2017;273190;A;CON_INTER_PREC_ADQ;5005448.0;A
ES61;2017;273191;A;CON_INTER_PREC_ADQ;1513920.0;A
ES61;2017;273138;A;CON_INTER_PREC_ADQ;202797.0;A
ES61;2017;273192;A;CON_INTER_PREC_ADQ;202797.0;A
ES61;2017;273139;A;CON_INTER_PREC_ADQ;1067503.0;A
ES61;2017;273193;A;CON_INTER_PREC_ADQ;1067503.0;A
ES61;2017;273140;A;CON_INTER_PREC_ADQ;544915.0;A
ES61;2017;273194;A;CON_INTER_PREC_ADQ;544915.0;A
ES61;2017;273141;A;CON_INTER_PREC_ADQ;2640556.0;A
ES61;2017;273195;A;CON_INTER_PREC_ADQ;588932.0;A
ES61;2017;273196;A;CON_INTER_PREC_ADQ;226219.0;A
ES61;2017;273197;A;CON_INTER_PREC_ADQ;1825405.0;A
ES61;2017;273142;A;CON_INTER_PREC_ADQ;1802324.0;A
ES61;2017;273198;A;CON_INTER_PREC_ADQ;496704.0;A
ES61;2017;273199;A;CON_INTER_PREC_ADQ;363779.0;A
ES61;2017;273200;A;CON_INTER_PREC_ADQ;941841.0;A
ES61;2017;273143;A;CON_INTER_PREC_ADQ;6546319.0;A
ES61;2017;273201;A;CON_INTER_PREC_ADQ;5094536.0;A
ES61;2017;273202;A;CON_INTER_PREC_ADQ;1451783.0;A
ES61;2017;273144;A;CON_INTER_PREC_ADQ;1653380.0;A
ES61;2017;273203;A;CON_INTER_PREC_ADQ;1001332.0;A
ES61;2017;273204;A;CON_INTER_PREC_ADQ;652048.0;A
ES61;2017;273249;A;CON_INTER_PREC_ADQ;11081503;A
ES61;2017;273145;A;CON_INTER_PREC_ADQ;11081503;A
ES61;2017;273205;A;CON_INTER_PREC_ADQ;11081503;A
ES61;2017;273251;A;CON_INTER_PREC_ADQ;66293892;A
ES61;2017;273250;A;CON_INTER_PREC_ADQ;32856337;A
ES61;2017;273146;A;CON_INTER_PREC_ADQ;13850897;A
ES61;2017;273206;A;CON_INTER_PREC_ADQ;2270224.0;A
ES61;2017;273207;A;CON_INTER_PREC_ADQ;6441701.0;A
ES61;2017;273208;A;CON_INTER_PREC_ADQ;5138972.0;A
ES61;2017;273147;A;CON_INTER_PREC_ADQ;9320644.0;A
ES61;2017;273209;A;CON_INTER_PREC_ADQ;5676843.0;A
ES61;2017;273210;A;CON_INTER_PREC_ADQ;306517.0;A
ES61;2017;273211;A;CON_INTER_PREC_ADQ;3070964.0;A
ES61;2017;273212;A;CON_INTER_PREC_ADQ;266320.0;A
ES61;2017;273148;A;CON_INTER_PREC_ADQ;9684796.0;A
ES61;2017;273213;A;CON_INTER_PREC_ADQ;2105225.0;A
ES61;2017;273214;A;CON_INTER_PREC_ADQ;7579571.0;A
ES61;2017;273253;A;CON_INTER_PREC_ADQ;2852482.0;A
ES61;2017;273149;A;CON_INTER_PREC_ADQ;533945.0;A
ES61;2017;273215;A;CON_INTER_PREC_ADQ;204248.0;A
ES61;2017;273216;A;CON_INTER_PREC_ADQ;329697.0;A
