D_TEMPORAL_0;D_TERRITORIO_0;D_SEXO_0;D_PCSSA_JUBVIUDEDAD_0;INDICATOR;OBS_VALUE;FREQ
2019;2305;3689;212544;Número de pensionistas;284.0;A
2019;2305;3690;212544;Número de pensionistas;143.0;A
2019;2348;3691;212544;Número de pensionistas;481.0;A
2019;2348;3689;212544;Número de pensionistas;324.0;A
2019;2348;3690;212544;Número de pensionistas;157.0;A
2019;2306;3691;212544;Número de pensionistas;76.0;A
2019;2306;3689;212544;Número de pensionistas;53.0;A
2019;2306;3690;212544;Número de pensionistas;23.0;A
2019;2307;3691;212544;Número de pensionistas;1717.0;A
2019;2307;3689;212544;Número de pensionistas;1225.0;A
2019;2307;3690;212544;Número de pensionistas;492.0;A
2019;2308;3691;212544;Número de pensionistas;118.0;A
2019;2308;3689;212544;Número de pensionistas;75.0;A
2019;2308;3690;212544;Número de pensionistas;43.0;A
2019;2309;3691;212544;Número de pensionistas;47.0;A
2019;2309;3689;212544;Número de pensionistas;30.0;A
2019;2309;3690;212544;Número de pensionistas;17.0;A
2019;2310;3691;212544;Número de pensionistas;553.0;A
2019;2310;3689;212544;Número de pensionistas;460.0;A
2019;2310;3690;212544;Número de pensionistas;93.0;A
2019;2311;3691;212544;Número de pensionistas;296.0;A
2019;2311;3689;212544;Número de pensionistas;225.0;A
2019;2311;3690;212544;Número de pensionistas;71.0;A
2019;2312;3691;212544;Número de pensionistas;84.0;A
2019;2312;3689;212544;Número de pensionistas;56.0;A
2019;2312;3690;212544;Número de pensionistas;28.0;A
2019;2313;3691;212544;Número de pensionistas;60.0;A
2019;2313;3689;212544;Número de pensionistas;35.0;A
2019;2313;3690;212544;Número de pensionistas;25.0;A
2019;2314;3691;212544;Número de pensionistas;60.0;A
2019;2314;3689;212544;Número de pensionistas;50.0;A
2019;2314;3690;212544;Número de pensionistas;10.0;A
2019;2315;3691;212544;Número de pensionistas;287.0;A
2019;2315;3689;212544;Número de pensionistas;218.0;A
2019;2315;3690;212544;Número de pensionistas;69.0;A
2019;2316;3691;212544;Número de pensionistas;508.0;A
2019;2316;3689;212544;Número de pensionistas;353.0;A
2019;2316;3690;212544;Número de pensionistas;155.0;A
2019;2317;3691;212544;Número de pensionistas;166.0;A
2019;2317;3689;212544;Número de pensionistas;132.0;A
2019;2317;3690;212544;Número de pensionistas;34.0;A
2019;2318;3691;212544;Número de pensionistas;77.0;A
2019;2318;3689;212544;Número de pensionistas;50.0;A
2019;2318;3690;212544;Número de pensionistas;27.0;A
2019;2319;3691;212544;Número de pensionistas;106.0;A
2019;2319;3689;212544;Número de pensionistas;80.0;A
2019;2319;3690;212544;Número de pensionistas;26.0;A
2019;2320;3691;212544;Número de pensionistas;4834.0;A
2019;2320;3689;212544;Número de pensionistas;3332.0;A
2019;2320;3690;212544;Número de pensionistas;1502.0;A
2019;2321;3691;212544;Número de pensionistas;36.0;A
2019;2321;3689;212544;Número de pensionistas;26.0;A
2019;2321;3690;212544;Número de pensionistas;10.0;A
2019;2322;3691;212544;Número de pensionistas;52.0;A
2019;2322;3689;212544;Número de pensionistas;33.0;A
2019;2322;3690;212544;Número de pensionistas;19.0;A
2019;2323;3691;212544;Número de pensionistas;47.0;A
2019;2323;3689;212544;Número de pensionistas;31.0;A
2019;2323;3690;212544;Número de pensionistas;16.0;A
2019;2324;3691;212544;Número de pensionistas;313.0;A
2019;2324;3689;212544;Número de pensionistas;237.0;A
2019;2324;3690;212544;Número de pensionistas;76.0;A
2019;2325;3691;212544;Número de pensionistas;63.0;A
2019;2325;3689;212544;Número de pensionistas;50.0;A
2019;2325;3690;212544;Número de pensionistas;13.0;A
2019;2326;3691;212544;Número de pensionistas;57.0;A
2019;2326;3689;212544;Número de pensionistas;41.0;A
2019;2326;3690;212544;Número de pensionistas;16.0;A
2019;2327;3691;212544;Número de pensionistas;344.0;A
2019;2327;3689;212544;Número de pensionistas;228.0;A
2019;2327;3690;212544;Número de pensionistas;116.0;A
2019;2328;3691;212544;Número de pensionistas;17.0;A
2019;2328;3689;212544;Número de pensionistas;15.0;A
2019;2328;3690;212544;Número de pensionistas;se;A
2019;2329;3691;212544;Número de pensionistas;379.0;A
2019;2329;3689;212544;Número de pensionistas;242.0;A
2019;2329;3690;212544;Número de pensionistas;137.0;A
2019;2330;3691;212544;Número de pensionistas;134.0;A
2019;2330;3689;212544;Número de pensionistas;94.0;A
2019;2330;3690;212544;Número de pensionistas;40.0;A
2019;2331;3691;212544;Número de pensionistas;69.0;A
2019;2331;3689;212544;Número de pensionistas;46.0;A
2019;2331;3690;212544;Número de pensionistas;23.0;A
2019;2332;3691;212544;Número de pensionistas;60.0;A
2019;2332;3689;212544;Número de pensionistas;34.0;A
2019;2332;3690;212544;Número de pensionistas;26.0;A
2019;2333;3691;212544;Número de pensionistas;372.0;A
2019;2333;3689;212544;Número de pensionistas;262.0;A
2019;2333;3690;212544;Número de pensionistas;110.0;A
2019;2346;3691;212544;Número de pensionistas;102.0;A
