D_TEMPORAL_0;D_TERRITORIO_0;D_CLASEDEPENSION_0;INDICATOR;OBS_VALUE;FREQ
2019;2335;275092;Número de pensiones;se;A
2019;2336;5691;Número de pensiones;13.0;A
2019;2336;5692;Número de pensiones;166.0;A
2019;2336;5693;Número de pensiones;79.0;A
2019;2336;275092;Número de pensiones;12.0;A
2019;2337;5691;Número de pensiones;9.0;A
2019;2337;5692;Número de pensiones;62.0;A
2019;2337;5693;Número de pensiones;20.0;A
2019;2337;275092;Número de pensiones;se;A
2019;2338;5691;Número de pensiones;;A
2019;2338;5692;Número de pensiones;76.0;A
2019;2338;5693;Número de pensiones;21.0;A
2019;2338;275092;Número de pensiones;6.0;A
2019;2339;5691;Número de pensiones;24.0;A
2019;2339;5692;Número de pensiones;320.0;A
2019;2339;5693;Número de pensiones;150.0;A
2019;2339;275092;Número de pensiones;32.0;A
2019;2340;5691;Número de pensiones;104.0;A
2019;2340;5692;Número de pensiones;985.0;A
2019;2340;5693;Número de pensiones;427.0;A
2019;2340;275092;Número de pensiones;77.0;A
2019;2341;5691;Número de pensiones;183.0;A
2019;2341;5692;Número de pensiones;983.0;A
2019;2341;5693;Número de pensiones;395.0;A
2019;2341;275092;Número de pensiones;116.0;A
2019;2342;5691;Número de pensiones;94.0;A
2019;2342;5692;Número de pensiones;372.0;A
2019;2342;5693;Número de pensiones;201.0;A
2019;2342;275092;Número de pensiones;64.0;A
2019;2343;5691;Número de pensiones;401.0;A
2019;2343;5692;Número de pensiones;1610.0;A
2019;2343;5693;Número de pensiones;713.0;A
2019;2343;275092;Número de pensiones;175.0;A
2019;2344;5691;Número de pensiones;34.0;A
2019;2344;5692;Número de pensiones;305.0;A
2019;2344;5693;Número de pensiones;124.0;A
2019;2344;275092;Número de pensiones;22.0;A
2019;2349;5691;Número de pensiones;;A
2019;2349;5692;Número de pensiones;se;A
2019;2349;5693;Número de pensiones;;A
2019;2349;275092;Número de pensiones;;A
2019;2402;5691;Número de pensiones;38584.0;A
2019;2402;5692;Número de pensiones;114661.0;A
2019;2402;5693;Número de pensiones;56099.0;A
2019;2402;275092;Número de pensiones;12981.0;A
2019;2353;5691;Número de pensiones;185.0;A
2019;2353;5692;Número de pensiones;466.0;A
2019;2353;5693;Número de pensiones;285.0;A
2019;2353;275092;Número de pensiones;52.0;A
2019;2354;5691;Número de pensiones;275.0;A
2019;2354;5692;Número de pensiones;885.0;A
2019;2354;5693;Número de pensiones;314.0;A
2019;2354;275092;Número de pensiones;28.0;A
2019;2355;5691;Número de pensiones;64.0;A
2019;2355;5692;Número de pensiones;181.0;A
2019;2355;5693;Número de pensiones;104.0;A
2019;2355;275092;Número de pensiones;28.0;A
2019;2356;5691;Número de pensiones;3023.0;A
2019;2356;5692;Número de pensiones;10058.0;A
2019;2356;5693;Número de pensiones;5062.0;A
2019;2356;275092;Número de pensiones;1059.0;A
2019;2357;5691;Número de pensiones;334.0;A
2019;2357;5692;Número de pensiones;846.0;A
2019;2357;5693;Número de pensiones;395.0;A
2019;2357;275092;Número de pensiones;70.0;A
2019;2358;5691;Número de pensiones;1156.0;A
2019;2358;5692;Número de pensiones;3131.0;A
2019;2358;5693;Número de pensiones;1474.0;A
2019;2358;275092;Número de pensiones;344.0;A
2019;2359;5691;Número de pensiones;751.0;A
2019;2359;5692;Número de pensiones;1962.0;A
2019;2359;5693;Número de pensiones;1210.0;A
2019;2359;275092;Número de pensiones;298.0;A
2019;2361;5691;Número de pensiones;674.0;A
2019;2361;5692;Número de pensiones;1661.0;A
2019;2361;5693;Número de pensiones;858.0;A
2019;2361;275092;Número de pensiones;177.0;A
2019;2397;5691;Número de pensiones;257.0;A
2019;2397;5692;Número de pensiones;609.0;A
2019;2397;5693;Número de pensiones;323.0;A
2019;2397;275092;Número de pensiones;62.0;A
2019;2362;5691;Número de pensiones;19.0;A
2019;2362;5692;Número de pensiones;73.0;A
2019;2362;5693;Número de pensiones;33.0;A
2019;2362;275092;Número de pensiones;12.0;A
2019;2363;5691;Número de pensiones;411.0;A
2019;2363;5692;Número de pensiones;1106.0;A
2019;2363;5693;Número de pensiones;441.0;A
2019;2363;275092;Número de pensiones;96.0;A
2019;2364;5691;Número de pensiones;117.0;A
2019;2364;5692;Número de pensiones;229.0;A
2019;2364;5693;Número de pensiones;108.0;A
2019;2364;275092;Número de pensiones;24.0;A
2019;2365;5691;Número de pensiones;3488.0;A
2019;2365;5692;Número de pensiones;14997.0;A
2019;2365;5693;Número de pensiones;7579.0;A
