ESTADO_DATO;TERRITORIO;TEMPORAL;INDICATOR;OBS_VALUE;FREQ;RESITUR;PARQUES_TURISMO;PUNTOS_TURISTICOS
A;ES614;2016;PERS_MEDI_REMU_EVEN;105.14872638;A;_Z;_Z;_Z
A;ES614;2015;PERS_MEDI_REMU_EVEN;117.23896193;A;_Z;_Z;_Z
A;ES614;2014;PERS_MEDI_REMU_EVEN;113.03780216;A;_Z;_Z;_Z
A;ES615;2020;PERS_MEDI_REMU_EVEN;19.4355713;A;_Z;_Z;_Z
A;ES615;2019;PERS_MEDI_REMU_EVEN;34.441894794;A;_Z;_Z;_Z
A;ES615;2018;PERS_MEDI_REMU_EVEN;35.248606037;A;_Z;_Z;_Z
A;ES615;2017;PERS_MEDI_REMU_EVEN;34.428736406;A;_Z;_Z;_Z
A;ES615;2016;PERS_MEDI_REMU_EVEN;31.990950242;A;_Z;_Z;_Z
A;ES615;2015;PERS_MEDI_REMU_EVEN;40.86062607;A;_Z;_Z;_Z
A;ES615;2014;PERS_MEDI_REMU_EVEN;28.775845485;A;_Z;_Z;_Z
A;ES616;2020;PERS_MEDI_REMU_EVEN;21.566670112;A;_Z;_Z;_Z
A;ES616;2019;PERS_MEDI_REMU_EVEN;48.445680411;A;_Z;_Z;_Z
A;ES616;2018;PERS_MEDI_REMU_EVEN;42.071719674;A;_Z;_Z;_Z
A;ES616;2017;PERS_MEDI_REMU_EVEN;36.823030332;A;_Z;_Z;_Z
A;ES616;2016;PERS_MEDI_REMU_EVEN;47.846012871;A;_Z;_Z;_Z
A;ES616;2015;PERS_MEDI_REMU_EVEN;31.569937252;A;_Z;_Z;_Z
A;ES616;2014;PERS_MEDI_REMU_EVEN;38.118037311;A;_Z;_Z;_Z
A;ES617;2020;PERS_MEDI_REMU_EVEN;223.331909586;A;_Z;_Z;_Z
A;ES617;2019;PERS_MEDI_REMU_EVEN;652.335858405;A;_Z;_Z;_Z
A;ES617;2018;PERS_MEDI_REMU_EVEN;660.72264789;A;_Z;_Z;_Z
A;ES617;2017;PERS_MEDI_REMU_EVEN;628.49489673;A;_Z;_Z;_Z
A;ES617;2016;PERS_MEDI_REMU_EVEN;495.76047871;A;_Z;_Z;_Z
A;ES617;2015;PERS_MEDI_REMU_EVEN;500.22834318;A;_Z;_Z;_Z
A;ES617;2014;PERS_MEDI_REMU_EVEN;425.71212992;A;_Z;_Z;_Z
A;ES618;2020;PERS_MEDI_REMU_EVEN;41.311177025;A;_Z;_Z;_Z
A;ES618;2019;PERS_MEDI_REMU_EVEN;84.598164708;A;_Z;_Z;_Z
A;ES618;2018;PERS_MEDI_REMU_EVEN;96.002347419;A;_Z;_Z;_Z
A;ES618;2017;PERS_MEDI_REMU_EVEN;97.600248058;A;_Z;_Z;_Z
A;ES618;2016;PERS_MEDI_REMU_EVEN;71.782976336;A;_Z;_Z;_Z
A;ES618;2015;PERS_MEDI_REMU_EVEN;60.992736128;A;_Z;_Z;_Z
A;ES618;2014;PERS_MEDI_REMU_EVEN;75.899222465;A;_Z;_Z;_Z
P;ES61;2021;PERS_MEDI_REMU_EVEN;606.920366461;A;_Z;_Z;_Z
P;ES611;2021;PERS_MEDI_REMU_EVEN;101.354606539;A;_Z;_Z;_Z
P;ES612;2021;PERS_MEDI_REMU_EVEN;107.916518675;A;_Z;_Z;_Z
P;ES613;2021;PERS_MEDI_REMU_EVEN;15.648837773;A;_Z;_Z;_Z
P;ES614;2021;PERS_MEDI_REMU_EVEN;77.777626373;A;_Z;_Z;_Z
P;ES615;2021;PERS_MEDI_REMU_EVEN;23.52726642;A;_Z;_Z;_Z
P;ES616;2021;PERS_MEDI_REMU_EVEN;19.684139895;A;_Z;_Z;_Z
P;ES617;2021;PERS_MEDI_REMU_EVEN;214.896473402;A;_Z;_Z;_Z
P;ES618;2021;PERS_MEDI_REMU_EVEN;46.114897384;A;_Z;_Z;_Z
A;ES61;2020;PLAZAS;55688.374138547;A;_Z;_Z;_Z
A;ES61;2019;PLAZAS;80197.812189595;A;_Z;_Z;_Z
A;ES61;2018;PLAZAS;75579.3080709;A;_Z;_Z;_Z
A;ES61;2017;PLAZAS;73678.3511467;A;_Z;_Z;_Z
A;ES61;2016;PLAZAS;66534.6951538;A;_Z;_Z;_Z
A;ES61;2015;PLAZAS;66441.11544062;A;_Z;_Z;_Z
A;ES61;2014;PLAZAS;62707.63582552;A;_Z;_Z;_Z
A;ES611;2020;PLAZAS;6468.456327581;A;_Z;_Z;_Z
A;ES611;2019;PLAZAS;9399.436234933;A;_Z;_Z;_Z
A;ES611;2018;PLAZAS;9157.8004047;A;_Z;_Z;_Z
A;ES611;2017;PLAZAS;8367.2337134;A;_Z;_Z;_Z
A;ES611;2016;PLAZAS;7873.9707128;A;_Z;_Z;_Z
A;ES611;2015;PLAZAS;7467.2087464;A;_Z;_Z;_Z
A;ES611;2014;PLAZAS;7601.8552023;A;_Z;_Z;_Z
