TEMPORAL;SEXO;MCVL_TIPOPRESTACION;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2009;_T;55176;ES617;POP;31425.0;A
2009;_T;55176;ES618;POP;37975.0;A
2009;_T;55176;ES61;POP;169625.0;A
2009;_T;55173;ES611;POP;411100.0;A
2009;_T;55173;ES612;POP;707225.0;A
2009;_T;55173;ES613;POP;512675.0;A
2009;_T;55173;ES614;POP;569300.0;A
2009;_T;55173;ES615;POP;358550.0;A
2009;_T;55173;ES616;POP;427500.0;A
2009;_T;55173;ES617;POP;919150.0;A
2009;_T;55173;ES618;POP;1198125.0;A
2009;_T;55173;ES61;POP;5103625.0;A
2010;M;55174;ES611;POP;31950.0;A
2010;M;55174;ES612;POP;48950.0;A
2010;M;55174;ES613;POP;28900.0;A
2010;M;55174;ES614;POP;33875.0;A
2010;M;55174;ES615;POP;27000.0;A
2010;M;55174;ES616;POP;27975.0;A
2010;M;55174;ES617;POP;64375.0;A
2010;M;55174;ES618;POP;75500.0;A
2010;M;55174;ES61;POP;338525.0;A
2010;M;55175;ES611;POP;24575.0;A
2010;M;55175;ES612;POP;49975.0;A
2010;M;55175;ES613;POP;34400.0;A
2010;M;55175;ES614;POP;34975.0;A
2010;M;55175;ES615;POP;19700.0;A
2010;M;55175;ES616;POP;27100.0;A
2010;M;55175;ES617;POP;50625.0;A
2010;M;55175;ES618;POP;72700.0;A
2010;M;55175;ES61;POP;314050.0;A
2010;M;55176;ES611;POP;11725.0;A
2010;M;55176;ES612;POP;19425.0;A
2010;M;55176;ES613;POP;10900.0;A
2010;M;55176;ES614;POP;11900.0;A
2010;M;55176;ES615;POP;9450.0;A
2010;M;55176;ES616;POP;6825.0;A
2010;M;55176;ES617;POP;20875.0;A
2010;M;55176;ES618;POP;27400.0;A
2010;M;55176;ES61;POP;118500.0;A
2010;M;55173;ES611;POP;227925.0;A
2010;M;55173;ES612;POP;395675.0;A
2010;M;55173;ES613;POP;276250.0;A
2010;M;55173;ES614;POP;304775.0;A
2010;M;55173;ES615;POP;183725.0;A
2010;M;55173;ES616;POP;239050.0;A
2010;M;55173;ES617;POP;497100.0;A
2010;M;55173;ES618;POP;642650.0;A
2010;M;55173;ES61;POP;2767150.0;A
2010;F;55174;ES611;POP;20200.0;A
2010;F;55174;ES612;POP;27575.0;A
2010;F;55174;ES613;POP;14350.0;A
2010;F;55174;ES614;POP;18975.0;A
2010;F;55174;ES615;POP;17475.0;A
2010;F;55174;ES616;POP;12225.0;A
2010;F;55174;ES617;POP;38900.0;A
2010;F;55174;ES618;POP;41025.0;A
2010;F;55174;ES61;POP;190725.0;A
2010;F;55175;ES611;POP;25000.0;A
2010;F;55175;ES612;POP;60400.0;A
2010;F;55175;ES613;POP;47850.0;A
2010;F;55175;ES614;POP;42800.0;A
2010;F;55175;ES615;POP;28025.0;A
2010;F;55175;ES616;POP;37100.0;A
2010;F;55175;ES617;POP;54075.0;A
2010;F;55175;ES618;POP;99025.0;A
2010;F;55175;ES61;POP;394275.0;A
2010;F;55176;ES611;POP;7375.0;A
2010;F;55176;ES612;POP;8900.0;A
2010;F;55176;ES613;POP;5025.0;A
2010;F;55176;ES614;POP;7225.0;A
2010;F;55176;ES615;POP;7175.0;A
2010;F;55176;ES616;POP;3325.0;A
2010;F;55176;ES617;POP;13950.0;A
2010;F;55176;ES618;POP;13800.0;A
2010;F;55176;ES61;POP;66775.0;A
2010;F;55173;ES611;POP;184525.0;A
2010;F;55173;ES612;POP;315575.0;A
2010;F;55173;ES613;POP;238675.0;A
2010;F;55173;ES614;POP;265400.0;A
2010;F;55173;ES615;POP;173300.0;A
2010;F;55173;ES616;POP;192050.0;A
2010;F;55173;ES617;POP;431500.0;A
2010;F;55173;ES618;POP;559025.0;A
2010;F;55173;ES61;POP;2360050.0;A
2010;_T;55174;ES611;POP;52150.0;A
2010;_T;55174;ES612;POP;76525.0;A
2010;_T;55174;ES613;POP;43250.0;A
2010;_T;55174;ES614;POP;52850.0;A
2010;_T;55174;ES615;POP;44475.0;A
2010;_T;55174;ES616;POP;40200.0;A
2010;_T;55174;ES617;POP;103275.0;A
2010;_T;55174;ES618;POP;116525.0;A
2010;_T;55174;ES61;POP;529250.0;A
2010;_T;55175;ES611;POP;49575.0;A
2010;_T;55175;ES612;POP;110375.0;A
2010;_T;55175;ES613;POP;82250.0;A
2010;_T;55175;ES614;POP;77775.0;A
