TEMPORAL;SEXO;DIASCOTIZANO;TERRITORIO;COTIZANTE;INDICATOR;OBS_VALUE;FREQ
2008;F;53688;ES61;53591;POP;1126700.0;A
2008;F;53689;ES611;53591;POP;144250.0;A
2008;F;53689;ES612;53591;POP;235950.0;A
2008;F;53689;ES613;53591;POP;169050.0;A
2008;F;53689;ES614;53591;POP;192700.0;A
2008;F;53689;ES615;53591;POP;138625.0;A
2008;F;53689;ES616;53591;POP;136700.0;A
2008;F;53689;ES617;53591;POP;323100.0;A
2008;F;53689;ES618;53591;POP;410000.0;A
2008;F;53689;ES61;53591;POP;1750375.0;A
2008;_T;53685;ES611;53591;POP;6925.0;A
2008;_T;53685;ES612;53591;POP;17675.0;A
2008;_T;53685;ES613;53591;POP;9150.0;A
2008;_T;53685;ES614;53591;POP;9050.0;A
2008;_T;53685;ES615;53591;POP;8350.0;A
2008;_T;53685;ES616;53591;POP;8525.0;A
2008;_T;53685;ES617;53591;POP;18625.0;A
2008;_T;53685;ES618;53591;POP;23800.0;A
2008;_T;53685;ES61;53591;POP;102100.0;A
2008;_T;53686;ES611;53591;POP;13575.0;A
2008;_T;53686;ES612;53591;POP;26925.0;A
2008;_T;53686;ES613;53591;POP;15450.0;A
2008;_T;53686;ES614;53591;POP;16425.0;A
2008;_T;53686;ES615;53591;POP;20950.0;A
2008;_T;53686;ES616;53591;POP;14400.0;A
2008;_T;53686;ES617;53591;POP;29150.0;A
2008;_T;53686;ES618;53591;POP;33650.0;A
2008;_T;53686;ES61;53591;POP;170525.0;A
2008;_T;53687;ES611;53591;POP;86825.0;A
2008;_T;53687;ES612;53591;POP;161725.0;A
2008;_T;53687;ES613;53591;POP;87225.0;A
2008;_T;53687;ES614;53591;POP;107825.0;A
2008;_T;53687;ES615;53591;POP;86600.0;A
2008;_T;53687;ES616;53591;POP;69800.0;A
2008;_T;53687;ES617;53591;POP;197075.0;A
2008;_T;53687;ES618;53591;POP;231625.0;A
2008;_T;53687;ES61;53591;POP;1028700.0;A
2008;_T;53688;ES611;53591;POP;226450.0;A
2008;_T;53688;ES612;53591;POP;347075.0;A
2008;_T;53688;ES613;53591;POP;274525.0;A
2008;_T;53688;ES614;53591;POP;296500.0;A
2008;_T;53688;ES615;53591;POP;167975.0;A
2008;_T;53688;ES616;53591;POP;220875.0;A
2008;_T;53688;ES617;53591;POP;483275.0;A
2008;_T;53688;ES618;53591;POP;634975.0;A
2008;_T;53688;ES61;53591;POP;2651650.0;A
2008;_T;53689;ES611;53591;POP;333775.0;A
2008;_T;53689;ES612;53591;POP;553400.0;A
2008;_T;53689;ES613;53591;POP;386350.0;A
2008;_T;53689;ES614;53591;POP;429800.0;A
2008;_T;53689;ES615;53591;POP;283875.0;A
2008;_T;53689;ES616;53591;POP;313600.0;A
2008;_T;53689;ES617;53591;POP;728125.0;A
2008;_T;53689;ES618;53591;POP;924050.0;A
2008;_T;53689;ES61;53591;POP;3952975.0;A
2009;M;53685;ES611;53591;POP;2975.0;A
2009;M;53685;ES612;53591;POP;7225.0;A
2009;M;53685;ES613;53591;POP;3925.0;A
2009;M;53685;ES614;53591;POP;4250.0;A
2009;M;53685;ES615;53591;POP;2775.0;A
2009;M;53685;ES616;53591;POP;3575.0;A
2009;M;53685;ES617;53591;POP;7650.0;A
2009;M;53685;ES618;53591;POP;10525.0;A
2009;M;53685;ES61;53591;POP;42900.0;A
2009;M;53686;ES611;53591;POP;7250.0;A
2009;M;53686;ES612;53591;POP;11525.0;A
2009;M;53686;ES613;53591;POP;7625.0;A
2009;M;53686;ES614;53591;POP;8850.0;A
2009;M;53686;ES615;53591;POP;5650.0;A
2009;M;53686;ES616;53591;POP;7625.0;A
2009;M;53686;ES617;53591;POP;16025.0;A
2009;M;53686;ES618;53591;POP;16650.0;A
2009;M;53686;ES61;53591;POP;81200.0;A
2009;M;53687;ES611;53591;POP;42050.0;A
2009;M;53687;ES612;53591;POP;78750.0;A
2009;M;53687;ES613;53591;POP;43450.0;A
2009;M;53687;ES614;53591;POP;52425.0;A
2009;M;53687;ES615;53591;POP;36975.0;A
2009;M;53687;ES616;53591;POP;35550.0;A
2009;M;53687;ES617;53591;POP;95875.0;A
2009;M;53687;ES618;53591;POP;116075.0;A
2009;M;53687;ES61;53591;POP;501150.0;A
2009;M;53688;ES611;53591;POP;134725.0;A
2009;M;53688;ES612;53591;POP;209450.0;A
2009;M;53688;ES613;53591;POP;156325.0;A
2009;M;53688;ES614;53591;POP;164050.0;A
2009;M;53688;ES615;53591;POP;98875.0;A
2009;M;53688;ES616;53591;POP;127425.0;A
2009;M;53688;ES617;53591;POP;274825.0;A
2009;M;53688;ES618;53591;POP;361050.0;A
2009;M;53688;ES61;53591;POP;1526725.0;A
2009;M;53689;ES611;53591;POP;187000.0;A
2009;M;53689;ES612;53591;POP;306950.0;A
2009;M;53689;ES613;53591;POP;211325.0;A
2009;M;53689;ES614;53591;POP;229575.0;A
2009;M;53689;ES615;53591;POP;144275.0;A
2009;M;53689;ES616;53591;POP;174175.0;A
2009;M;53689;ES617;53591;POP;394375.0;A
2009;M;53689;ES618;53591;POP;504300.0;A
2009;M;53689;ES61;53591;POP;2151975.0;A
2009;F;53685;ES611;53591;POP;3400.0;A
2009;F;53685;ES612;53591;POP;9425.0;A
2009;F;53685;ES613;53591;POP;4375.0;A
2009;F;53685;ES614;53591;POP;4575.0;A
2009;F;53685;ES615;53591;POP;3700.0;A
2009;F;53685;ES616;53591;POP;3900.0;A
2009;F;53685;ES617;53591;POP;9200.0;A
2009;F;53685;ES618;53591;POP;12375.0;A
2009;F;53685;ES61;53591;POP;50950.0;A
