TEMPORAL;SEXO;MCVL_TIPOPENSION;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2007;M;55191;ES61;55179;POP;1525.0;A
2007;M;55193;ES611;55179;POP;43575.0;A
2007;M;55193;ES612;55179;POP;97250.0;A
2007;M;55193;ES613;55179;POP;71250.0;A
2007;M;55193;ES614;55179;POP;81500.0;A
2007;M;55193;ES615;55179;POP;44625.0;A
2007;M;55193;ES616;55179;POP;69500.0;A
2007;M;55193;ES617;55179;POP;111850.0;A
2007;M;55193;ES618;55179;POP;154000.0;A
2007;M;55193;ES61;55179;POP;673550.0;A
2007;F;55189;ES611;55179;POP;31700.0;A
2007;F;55189;ES612;55179;POP;67375.0;A
2007;F;55189;ES613;55179;POP;59400.0;A
2007;F;55189;ES614;55179;POP;63425.0;A
2007;F;55189;ES615;55179;POP;34200.0;A
2007;F;55189;ES616;55179;POP;48125.0;A
2007;F;55189;ES617;55179;POP;86775.0;A
2007;F;55189;ES618;55179;POP;130800.0;A
2007;F;55189;ES61;55179;POP;521800.0;A
2007;F;55185;ES611;55179;POP;1800.0;A
2007;F;55185;ES612;55179;POP;6925.0;A
2007;F;55185;ES613;55179;POP;4625.0;A
2007;F;55185;ES614;55179;POP;8100.0;A
2007;F;55185;ES615;55179;POP;3475.0;A
2007;F;55185;ES616;55179;POP;4525.0;A
2007;F;55185;ES617;55179;POP;11525.0;A
2007;F;55185;ES618;55179;POP;20900.0;A
2007;F;55185;ES61;55179;POP;61875.0;A
2007;F;55186;ES611;55179;POP;11000.0;A
2007;F;55186;ES612;55179;POP;13325.0;A
2007;F;55186;ES613;55179;POP;23550.0;A
2007;F;55186;ES614;55179;POP;23575.0;A
2007;F;55186;ES615;55179;POP;8175.0;A
2007;F;55186;ES616;55179;POP;12925.0;A
2007;F;55186;ES617;55179;POP;26575.0;A
2007;F;55186;ES618;55179;POP;40150.0;A
2007;F;55186;ES61;55179;POP;159275.0;A
2007;F;55187;ES611;55179;POP;16775.0;A
2007;F;55187;ES612;55179;POP;41900.0;A
2007;F;55187;ES613;55179;POP;27375.0;A
2007;F;55187;ES614;55179;POP;28325.0;A
2007;F;55187;ES615;55179;POP;20150.0;A
2007;F;55187;ES616;55179;POP;27750.0;A
2007;F;55187;ES617;55179;POP;43750.0;A
2007;F;55187;ES618;55179;POP;60975.0;A
2007;F;55187;ES61;55179;POP;267000.0;A
2007;F;55188;ES611;55179;POP;2125.0;A
2007;F;55188;ES612;55179;POP;5225.0;A
2007;F;55188;ES613;55179;POP;3850.0;A
2007;F;55188;ES614;55179;POP;3425.0;A
2007;F;55188;ES615;55179;POP;2400.0;A
2007;F;55188;ES616;55179;POP;2925.0;A
2007;F;55188;ES617;55179;POP;4925.0;A
2007;F;55188;ES618;55179;POP;8775.0;A
2007;F;55188;ES61;55179;POP;33650.0;A
2007;F;55192;ES611;55179;POP;7925.0;A
2007;F;55192;ES612;55179;POP;7400.0;A
2007;F;55192;ES613;55179;POP;13675.0;A
2007;F;55192;ES614;55179;POP;12325.0;A
2007;F;55192;ES615;55179;POP;4000.0;A
2007;F;55192;ES616;55179;POP;6350.0;A
2007;F;55192;ES617;55179;POP;11550.0;A
2007;F;55192;ES618;55179;POP;20025.0;A
2007;F;55192;ES61;55179;POP;83250.0;A
2007;F;55190;ES611;55179;POP;7700.0;A
2007;F;55190;ES612;55179;POP;6950.0;A
2007;F;55190;ES613;55179;POP;13150.0;A
2007;F;55190;ES614;55179;POP;11350.0;A
2007;F;55190;ES615;55179;POP;3550.0;A
2007;F;55190;ES616;55179;POP;6025.0;A
2007;F;55190;ES617;55179;POP;10625.0;A
