TEMPORAL;SEXO;MCVL_TIPOHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2006;_T;273747;ES612;POP;673600.0;A
2006;_T;273747;ES613;POP;499300.0;A
2006;_T;273747;ES614;POP;556500.0;A
2006;_T;273747;ES615;POP;340675.0;A
2006;_T;273747;ES616;POP;411450.0;A
2006;_T;273747;ES617;POP;892775.0;A
2006;_T;273747;ES618;POP;1148100.0;A
2006;_T;273747;ES61;POP;4913125.0;A
2007;M;273748;ES611;POP;29300.0;A
2007;M;273748;ES612;POP;51575.0;A
2007;M;273748;ES613;POP;28075.0;A
2007;M;273748;ES614;POP;52350.0;A
2007;M;273748;ES615;POP;23350.0;A
2007;M;273748;ES616;POP;36175.0;A
2007;M;273748;ES617;POP;72600.0;A
2007;M;273748;ES618;POP;69775.0;A
2007;M;273748;ES61;POP;363200.0;A
2007;M;273751;ES611;POP;22775.0;A
2007;M;273751;ES612;POP;39375.0;A
2007;M;273751;ES613;POP;20125.0;A
2007;M;273751;ES614;POP;38225.0;A
2007;M;273751;ES615;POP;17775.0;A
2007;M;273751;ES616;POP;23750.0;A
2007;M;273751;ES617;POP;55125.0;A
2007;M;273751;ES618;POP;52600.0;A
2007;M;273751;ES61;POP;269750.0;A
2007;M;273752;ES611;POP;4525.0;A
2007;M;273752;ES612;POP;8750.0;A
2007;M;273752;ES613;POP;6750.0;A
2007;M;273752;ES614;POP;9775.0;A
2007;M;273752;ES615;POP;3550.0;A
2007;M;273752;ES616;POP;8725.0;A
2007;M;273752;ES617;POP;12200.0;A
2007;M;273752;ES618;POP;12150.0;A
2007;M;273752;ES61;POP;66425.0;A
2007;M;273753;ES611;POP;2000.0;A
2007;M;273753;ES612;POP;3450.0;A
2007;M;273753;ES613;POP;1200.0;A
2007;M;273753;ES614;POP;4350.0;A
2007;M;273753;ES615;POP;2025.0;A
2007;M;273753;ES616;POP;3700.0;A
2007;M;273753;ES617;POP;5275.0;A
2007;M;273753;ES618;POP;5025.0;A
2007;M;273753;ES61;POP;27025.0;A
2007;M;273749;ES611;POP;70400.0;A
2007;M;273749;ES612;POP;150375.0;A
2007;M;273749;ES613;POP;106775.0;A
2007;M;273749;ES614;POP;112625.0;A
2007;M;273749;ES615;POP;61675.0;A
2007;M;273749;ES616;POP;96925.0;A
2007;M;273749;ES617;POP;176075.0;A
2007;M;273749;ES618;POP;243975.0;A
2007;M;273749;ES61;POP;1018825.0;A
2007;M;273754;ES611;POP;23225.0;A
2007;M;273754;ES612;POP;52300.0;A
2007;M;273754;ES613;POP;29250.0;A
2007;M;273754;ES614;POP;40350.0;A
2007;M;273754;ES615;POP;19525.0;A
2007;M;273754;ES616;POP;31975.0;A
2007;M;273754;ES617;POP;65050.0;A
2007;M;273754;ES618;POP;74150.0;A
2007;M;273754;ES61;POP;335825.0;A
2007;M;273755;ES611;POP;16500.0;A
2007;M;273755;ES612;POP;32475.0;A
2007;M;273755;ES613;POP;30475.0;A
2007;M;273755;ES614;POP;31350.0;A
2007;M;273755;ES615;POP;16025.0;A
