TEMPORAL;SEXO;TIPODEHOGAR;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2009;F;273749;ES612;POP;114925.0;A
2009;F;273749;ES613;POP;89900.0;A
2009;F;273749;ES614;POP;95600.0;A
2009;F;273749;ES615;POP;52075.0;A
2009;F;273749;ES616;POP;74250.0;A
2009;F;273749;ES617;POP;149950.0;A
2009;F;273749;ES618;POP;210750.0;A
2009;F;273749;ES61;POP;848125.0;A
2009;F;273750;ES611;POP;80225.0;A
2009;F;273750;ES612;POP;122825.0;A
2009;F;273750;ES613;POP;100525.0;A
2009;F;273750;ES614;POP;93175.0;A
2009;F;273750;ES615;POP;56450.0;A
2009;F;273750;ES616;POP;60150.0;A
2009;F;273750;ES617;POP;149625.0;A
2009;F;273750;ES618;POP;230425.0;A
2009;F;273750;ES61;POP;893400.0;A
2009;F;273861;ES611;POP;9325.0;A
2009;F;273861;ES612;POP;7100.0;A
2009;F;273861;ES613;POP;6325.0;A
2009;F;273861;ES614;POP;13350.0;A
2009;F;273861;ES615;POP;33150.0;A
2009;F;273861;ES616;POP;4825.0;A
2009;F;273861;ES617;POP;18750.0;A
2009;F;273861;ES618;POP;15650.0;A
2009;F;273861;ES61;POP;108475.0;A
2009;F;273747;ES611;POP;183225.0;A
2009;F;273747;ES612;POP;310725.0;A
2009;F;273747;ES613;POP;236175.0;A
2009;F;273747;ES614;POP;263775.0;A
2009;F;273747;ES615;POP;174350.0;A
2009;F;273747;ES616;POP;189675.0;A
2009;F;273747;ES617;POP;419675.0;A
2009;F;273747;ES618;POP;553750.0;A
2009;F;273747;ES61;POP;2331350.0;A
2009;_T;273748;ES611;POP;64325.0;A
2009;_T;273748;ES612;POP;127450.0;A
2009;_T;273748;ES613;POP;69100.0;A
2009;_T;273748;ES614;POP;119150.0;A
2009;_T;273748;ES615;POP;60625.0;A
2009;_T;273748;ES616;POP;97000.0;A
2009;_T;273748;ES617;POP;196375.0;A
2009;_T;273748;ES618;POP;174475.0;A
2009;_T;273748;ES61;POP;908500.0;A
2009;_T;273749;ES611;POP;133600.0;A
2009;_T;273749;ES612;POP;263825.0;A
2009;_T;273749;ES613;POP;197150.0;A
2009;_T;273749;ES614;POP;208575.0;A
2009;_T;273749;ES615;POP;118250.0;A
2009;_T;273749;ES616;POP;173025.0;A
2009;_T;273749;ES617;POP;333675.0;A
2009;_T;273749;ES618;POP;461750.0;A
2009;_T;273749;ES61;POP;1889850.0;A
2009;_T;273750;ES611;POP;185200.0;A
2009;_T;273750;ES612;POP;297975.0;A
2009;_T;273750;ES613;POP;229825.0;A
2009;_T;273750;ES614;POP;210700.0;A
2009;_T;273750;ES615;POP;134675.0;A
2009;_T;273750;ES616;POP;144350.0;A
2009;_T;273750;ES617;POP;345400.0;A
2009;_T;273750;ES618;POP;527675.0;A
2009;_T;273750;ES61;POP;2075800.0;A
2009;_T;273861;ES611;POP;27975.0;A
2009;_T;273861;ES612;POP;17975.0;A
2009;_T;273861;ES613;POP;16600.0;A
2009;_T;273861;ES614;POP;30875.0;A
2009;_T;273861;ES615;POP;45000.0;A
2009;_T;273861;ES616;POP;13125.0;A
2009;_T;273861;ES617;POP;43700.0;A
2009;_T;273861;ES618;POP;34225.0;A
2009;_T;273861;ES61;POP;229475.0;A
2009;_T;273747;ES611;POP;411100.0;A
2009;_T;273747;ES612;POP;707225.0;A
2009;_T;273747;ES613;POP;512675.0;A
2009;_T;273747;ES614;POP;569300.0;A
2009;_T;273747;ES615;POP;358550.0;A
2009;_T;273747;ES616;POP;427500.0;A
2009;_T;273747;ES617;POP;919150.0;A
2009;_T;273747;ES618;POP;1198125.0;A
2009;_T;273747;ES61;POP;5103625.0;A
2010;M;273748;ES611;POP;31100.0;A
2010;M;273748;ES612;POP;62775.0;A
2010;M;273748;ES613;POP;30850.0;A
2010;M;273748;ES614;POP;58625.0;A
2010;M;273748;ES615;POP;31475.0;A
2010;M;273748;ES616;POP;49875.0;A
2010;M;273748;ES617;POP;96225.0;A
2010;M;273748;ES618;POP;81175.0;A
2010;M;273748;ES61;POP;442100.0;A
2010;M;273749;ES611;POP;74425.0;A
2010;M;273749;ES612;POP;153725.0;A
2010;M;273749;ES613;POP;105025.0;A
2010;M;273749;ES614;POP;118075.0;A
2010;M;273749;ES615;POP;68750.0;A
2010;M;273749;ES616;POP;97875.0;A
2010;M;273749;ES617;POP;189025.0;A
2010;M;273749;ES618;POP;254825.0;A
2010;M;273749;ES61;POP;1061725.0;A
2010;M;273750;ES611;POP;103300.0;A
2010;M;273750;ES612;POP;168675.0;A
2010;M;273750;ES613;POP;130000.0;A
2010;M;273750;ES614;POP;113375.0;A
2010;M;273750;ES615;POP;72825.0;A
2010;M;273750;ES616;POP;82075.0;A
2010;M;273750;ES617;POP;188075.0;A
2010;M;273750;ES618;POP;287175.0;A
2010;M;273750;ES61;POP;1145500.0;A
2010;M;273861;ES611;POP;19100.0;A
2010;M;273861;ES612;POP;10500.0;A
2010;M;273861;ES613;POP;10375.0;A
2010;M;273861;ES614;POP;14700.0;A
2010;M;273861;ES615;POP;10675.0;A
2010;M;273861;ES616;POP;9225.0;A
2010;M;273861;ES617;POP;23775.0;A
2010;M;273861;ES618;POP;19475.0;A
2010;M;273861;ES61;POP;117825.0;A
2010;M;273747;ES611;POP;227925.0;A
2010;M;273747;ES612;POP;395675.0;A
2010;M;273747;ES613;POP;276250.0;A
2010;M;273747;ES614;POP;304775.0;A
2010;M;273747;ES615;POP;183725.0;A
2010;M;273747;ES616;POP;239050.0;A
