TEMPORAL;SEXO;MCVL_INTERVINGRESOS;TERRITORIO;MCVL_PENSIONISTA;INDICATOR;OBS_VALUE;FREQ
2007;F;55204;ES617;55179;POP;20125.0;A
2007;F;55204;ES618;55179;POP;29525.0;A
2007;F;55204;ES61;55179;POP;117050.0;A
2007;F;55205;ES611;55179;POP;1075.0;A
2007;F;55205;ES612;55179;POP;2925.0;A
2007;F;55205;ES613;55179;POP;2200.0;A
2007;F;55205;ES614;55179;POP;2600.0;A
2007;F;55205;ES615;55179;POP;1000.0;A
2007;F;55205;ES616;55179;POP;1900.0;A
2007;F;55205;ES617;55179;POP;3900.0;A
2007;F;55205;ES618;55179;POP;5350.0;A
2007;F;55205;ES61;55179;POP;20950.0;A
2007;F;55206;ES611;55179;POP;775.0;A
2007;F;55206;ES612;55179;POP;1750.0;A
2007;F;55206;ES613;55179;POP;1325.0;A
2007;F;55206;ES614;55179;POP;1250.0;A
2007;F;55206;ES615;55179;POP;500.0;A
2007;F;55206;ES616;55179;POP;1225.0;A
2007;F;55206;ES617;55179;POP;2075.0;A
2007;F;55206;ES618;55179;POP;3575.0;A
2007;F;55206;ES61;55179;POP;12475.0;A
2007;F;;ES611;55179;POP;825.0;A
2007;F;;ES612;55179;POP;1275.0;A
2007;F;;ES613;55179;POP;1450.0;A
2007;F;;ES614;55179;POP;1550.0;A
2007;F;;ES615;55179;POP;750.0;A
2007;F;;ES616;55179;POP;900.0;A
2007;F;;ES617;55179;POP;2525.0;A
2007;F;;ES618;55179;POP;2900.0;A
2007;F;;ES61;55179;POP;12175.0;A
2007;F;55207;ES611;55179;POP;39625.0;A
2007;F;55207;ES612;55179;POP;74775.0;A
2007;F;55207;ES613;55179;POP;73075.0;A
2007;F;55207;ES614;55179;POP;75750.0;A
2007;F;55207;ES615;55179;POP;38200.0;A
2007;F;55207;ES616;55179;POP;54475.0;A
2007;F;55207;ES617;55179;POP;98325.0;A
2007;F;55207;ES618;55179;POP;150825.0;A
2007;F;55207;ES61;55179;POP;605050.0;A
2007;_T;55203;ES611;55179;POP;58550.0;A
2007;_T;55203;ES612;55179;POP;99900.0;A
2007;_T;55203;ES613;55179;POP;93825.0;A
2007;_T;55203;ES614;55179;POP;103825.0;A
2007;_T;55203;ES615;55179;POP;51100.0;A
2007;_T;55203;ES616;55179;POP;75275.0;A
2007;_T;55203;ES617;55179;POP;128900.0;A
2007;_T;55203;ES618;55179;POP;186975.0;A
2007;_T;55203;ES61;55179;POP;798350.0;A
2007;_T;55204;ES611;55179;POP;15350.0;A
2007;_T;55204;ES612;55179;POP;43500.0;A
2007;_T;55204;ES613;55179;POP;33700.0;A
2007;_T;55204;ES614;55179;POP;35075.0;A
2007;_T;55204;ES615;55179;POP;20925.0;A
2007;_T;55204;ES616;55179;POP;33725.0;A
2007;_T;55204;ES617;55179;POP;52500.0;A
2007;_T;55204;ES618;55179;POP;73975.0;A
2007;_T;55204;ES61;55179;POP;308750.0;A
2007;_T;55205;ES611;55179;POP;4250.0;A
2007;_T;55205;ES612;55179;POP;17775.0;A
2007;_T;55205;ES613;55179;POP;7925.0;A
2007;_T;55205;ES614;55179;POP;9675.0;A
2007;_T;55205;ES615;55179;POP;5950.0;A
2007;_T;55205;ES616;55179;POP;8275.0;A
2007;_T;55205;ES617;55179;POP;14325.0;A
2007;_T;55205;ES618;55179;POP;23775.0;A
2007;_T;55205;ES61;55179;POP;91950.0;A
2007;_T;55206;ES611;55179;POP;2950.0;A
2007;_T;55206;ES612;55179;POP;7625.0;A
2007;_T;55206;ES613;55179;POP;5350.0;A
2007;_T;55206;ES614;55179;POP;5500.0;A
2007;_T;55206;ES615;55179;POP;3375.0;A
2007;_T;55206;ES616;55179;POP;4850.0;A
2007;_T;55206;ES617;55179;POP;9050.0;A
2007;_T;55206;ES618;55179;POP;14525.0;A
2007;_T;55206;ES61;55179;POP;53225.0;A
2007;_T;;ES611;55179;POP;2100.0;A
2007;_T;;ES612;55179;POP;3225.0;A
2007;_T;;ES613;55179;POP;3525.0;A
2007;_T;;ES614;55179;POP;3175.0;A
2007;_T;;ES615;55179;POP;1475.0;A
2007;_T;;ES616;55179;POP;1850.0;A
2007;_T;;ES617;55179;POP;5400.0;A
2007;_T;;ES618;55179;POP;5575.0;A
2007;_T;;ES61;55179;POP;26325.0;A
2007;_T;55207;ES611;55179;POP;83200.0;A
2007;_T;55207;ES612;55179;POP;172025.0;A
2007;_T;55207;ES613;55179;POP;144325.0;A
2007;_T;55207;ES614;55179;POP;157250.0;A
2007;_T;55207;ES615;55179;POP;82825.0;A
2007;_T;55207;ES616;55179;POP;123975.0;A
2007;_T;55207;ES617;55179;POP;210175.0;A
2007;_T;55207;ES618;55179;POP;304825.0;A
2007;_T;55207;ES61;55179;POP;1278600.0;A
2008;M;55203;ES611;55179;POP;26925.0;A
2008;M;55203;ES612;55179;POP;44200.0;A
2008;M;55203;ES613;55179;POP;37425.0;A
2008;M;55203;ES614;55179;POP;42400.0;A
2008;M;55203;ES615;55179;POP;21250.0;A
2008;M;55203;ES616;55179;POP;31875.0;A
2008;M;55203;ES617;55179;POP;55775.0;A
2008;M;55203;ES618;55179;POP;73525.0;A
2008;M;55203;ES61;55179;POP;333375.0;A
2008;M;55204;ES611;55179;POP;10600.0;A
2008;M;55204;ES612;55179;POP;28500.0;A
2008;M;55204;ES613;55179;POP;20575.0;A
2008;M;55204;ES614;55179;POP;24400.0;A
2008;M;55204;ES615;55179;POP;14100.0;A
2008;M;55204;ES616;55179;POP;25425.0;A
2008;M;55204;ES617;55179;POP;34175.0;A
2008;M;55204;ES618;55179;POP;46700.0;A
2008;M;55204;ES61;55179;POP;204475.0;A
2008;M;55205;ES611;55179;POP;3550.0;A
2008;M;55205;ES612;55179;POP;16225.0;A
2008;M;55205;ES613;55179;POP;7275.0;A
2008;M;55205;ES614;55179;POP;8275.0;A
2008;M;55205;ES615;55179;POP;5600.0;A
2008;M;55205;ES616;55179;POP;6900.0;A
2008;M;55205;ES617;55179;POP;12650.0;A
2008;M;55205;ES618;55179;POP;21300.0;A
2008;M;55205;ES61;55179;POP;81775.0;A
2008;M;55206;ES611;55179;POP;2200.0;A
2008;M;55206;ES612;55179;POP;7725.0;A
2008;M;55206;ES613;55179;POP;5000.0;A
2008;M;55206;ES614;55179;POP;5050.0;A
2008;M;55206;ES615;55179;POP;3625.0;A
2008;M;55206;ES616;55179;POP;4250.0;A
2008;M;55206;ES617;55179;POP;8725.0;A
2008;M;55206;ES618;55179;POP;13200.0;A
2008;M;55206;ES61;55179;POP;49775.0;A
2008;M;;ES611;55179;POP;1050.0;A
2008;M;;ES612;55179;POP;1825.0;A
2008;M;;ES613;55179;POP;1550.0;A
2008;M;;ES614;55179;POP;1350.0;A
2008;M;;ES615;55179;POP;700.0;A
2008;M;;ES616;55179;POP;875.0;A
2008;M;;ES617;55179;POP;2525.0;A
2008;M;;ES618;55179;POP;2300.0;A
2008;M;;ES61;55179;POP;12175.0;A
2008;M;55207;ES611;55179;POP;44325.0;A
2008;M;55207;ES612;55179;POP;98475.0;A
2008;M;55207;ES613;55179;POP;71825.0;A
2008;M;55207;ES614;55179;POP;81475.0;A
2008;M;55207;ES615;55179;POP;45275.0;A
2008;M;55207;ES616;55179;POP;69325.0;A
2008;M;55207;ES617;55179;POP;113850.0;A
2008;M;55207;ES618;55179;POP;157025.0;A
2008;M;55207;ES61;55179;POP;681575.0;A
2008;F;55203;ES611;55179;POP;29725.0;A
2008;F;55203;ES612;55179;POP;51500.0;A
2008;F;55203;ES613;55179;POP;52700.0;A
2008;F;55203;ES614;55179;POP;55175.0;A
2008;F;55203;ES615;55179;POP;27825.0;A
2008;F;55203;ES616;55179;POP;38825.0;A
2008;F;55203;ES617;55179;POP;67600.0;A
2008;F;55203;ES618;55179;POP;108100.0;A
2008;F;55203;ES61;55179;POP;431450.0;A
2008;F;55204;ES611;55179;POP;6875.0;A
2008;F;55204;ES612;55179;POP;18400.0;A
2008;F;55204;ES613;55179;POP;15300.0;A
2008;F;55204;ES614;55179;POP;14825.0;A
2008;F;55204;ES615;55179;POP;8400.0;A
2008;F;55204;ES616;55179;POP;11275.0;A
2008;F;55204;ES617;55179;POP;22375.0;A
2008;F;55204;ES618;55179;POP;32825.0;A
2008;F;55204;ES61;55179;POP;130275.0;A
2008;F;55205;ES611;55179;POP;1575.0;A
2008;F;55205;ES612;55179;POP;3325.0;A
2008;F;55205;ES613;55179;POP;2350.0;A
2008;F;55205;ES614;55179;POP;3050.0;A
2008;F;55205;ES615;55179;POP;1100.0;A
2008;F;55205;ES616;55179;POP;2125.0;A
2008;F;55205;ES617;55179;POP;4475.0;A
2008;F;55205;ES618;55179;POP;6925.0;A
2008;F;55205;ES61;55179;POP;24925.0;A
2008;F;55206;ES611;55179;POP;875.0;A
2008;F;55206;ES612;55179;POP;1875.0;A
2008;F;55206;ES613;55179;POP;1725.0;A
2008;F;55206;ES614;55179;POP;1575.0;A
2008;F;55206;ES615;55179;POP;775.0;A
2008;F;55206;ES616;55179;POP;1500.0;A
2008;F;55206;ES617;55179;POP;3050.0;A
2008;F;55206;ES618;55179;POP;4125.0;A
2008;F;55206;ES61;55179;POP;15500.0;A
2008;F;;ES611;55179;POP;775.0;A
2008;F;;ES612;55179;POP;1125.0;A
2008;F;;ES613;55179;POP;1300.0;A
2008;F;;ES614;55179;POP;1450.0;A
2008;F;;ES615;55179;POP;575.0;A
2008;F;;ES616;55179;POP;775.0;A
2008;F;;ES617;55179;POP;2600.0;A
2008;F;;ES618;55179;POP;2550.0;A
2008;F;;ES61;55179;POP;11150.0;A
2008;F;55207;ES611;55179;POP;39825.0;A
2008;F;55207;ES612;55179;POP;76225.0;A
2008;F;55207;ES613;55179;POP;73375.0;A
2008;F;55207;ES614;55179;POP;76075.0;A
2008;F;55207;ES615;55179;POP;38675.0;A
2008;F;55207;ES616;55179;POP;54500.0;A
2008;F;55207;ES617;55179;POP;100100.0;A
2008;F;55207;ES618;55179;POP;154525.0;A
2008;F;55207;ES61;55179;POP;613300.0;A
2008;_T;55203;ES611;55179;POP;56650.0;A
2008;_T;55203;ES612;55179;POP;95700.0;A
2008;_T;55203;ES613;55179;POP;90125.0;A
2008;_T;55203;ES614;55179;POP;97575.0;A
2008;_T;55203;ES615;55179;POP;49075.0;A
2008;_T;55203;ES616;55179;POP;70700.0;A
2008;_T;55203;ES617;55179;POP;123375.0;A
2008;_T;55203;ES618;55179;POP;181625.0;A
2008;_T;55203;ES61;55179;POP;764825.0;A
2008;_T;55204;ES611;55179;POP;17475.0;A
2008;_T;55204;ES612;55179;POP;46900.0;A
2008;_T;55204;ES613;55179;POP;35875.0;A
2008;_T;55204;ES614;55179;POP;39225.0;A
2008;_T;55204;ES615;55179;POP;22500.0;A
2008;_T;55204;ES616;55179;POP;36700.0;A
2008;_T;55204;ES617;55179;POP;56550.0;A
2008;_T;55204;ES618;55179;POP;79525.0;A
2008;_T;55204;ES61;55179;POP;334750.0;A
2008;_T;55205;ES611;55179;POP;5125.0;A
2008;_T;55205;ES612;55179;POP;19550.0;A
2008;_T;55205;ES613;55179;POP;9625.0;A
2008;_T;55205;ES614;55179;POP;11325.0;A
2008;_T;55205;ES615;55179;POP;6700.0;A
2008;_T;55205;ES616;55179;POP;9025.0;A
2008;_T;55205;ES617;55179;POP;17125.0;A
2008;_T;55205;ES618;55179;POP;28225.0;A
2008;_T;55205;ES61;55179;POP;106700.0;A
2008;_T;55206;ES611;55179;POP;3075.0;A
2008;_T;55206;ES612;55179;POP;9600.0;A
2008;_T;55206;ES613;55179;POP;6725.0;A
2008;_T;55206;ES614;55179;POP;6625.0;A
2008;_T;55206;ES615;55179;POP;4400.0;A
2008;_T;55206;ES616;55179;POP;5750.0;A
2008;_T;55206;ES617;55179;POP;11775.0;A
2008;_T;55206;ES618;55179;POP;17325.0;A
2008;_T;55206;ES61;55179;POP;65275.0;A
2008;_T;;ES611;55179;POP;1825.0;A
