TEMPORAL;SEXO;TIPRELACIONSS;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
2008;F;55182;ES618;POP;396100.0;A
2008;F;55182;ES61;POP;1696225.0;A
2008;F;55183;ES611;POP;35975.0;A
2008;F;55183;ES612;POP;69675.0;A
2008;F;55183;ES613;POP;66675.0;A
2008;F;55183;ES614;POP;69425.0;A
2008;F;55183;ES615;POP;34775.0;A
2008;F;55183;ES616;POP;49700.0;A
2008;F;55183;ES617;POP;92300.0;A
2008;F;55183;ES618;POP;140625.0;A
2008;F;55183;ES61;POP;559150.0;A
2008;F;55184;ES611;POP;3850.0;A
2008;F;55184;ES612;POP;6550.0;A
2008;F;55184;ES613;POP;6700.0;A
2008;F;55184;ES614;POP;6650.0;A
2008;F;55184;ES615;POP;3900.0;A
2008;F;55184;ES616;POP;4800.0;A
2008;F;55184;ES617;POP;7800.0;A
2008;F;55184;ES618;POP;13900.0;A
2008;F;55184;ES61;POP;54150.0;A
2008;_T;55181;ES611;POP;409925.0;A
2008;_T;55181;ES612;POP;710200.0;A
2008;_T;55181;ES613;POP;518025.0;A
2008;_T;55181;ES614;POP;573300.0;A
2008;_T;55181;ES615;POP;358225.0;A
2008;_T;55181;ES616;POP;426425.0;A
2008;_T;55181;ES617;POP;922375.0;A
2008;_T;55181;ES618;POP;1202075.0;A
2008;_T;55181;ES61;POP;5120550.0;A
2008;_T;55182;ES611;POP;325775.0;A
2008;_T;55182;ES612;POP;535500.0;A
2008;_T;55182;ES613;POP;372825.0;A
2008;_T;55182;ES614;POP;415750.0;A
2008;_T;55182;ES615;POP;274275.0;A
2008;_T;55182;ES616;POP;302600.0;A
2008;_T;55182;ES617;POP;708425.0;A
2008;_T;55182;ES618;POP;890525.0;A
2008;_T;55182;ES61;POP;3825675.0;A
2008;_T;55183;ES611;POP;76150.0;A
2008;_T;55183;ES612;POP;156800.0;A
2008;_T;55183;ES613;POP;131675.0;A
2008;_T;55183;ES614;POP;143500.0;A
2008;_T;55183;ES615;POP;74350.0;A
2008;_T;55183;ES616;POP;112825.0;A
2008;_T;55183;ES617;POP;194250.0;A
2008;_T;55183;ES618;POP;278025.0;A
2008;_T;55183;ES61;POP;1167575.0;A
2008;_T;55184;ES611;POP;8000.0;A
2008;_T;55184;ES612;POP;17900.0;A
2008;_T;55184;ES613;POP;13525.0;A
2008;_T;55184;ES614;POP;14050.0;A
2008;_T;55184;ES615;POP;9600.0;A
2008;_T;55184;ES616;POP;11000.0;A
2008;_T;55184;ES617;POP;19700.0;A
2008;_T;55184;ES618;POP;33525.0;A
2008;_T;55184;ES61;POP;127300.0;A
2009;M;55181;ES611;POP;227875.0;A
2009;M;55181;ES612;POP;396500.0;A
2009;M;55181;ES613;POP;276500.0;A
2009;M;55181;ES614;POP;305525.0;A
2009;M;55181;ES615;POP;184200.0;A
