TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ;CLASEDEPENSION;EDAD
2019;2308;M;212544;NUM_PEN_PERS;75.0;A;_Z;_Z
2019;2308;F;212544;NUM_PEN_PERS;43.0;A;_Z;_Z
2019;2309;_T;212544;NUM_PEN_PERS;47.0;A;_Z;_Z
2019;2309;M;212544;NUM_PEN_PERS;30.0;A;_Z;_Z
2019;2309;F;212544;NUM_PEN_PERS;17.0;A;_Z;_Z
2019;2310;_T;212544;NUM_PEN_PERS;553.0;A;_Z;_Z
2019;2310;M;212544;NUM_PEN_PERS;460.0;A;_Z;_Z
2019;2310;F;212544;NUM_PEN_PERS;93.0;A;_Z;_Z
2019;2311;_T;212544;NUM_PEN_PERS;296.0;A;_Z;_Z
2019;2311;M;212544;NUM_PEN_PERS;225.0;A;_Z;_Z
2019;2311;F;212544;NUM_PEN_PERS;71.0;A;_Z;_Z
2019;2312;_T;212544;NUM_PEN_PERS;84.0;A;_Z;_Z
2019;2312;M;212544;NUM_PEN_PERS;56.0;A;_Z;_Z
2019;2312;F;212544;NUM_PEN_PERS;28.0;A;_Z;_Z
2019;2313;_T;212544;NUM_PEN_PERS;60.0;A;_Z;_Z
2019;2313;M;212544;NUM_PEN_PERS;35.0;A;_Z;_Z
2019;2313;F;212544;NUM_PEN_PERS;25.0;A;_Z;_Z
2019;2314;_T;212544;NUM_PEN_PERS;60.0;A;_Z;_Z
2019;2314;M;212544;NUM_PEN_PERS;50.0;A;_Z;_Z
2019;2314;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2019;2315;_T;212544;NUM_PEN_PERS;287.0;A;_Z;_Z
2019;2315;M;212544;NUM_PEN_PERS;218.0;A;_Z;_Z
2019;2315;F;212544;NUM_PEN_PERS;69.0;A;_Z;_Z
2019;2316;_T;212544;NUM_PEN_PERS;508.0;A;_Z;_Z
2019;2316;M;212544;NUM_PEN_PERS;353.0;A;_Z;_Z
2019;2316;F;212544;NUM_PEN_PERS;155.0;A;_Z;_Z
2019;2317;_T;212544;NUM_PEN_PERS;166.0;A;_Z;_Z
2019;2317;M;212544;NUM_PEN_PERS;132.0;A;_Z;_Z
2019;2317;F;212544;NUM_PEN_PERS;34.0;A;_Z;_Z
2019;2318;_T;212544;NUM_PEN_PERS;77.0;A;_Z;_Z
2019;2318;M;212544;NUM_PEN_PERS;50.0;A;_Z;_Z
2019;2318;F;212544;NUM_PEN_PERS;27.0;A;_Z;_Z
2019;2319;_T;212544;NUM_PEN_PERS;106.0;A;_Z;_Z
2019;2319;M;212544;NUM_PEN_PERS;80.0;A;_Z;_Z
2019;2319;F;212544;NUM_PEN_PERS;26.0;A;_Z;_Z
2019;2320;_T;212544;NUM_PEN_PERS;4834.0;A;_Z;_Z
2019;2320;M;212544;NUM_PEN_PERS;3332.0;A;_Z;_Z
2019;2320;F;212544;NUM_PEN_PERS;1502.0;A;_Z;_Z
2019;2321;_T;212544;NUM_PEN_PERS;36.0;A;_Z;_Z
2019;2321;M;212544;NUM_PEN_PERS;26.0;A;_Z;_Z
2019;2321;F;212544;NUM_PEN_PERS;10.0;A;_Z;_Z
2019;2322;_T;212544;NUM_PEN_PERS;52.0;A;_Z;_Z
2019;2322;M;212544;NUM_PEN_PERS;33.0;A;_Z;_Z
2019;2322;F;212544;NUM_PEN_PERS;19.0;A;_Z;_Z
2019;2323;_T;212544;NUM_PEN_PERS;47.0;A;_Z;_Z
2019;2323;M;212544;NUM_PEN_PERS;31.0;A;_Z;_Z
2019;2323;F;212544;NUM_PEN_PERS;16.0;A;_Z;_Z
2019;2324;_T;212544;NUM_PEN_PERS;313.0;A;_Z;_Z
2019;2324;M;212544;NUM_PEN_PERS;237.0;A;_Z;_Z
2019;2324;F;212544;NUM_PEN_PERS;76.0;A;_Z;_Z
2019;2325;_T;212544;NUM_PEN_PERS;63.0;A;_Z;_Z
2019;2325;M;212544;NUM_PEN_PERS;50.0;A;_Z;_Z
2019;2325;F;212544;NUM_PEN_PERS;13.0;A;_Z;_Z
2019;2326;_T;212544;NUM_PEN_PERS;57.0;A;_Z;_Z
2019;2326;M;212544;NUM_PEN_PERS;41.0;A;_Z;_Z
2019;2326;F;212544;NUM_PEN_PERS;16.0;A;_Z;_Z
2019;2327;_T;212544;NUM_PEN_PERS;344.0;A;_Z;_Z
2019;2327;M;212544;NUM_PEN_PERS;228.0;A;_Z;_Z
2019;2327;F;212544;NUM_PEN_PERS;116.0;A;_Z;_Z
2019;2328;_T;212544;NUM_PEN_PERS;17.0;A;_Z;_Z
2019;2328;M;212544;NUM_PEN_PERS;15.0;A;_Z;_Z
2019;2328;F;212544;NUM_PEN_PERS;se;A;_Z;_Z
