TEMPORAL;EDAD;TERRITORIO;LUG_NAC_PADRON;SEXO;INDICATOR;OBS_VALUE;FREQ
2021;TOTAL;2249;54344;_T;HAB;1.0;A
2021;TOTAL;2249;54344;M;HAB;1.0;A
2021;TOTAL;2249;54565;_T;HAB;6.0;A
2021;TOTAL;2249;54565;M;HAB;4.0;A
2021;TOTAL;2249;54565;F;HAB;2.0;A
2021;TOTAL;2249;54887;_T;HAB;12.0;A
2021;TOTAL;2249;54887;M;HAB;6.0;A
2021;TOTAL;2249;54887;F;HAB;6.0;A
2021;TOTAL;2250;54888;_T;HAB;675.0;A
2021;TOTAL;2250;54888;M;HAB;354.0;A
2021;TOTAL;2250;54888;F;HAB;321.0;A
2021;TOTAL;2250;53700;_T;HAB;640.0;A
2021;TOTAL;2250;53700;M;HAB;335.0;A
2021;TOTAL;2250;53700;F;HAB;305.0;A
2021;TOTAL;2250;54560;_T;HAB;608.0;A
2021;TOTAL;2250;54560;M;HAB;320.0;A
2021;TOTAL;2250;54560;F;HAB;288.0;A
2021;TOTAL;2250;53809;_T;HAB;588.0;A
2021;TOTAL;2250;53809;M;HAB;312.0;A
2021;TOTAL;2250;53809;F;HAB;276.0;A
2021;TOTAL;2250;53933;_T;HAB;2.0;A
2021;TOTAL;2250;53933;F;HAB;2.0;A
2021;TOTAL;2250;54155;_T;HAB;12.0;A
2021;TOTAL;2250;54155;M;HAB;5.0;A
2021;TOTAL;2250;54155;F;HAB;7.0;A
2021;TOTAL;2250;54344;_T;HAB;4.0;A
2021;TOTAL;2250;54344;M;HAB;2.0;A
2021;TOTAL;2250;54344;F;HAB;2.0;A
2021;TOTAL;2250;54452;_T;HAB;1.0;A
2021;TOTAL;2250;54452;M;HAB;1.0;A
2021;TOTAL;2250;54559;_T;HAB;1.0;A
2021;TOTAL;2250;54559;F;HAB;1.0;A
2021;TOTAL;2250;54565;_T;HAB;32.0;A
2021;TOTAL;2250;54565;M;HAB;15.0;A
2021;TOTAL;2250;54565;F;HAB;17.0;A
2021;TOTAL;2250;54887;_T;HAB;35.0;A
2021;TOTAL;2250;54887;M;HAB;19.0;A
2021;TOTAL;2250;54887;F;HAB;16.0;A
2021;TOTAL;2251;54888;_T;HAB;3733.0;A
2021;TOTAL;2251;54888;M;HAB;1872.0;A
2021;TOTAL;2251;54888;F;HAB;1861.0;A
2021;TOTAL;2251;53700;_T;HAB;3343.0;A
2021;TOTAL;2251;53700;M;HAB;1660.0;A
2021;TOTAL;2251;53700;F;HAB;1683.0;A
2021;TOTAL;2251;54560;_T;HAB;3161.0;A
2021;TOTAL;2251;54560;M;HAB;1576.0;A
2021;TOTAL;2251;54560;F;HAB;1585.0;A
2021;TOTAL;2251;53809;_T;HAB;2991.0;A
2021;TOTAL;2251;53809;M;HAB;1507.0;A
2021;TOTAL;2251;53809;F;HAB;1484.0;A
2021;TOTAL;2251;53855;_T;HAB;14.0;A
2021;TOTAL;2251;53855;M;HAB;4.0;A
2021;TOTAL;2251;53855;F;HAB;10.0;A
2021;TOTAL;2251;53933;_T;HAB;11.0;A
2021;TOTAL;2251;53933;M;HAB;3.0;A
2021;TOTAL;2251;53933;F;HAB;8.0;A
2021;TOTAL;2251;54155;_T;HAB;96.0;A
2021;TOTAL;2251;54155;M;HAB;36.0;A
2021;TOTAL;2251;54155;F;HAB;60.0;A
2021;TOTAL;2251;54236;_T;HAB;4.0;A
2021;TOTAL;2251;54236;M;HAB;1.0;A
2021;TOTAL;2251;54236;F;HAB;3.0;A
2021;TOTAL;2251;54344;_T;HAB;23.0;A
2021;TOTAL;2251;54344;M;HAB;12.0;A
2021;TOTAL;2251;54344;F;HAB;11.0;A
2021;TOTAL;2251;54452;_T;HAB;8.0;A
2021;TOTAL;2251;54452;M;HAB;7.0;A
2021;TOTAL;2251;54452;F;HAB;1.0;A
2021;TOTAL;2251;54559;_T;HAB;14.0;A
2021;TOTAL;2251;54559;M;HAB;6.0;A
2021;TOTAL;2251;54559;F;HAB;8.0;A
2021;TOTAL;2251;54565;_T;HAB;182.0;A
2021;TOTAL;2251;54565;M;HAB;84.0;A
2021;TOTAL;2251;54565;F;HAB;98.0;A
2021;TOTAL;2251;54887;_T;HAB;390.0;A
2021;TOTAL;2251;54887;M;HAB;212.0;A
2021;TOTAL;2251;54887;F;HAB;178.0;A
2021;TOTAL;2252;54888;_T;HAB;204.0;A
2021;TOTAL;2252;54888;M;HAB;103.0;A
2021;TOTAL;2252;54888;F;HAB;101.0;A
2021;TOTAL;2252;53700;_T;HAB;201.0;A
2021;TOTAL;2252;53700;M;HAB;101.0;A
2021;TOTAL;2252;53700;F;HAB;100.0;A
2021;TOTAL;2252;54560;_T;HAB;197.0;A
2021;TOTAL;2252;54560;M;HAB;100.0;A
2021;TOTAL;2252;54560;F;HAB;97.0;A
2021;TOTAL;2252;53809;_T;HAB;194.0;A
2021;TOTAL;2252;53809;M;HAB;98.0;A
2021;TOTAL;2252;53809;F;HAB;96.0;A
2021;TOTAL;2252;53933;_T;HAB;1.0;A
2021;TOTAL;2252;53933;M;HAB;1.0;A
2021;TOTAL;2252;54155;_T;HAB;2.0;A
2021;TOTAL;2252;54155;M;HAB;1.0;A
2021;TOTAL;2252;54155;F;HAB;1.0;A
2021;TOTAL;2252;54565;_T;HAB;4.0;A
2021;TOTAL;2252;54565;M;HAB;1.0;A
2021;TOTAL;2252;54565;F;HAB;3.0;A
2021;TOTAL;2252;54887;_T;HAB;3.0;A
2021;TOTAL;2252;54887;M;HAB;2.0;A
2021;TOTAL;2252;54887;F;HAB;1.0;A
2021;TOTAL;2253;54888;_T;HAB;200753.0;A
2021;TOTAL;2253;54888;M;HAB;98141.0;A
2021;TOTAL;2253;54888;F;HAB;102612.0;A
2021;TOTAL;2253;53700;_T;HAB;172854.0;A
2021;TOTAL;2253;53700;M;HAB;83330.0;A
2021;TOTAL;2253;53700;F;HAB;89524.0;A
2021;TOTAL;2253;54560;_T;HAB;157418.0;A
2021;TOTAL;2253;54560;M;HAB;76019.0;A
2021;TOTAL;2253;54560;F;HAB;81399.0;A
2021;TOTAL;2253;53809;_T;HAB;143220.0;A
2021;TOTAL;2253;53809;M;HAB;69395.0;A
2021;TOTAL;2253;53809;F;HAB;73825.0;A
2021;TOTAL;2253;53855;_T;HAB;850.0;A
2021;TOTAL;2253;53855;M;HAB;410.0;A
2021;TOTAL;2253;53855;F;HAB;440.0;A
2021;TOTAL;2253;53933;_T;HAB;984.0;A
2021;TOTAL;2253;53933;M;HAB;492.0;A
2021;TOTAL;2253;53933;F;HAB;492.0;A
2021;TOTAL;2253;54155;_T;HAB;7434.0;A
2021;TOTAL;2253;54155;M;HAB;3382.0;A
2021;TOTAL;2253;54155;F;HAB;4052.0;A
2021;TOTAL;2253;54236;_T;HAB;251.0;A
2021;TOTAL;2253;54236;M;HAB;125.0;A
2021;TOTAL;2253;54236;F;HAB;126.0;A
2021;TOTAL;2253;54344;_T;HAB;2411.0;A
2021;TOTAL;2253;54344;M;HAB;1094.0;A
2021;TOTAL;2253;54344;F;HAB;1317.0;A
2021;TOTAL;2253;54452;_T;HAB;1284.0;A
2021;TOTAL;2253;54452;M;HAB;613.0;A
2021;TOTAL;2253;54452;F;HAB;671.0;A
2021;TOTAL;2253;54559;_T;HAB;984.0;A
2021;TOTAL;2253;54559;M;HAB;508.0;A
2021;TOTAL;2253;54559;F;HAB;476.0;A
2021;TOTAL;2253;54565;_T;HAB;15436.0;A
2021;TOTAL;2253;54565;M;HAB;7311.0;A
