SEXO;GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
F;Y16-24;2019;5733;ES61;PC;4.3303528867940235;A
F;Y16-24;2018;5732;ES61;PC;14.579907660557339;A
F;Y16-24;2018;5733;ES61;PC;5.488265356694203;A
F;Y16-24;2017;5732;ES61;PC;14.655834884602434;A
F;Y16-24;2017;5733;ES61;PC;5.1168528209610065;A
F;Y16-24;2016;5732;ES61;PC;14.765302819459581;A
F;Y16-24;2016;5733;ES61;PC;5.098153663773372;A
F;Y16-24;2015;5732;ES61;PC;14.979704256206624;A
F;Y16-24;2015;5733;ES61;PC;4.0386615390562675;A
F;Y16-24;2014;5732;ES61;PC;15.120258111677968;A
F;Y16-24;2014;5733;ES61;PC;4.8164687896723635;A
F;Y25-44;2020;5732;ES61;PC;41.74549838640637;A
F;Y25-44;2020;5733;ES61;PC;24.78549605338746;A
F;Y25-44;2019;5732;ES61;PC;42.70359143586499;A
F;Y25-44;2019;5733;ES61;PC;23.656015989848093;A
F;Y25-44;2018;5732;ES61;PC;43.49385774463812;A
F;Y25-44;2018;5733;ES61;PC;23.946609605522966;A
F;Y25-44;2017;5732;ES61;PC;44.29284231842263;A
F;Y25-44;2017;5733;ES61;PC;22.758145316484345;A
F;Y25-44;2016;5732;ES61;PC;44.9037635229371;A
F;Y25-44;2016;5733;ES61;PC;25.348403897782667;A
F;Y25-44;2015;5732;ES61;PC;45.57375743590405;A
F;Y25-44;2015;5733;ES61;PC;27.465908583378827;A
F;Y25-44;2014;5732;ES61;PC;46.296343427046494;A
F;Y25-44;2014;5733;ES61;PC;26.412305524332236;A
F;Y45-64;2020;5732;ES61;PC;43.45777779098367;A
F;Y45-64;2020;5733;ES61;PC;70.32704947261912;A
F;Y45-64;2019;5732;ES61;PC;42.60261872757998;A
F;Y45-64;2019;5733;ES61;PC;72.01363112335788;A
F;Y45-64;2018;5732;ES61;PC;41.926234594804534;A
F;Y45-64;2018;5733;ES61;PC;70.56512503778282;A
F;Y45-64;2017;5732;ES61;PC;41.05132279697492;A
F;Y45-64;2017;5733;ES61;PC;72.12500186255465;A
F;Y45-64;2016;5732;ES61;PC;40.33093365760331;A
F;Y45-64;2016;5733;ES61;PC;69.55344243844395;A
F;Y45-64;2015;5732;ES61;PC;39.44653830788933;A
F;Y45-64;2015;5733;ES61;PC;68.4954298775649;A
F;Y45-64;2014;5732;ES61;PC;38.58339846127555;A
F;Y45-64;2014;5733;ES61;PC;68.7712256859954;A
F;TOTAL;2020;5732;ES61;PC;100.0;A
F;TOTAL;2020;5733;ES61;PC;100.0;A
F;TOTAL;2019;5732;ES61;PC;100.0;A
F;TOTAL;2019;5733;ES61;PC;100.0;A
F;TOTAL;2018;5732;ES61;PC;100.0;A
F;TOTAL;2018;5733;ES61;PC;100.0;A
F;TOTAL;2017;5732;ES61;PC;100.0;A
F;TOTAL;2017;5733;ES61;PC;100.0;A
F;TOTAL;2016;5732;ES61;PC;100.0;A
F;TOTAL;2016;5733;ES61;PC;100.0;A
F;TOTAL;2015;5732;ES61;PC;100.0;A
F;TOTAL;2015;5733;ES61;PC;100.0;A
F;TOTAL;2014;5732;ES61;PC;100.0;A
F;TOTAL;2014;5733;ES61;PC;100.0;A
_T;Y16-24;2020;5732;ES61;PC;15.308260104271021;A
_T;Y16-24;2020;5733;ES61;PC;5.579848980148236;A
_T;Y16-24;2019;5732;ES61;PC;15.16470173679047;A
_T;Y16-24;2019;5733;ES61;PC;5.359336766925527;A
_T;Y16-24;2018;5732;ES61;PC;15.110555055988414;A
_T;Y16-24;2018;5733;ES61;PC;5.294653281145164;A
_T;Y16-24;2017;5732;ES61;PC;15.144621046336207;A
_T;Y16-24;2017;5733;ES61;PC;5.039980024956508;A
_T;Y16-24;2016;5732;ES61;PC;15.250290838025945;A
_T;Y16-24;2016;5733;ES61;PC;4.953747629449141;A
_T;Y16-24;2015;5732;ES61;PC;15.388125510401265;A
_T;Y16-24;2015;5733;ES61;PC;4.927285839184002;A
_T;Y16-24;2014;5732;ES61;PC;15.559649185734257;A
_T;Y16-24;2014;5733;ES61;PC;4.794266334838771;A
_T;Y25-44;2020;5732;ES61;PC;42.205765979915135;A
_T;Y25-44;2020;5733;ES61;PC;22.89409177785034;A
_T;Y25-44;2019;5732;ES61;PC;43.071690977671004;A
_T;Y25-44;2019;5733;ES61;PC;23.627760515751756;A
_T;Y25-44;2018;5732;ES61;PC;43.81171496046462;A
_T;Y25-44;2018;5733;ES61;PC;24.901849212005633;A
_T;Y25-44;2017;5732;ES61;PC;44.54913876730877;A
_T;Y25-44;2017;5733;ES61;PC;24.861289739793726;A
_T;Y25-44;2016;5732;ES61;PC;45.33115641659458;A
_T;Y25-44;2016;5733;ES61;PC;25.258179024011497;A
_T;Y25-44;2015;5732;ES61;PC;46.11904185543344;A
_T;Y25-44;2015;5733;ES61;PC;26.032102011418974;A
_T;Y25-44;2014;5732;ES61;PC;46.75177123556533;A
_T;Y25-44;2014;5733;ES61;PC;27.024566410976615;A
_T;Y45-64;2020;5732;ES61;PC;42.485973915813844;A
_T;Y45-64;2020;5733;ES61;PC;71.52605924200142;A
_T;Y45-64;2019;5732;ES61;PC;41.76360728553853;A
_T;Y45-64;2019;5733;ES61;PC;71.01290271732272;A
_T;Y45-64;2018;5732;ES61;PC;41.07772998354696;A
_T;Y45-64;2018;5733;ES61;PC;69.8034975068492;A
_T;Y45-64;2017;5732;ES61;PC;40.30624018635503;A
_T;Y45-64;2017;5733;ES61;PC;70.09873023524976;A
_T;Y45-64;2016;5732;ES61;PC;39.41855274537948;A
_T;Y45-64;2016;5733;ES61;PC;69.78807334653936;A
_T;Y45-64;2015;5732;ES61;PC;38.49283263416529;A
_T;Y45-64;2015;5733;ES61;PC;69.04061214939703;A
_T;Y45-64;2014;5732;ES61;PC;37.68857957870043;A
_T;Y45-64;2014;5733;ES61;PC;68.18116725418461;A
_T;TOTAL;2020;5732;ES61;PC;100.0;A
_T;TOTAL;2020;5733;ES61;PC;100.0;A
_T;TOTAL;2019;5732;ES61;PC;100.0;A
_T;TOTAL;2019;5733;ES61;PC;100.0;A
_T;TOTAL;2018;5732;ES61;PC;100.0;A
_T;TOTAL;2018;5733;ES61;PC;100.0;A
_T;TOTAL;2017;5732;ES61;PC;100.0;A
_T;TOTAL;2017;5733;ES61;PC;100.0;A
_T;TOTAL;2016;5732;ES61;PC;100.0;A
_T;TOTAL;2016;5733;ES61;PC;100.0;A
_T;TOTAL;2015;5732;ES61;PC;100.0;A
_T;TOTAL;2015;5733;ES61;PC;100.0;A
_T;TOTAL;2014;5732;ES61;PC;100.0;A
_T;TOTAL;2014;5733;ES61;PC;100.0;A
