SEXO;SITUACIONDEPEND;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
_T;38403;2020;5732;ES61;PC;0.051905244492038;A
_T;38403;2020;5733;ES61;PC;19.891115307681314;A
_T;38403;2019;5732;ES61;PC;0.09752430527818241;A
_T;38403;2019;5733;ES61;PC;18.72002309547724;A
_T;38403;2018;5732;ES61;PC;0.03125047969243767;A
_T;38403;2018;5733;ES61;PC;18.083671027520165;A
_T;38403;2017;5732;ES61;PC;0.05331317992308933;A
_T;38403;2017;5733;ES61;PC;16.6567867835456;A
_T;38403;2016;5732;ES61;PC;0.05497492393150566;A
_T;38403;2016;5733;ES61;PC;17.157032003285146;A
_T;38403;2015;5732;ES61;PC;0.06573789651206013;A
_T;38403;2015;5733;ES61;PC;15.26352931125762;A
_T;38403;2014;5732;ES61;PC;0.06258804989180616;A
_T;38403;2014;5733;ES61;PC;17.409019780758765;A
_T;38402;2020;5732;ES61;PC;99.94809475550797;A
_T;38402;2020;5733;ES61;PC;80.1088846923187;A
_T;38402;2019;5732;ES61;PC;99.90247569472182;A
_T;38402;2019;5733;ES61;PC;81.27997690452275;A
_T;38402;2018;5732;ES61;PC;99.96874952030757;A
_T;38402;2018;5733;ES61;PC;81.91632897247983;A
_T;38402;2017;5732;ES61;PC;99.94668682007692;A
_T;38402;2017;5733;ES61;PC;83.3432132164544;A
_T;38402;2016;5732;ES61;PC;99.94502507606849;A
_T;38402;2016;5733;ES61;PC;82.84296799671486;A
_T;38402;2015;5732;ES61;PC;99.93426210348795;A
_T;38402;2015;5733;ES61;PC;84.73647068874239;A
_T;38402;2014;5732;ES61;PC;99.9374119501082;A
_T;38402;2014;5733;ES61;PC;82.59098021924123;A
_T;38404;2020;5732;ES61;PC;100.0;A
_T;38404;2020;5733;ES61;PC;100.0;A
_T;38404;2019;5732;ES61;PC;100.0;A
_T;38404;2019;5733;ES61;PC;100.0;A
_T;38404;2018;5732;ES61;PC;100.0;A
_T;38404;2018;5733;ES61;PC;100.0;A
_T;38404;2017;5732;ES61;PC;100.0;A
_T;38404;2017;5733;ES61;PC;100.0;A
_T;38404;2016;5732;ES61;PC;100.0;A
_T;38404;2016;5733;ES61;PC;100.0;A
_T;38404;2015;5732;ES61;PC;100.0;A
_T;38404;2015;5733;ES61;PC;100.0;A
_T;38404;2014;5732;ES61;PC;100.0;A
_T;38404;2014;5733;ES61;PC;100.0;A
