SEXO;RELACTIVIDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ
_T;5865;2019;5732;ES61;PC;58.37338531081369;A
_T;5865;2019;5733;ES61;PC;21.22302563871995;A
_T;5865;2018;5732;ES61;PC;57.118738099620415;A
_T;5865;2018;5733;ES61;PC;19.74489074889212;A
_T;5865;2017;5732;ES61;PC;55.38872462973225;A
_T;5865;2017;5733;ES61;PC;20.112429741067288;A
_T;5865;2016;5732;ES61;PC;53.17911412094119;A
_T;5865;2016;5733;ES61;PC;19.045744555947323;A
_T;5865;2015;5732;ES61;PC;51.63961288259635;A
_T;5865;2015;5733;ES61;PC;19.058414166720446;A
_T;5865;2014;5732;ES61;PC;49.14258718423085;A
_T;5865;2014;5733;ES61;PC;16.24555034135352;A
_T;5869;2020;5732;ES61;PC;16.061275079742792;A
_T;5869;2020;5733;ES61;PC;8.358979844098;A
_T;5869;2019;5732;ES61;PC;15.532596257274397;A
_T;5869;2019;5733;ES61;PC;9.002247593267295;A
_T;5869;2018;5732;ES61;PC;16.833598045200073;A
_T;5869;2018;5733;ES61;PC;9.99702595100475;A
_T;5869;2017;5732;ES61;PC;18.87277525929944;A
_T;5869;2017;5733;ES61;PC;10.238835021233815;A
_T;5869;2016;5732;ES61;PC;21.479214005928394;A
_T;5869;2016;5733;ES61;PC;11.439583043354826;A
_T;5869;2015;5732;ES61;PC;23.7612019181482;A
_T;5869;2015;5733;ES61;PC;11.55335123542078;A
_T;5869;2014;5732;ES61;PC;26.123208502499008;A
_T;5869;2014;5733;ES61;PC;12.448952351476263;A
_T;5882;2020;5732;ES61;PC;27.839300557273212;A
_T;5882;2020;5733;ES61;PC;71.44360087752844;A
_T;5882;2019;5732;ES61;PC;26.094018431911927;A
_T;5882;2019;5733;ES61;PC;69.77472676801277;A
_T;5882;2018;5732;ES61;PC;26.047663855179508;A
_T;5882;2018;5733;ES61;PC;70.25808330010314;A
_T;5882;2017;5732;ES61;PC;25.738500110968303;A
_T;5882;2017;5733;ES61;PC;69.6487352376989;A
_T;5882;2016;5732;ES61;PC;25.341671873130412;A
_T;5882;2016;5733;ES61;PC;69.51467240069785;A
_T;5882;2015;5732;ES61;PC;24.599185199255448;A
_T;5882;2015;5733;ES61;PC;69.38823459785877;A
_T;5882;2014;5732;ES61;PC;24.73420431327015;A
_T;5882;2014;5733;ES61;PC;71.30549730717021;A
_T;5883;2020;5732;ES61;PC;100.0;A
_T;5883;2020;5733;ES61;PC;100.0;A
