TEMPORAL;TERRITORIO;ECOICOP;INDICATOR;OBS_VALUE;FREQ;IPC_RUBRICAS;IPC_GRUPOSESPECIALES
2021-02;ES616;CP03;INX;93.665;M;_Z;_Z
2021-02;ES616;CP04;INX;100.824;M;_Z;_Z
2021-02;ES616;CP05;INX;99.557;M;_Z;_Z
2021-02;ES616;CP06;INX;100.814;M;_Z;_Z
2021-02;ES616;CP07;INX;108.477;M;_Z;_Z
2021-02;ES616;CP08;INX;101.294;M;_Z;_Z
2021-02;ES616;CP09;INX;95.402;M;_Z;_Z
2021-02;ES616;CP10;INX;103.323;M;_Z;_Z
2021-02;ES616;CP11;INX;104.478;M;_Z;_Z
2021-02;ES616;CP12;INX;101.758;M;_Z;_Z
2021-02;ES617;CP01T12;INX;104.896;M;_Z;_Z
2021-02;ES617;CP01;INX;108.075;M;_Z;_Z
2021-02;ES617;CP02;INX;104.431;M;_Z;_Z
2021-02;ES617;CP03;INX;93.382;M;_Z;_Z
2021-02;ES617;CP04;INX;101.441;M;_Z;_Z
2021-02;ES617;CP05;INX;100.769;M;_Z;_Z
2021-02;ES617;CP06;INX;103.298;M;_Z;_Z
2021-02;ES617;CP07;INX;108.241;M;_Z;_Z
2021-02;ES617;CP08;INX;101.619;M;_Z;_Z
2021-02;ES617;CP09;INX;101.766;M;_Z;_Z
2021-02;ES617;CP10;INX;107.619;M;_Z;_Z
2021-02;ES617;CP11;INX;108.23;M;_Z;_Z
2021-02;ES617;CP12;INX;105.4;M;_Z;_Z
2021-02;ES618;CP01T12;INX;103.547;M;_Z;_Z
2021-02;ES618;CP01;INX;105.793;M;_Z;_Z
2021-02;ES618;CP02;INX;103.224;M;_Z;_Z
2021-02;ES618;CP03;INX;94.694;M;_Z;_Z
2021-02;ES618;CP04;INX;101.286;M;_Z;_Z
2021-02;ES618;CP05;INX;99.782;M;_Z;_Z
2021-02;ES618;CP06;INX;101.107;M;_Z;_Z
2021-02;ES618;CP07;INX;107.577;M;_Z;_Z
2021-02;ES618;CP08;INX;99.094;M;_Z;_Z
2021-02;ES618;CP09;INX;98.109;M;_Z;_Z
2021-02;ES618;CP10;INX;105.899;M;_Z;_Z
2021-02;ES618;CP11;INX;107.044;M;_Z;_Z
2021-02;ES618;CP12;INX;104.491;M;_Z;_Z
2021-03;ES;CP01T12;INX;105.07;M;_Z;_Z
2021-03;ES;CP01;INX;107.276;M;_Z;_Z
2021-03;ES;CP02;INX;104.91;M;_Z;_Z
2021-03;ES;CP03;INX;98.61;M;_Z;_Z
2021-03;ES;CP04;INX;104.849;M;_Z;_Z
2021-03;ES;CP05;INX;101.082;M;_Z;_Z
2021-03;ES;CP06;INX;102.638;M;_Z;_Z
2021-03;ES;CP07;INX;110.196;M;_Z;_Z
2021-03;ES;CP08;INX;100.122;M;_Z;_Z
2021-03;ES;CP09;INX;99.507;M;_Z;_Z
2021-03;ES;CP10;INX;103.105;M;_Z;_Z
2021-03;ES;CP11;INX;106.772;M;_Z;_Z
2021-03;ES;CP12;INX;105.276;M;_Z;_Z
2021-03;ES61;CP01T12;INX;104.892;M;_Z;_Z
2021-03;ES61;CP01;INX;106.882;M;_Z;_Z
2021-03;ES61;CP02;INX;103.676;M;_Z;_Z
2021-03;ES61;CP03;INX;98.727;M;_Z;_Z
2021-03;ES61;CP04;INX;105.185;M;_Z;_Z
2021-03;ES61;CP05;INX;99.776;M;_Z;_Z
2021-03;ES61;CP06;INX;102.32;M;_Z;_Z
2021-03;ES61;CP07;INX;110.087;M;_Z;_Z
2021-03;ES61;CP08;INX;100.249;M;_Z;_Z
2021-03;ES61;CP09;INX;98.763;M;_Z;_Z
2021-03;ES61;CP10;INX;105.551;M;_Z;_Z
2021-03;ES61;CP11;INX;106.568;M;_Z;_Z
2021-03;ES61;CP12;INX;103.938;M;_Z;_Z
2021-03;ES611;CP01T12;INX;105.392;M;_Z;_Z
2021-03;ES611;CP01;INX;109.07;M;_Z;_Z
2021-03;ES611;CP02;INX;105.151;M;_Z;_Z
2021-03;ES611;CP03;INX;98.826;M;_Z;_Z
2021-03;ES611;CP04;INX;105.953;M;_Z;_Z
2021-03;ES611;CP05;INX;100.336;M;_Z;_Z
2021-03;ES611;CP06;INX;102.571;M;_Z;_Z
2021-03;ES611;CP07;INX;111.219;M;_Z;_Z
2021-03;ES611;CP08;INX;102.035;M;_Z;_Z
2021-03;ES611;CP09;INX;98.308;M;_Z;_Z
2021-03;ES611;CP10;INX;102.402;M;_Z;_Z
2021-03;ES611;CP11;INX;103.18;M;_Z;_Z
2021-03;ES611;CP12;INX;103.792;M;_Z;_Z
2021-03;ES612;CP01T12;INX;103.768;M;_Z;_Z
2021-03;ES612;CP01;INX;104.932;M;_Z;_Z
2021-03;ES612;CP02;INX;103.386;M;_Z;_Z
2021-03;ES612;CP03;INX;98.966;M;_Z;_Z
2021-03;ES612;CP04;INX;104.408;M;_Z;_Z
2021-03;ES612;CP05;INX;96.845;M;_Z;_Z
2021-03;ES612;CP06;INX;100.915;M;_Z;_Z
2021-03;ES612;CP07;INX;110.626;M;_Z;_Z
2021-03;ES612;CP08;INX;98.604;M;_Z;_Z
2021-03;ES612;CP09;INX;97.439;M;_Z;_Z
2021-03;ES612;CP10;INX;104.233;M;_Z;_Z
2021-03;ES612;CP11;INX;105.54;M;_Z;_Z
2021-03;ES612;CP12;INX;103.171;M;_Z;_Z
2021-03;ES613;CP01T12;INX;104.838;M;_Z;_Z
2021-03;ES613;CP01;INX;106.822;M;_Z;_Z
2021-03;ES613;CP02;INX;102.575;M;_Z;_Z
2021-03;ES613;CP03;INX;97.44;M;_Z;_Z
2021-03;ES613;CP04;INX;105.001;M;_Z;_Z
2021-03;ES613;CP05;INX;98.219;M;_Z;_Z
2021-03;ES613;CP06;INX;104.803;M;_Z;_Z
2021-03;ES613;CP07;INX;109.883;M;_Z;_Z
2021-03;ES613;CP08;INX;99.961;M;_Z;_Z
2021-03;ES613;CP09;INX;101.391;M;_Z;_Z
2021-03;ES613;CP10;INX;104.284;M;_Z;_Z
2021-03;ES613;CP11;INX;104.97;M;_Z;_Z
2021-03;ES613;CP12;INX;103.942;M;_Z;_Z
2021-03;ES614;CP01T12;INX;104.861;M;_Z;_Z
2021-03;ES614;CP01;INX;107.087;M;_Z;_Z
2021-03;ES614;CP02;INX;103.21;M;_Z;_Z
2021-03;ES614;CP03;INX;100.033;M;_Z;_Z
2021-03;ES614;CP04;INX;104.951;M;_Z;_Z
2021-03;ES614;CP05;INX;100.916;M;_Z;_Z
2021-03;ES614;CP06;INX;101.594;M;_Z;_Z
2021-03;ES614;CP07;INX;108.897;M;_Z;_Z
2021-03;ES614;CP08;INX;100.757;M;_Z;_Z
2021-03;ES614;CP09;INX;98.107;M;_Z;_Z
2021-03;ES614;CP10;INX;107.668;M;_Z;_Z
2021-03;ES614;CP11;INX;107.752;M;_Z;_Z
2021-03;ES614;CP12;INX;104.479;M;_Z;_Z
2021-03;ES615;CP01T12;INX;104.453;M;_Z;_Z
2021-03;ES615;CP01;INX;105.297;M;_Z;_Z
2021-03;ES615;CP02;INX;103.646;M;_Z;_Z
2021-03;ES615;CP03;INX;99.564;M;_Z;_Z
2021-03;ES615;CP04;INX;105.4;M;_Z;_Z
2021-03;ES615;CP05;INX;99.091;M;_Z;_Z
2021-03;ES615;CP06;INX;103.192;M;_Z;_Z
2021-03;ES615;CP07;INX;109.884;M;_Z;_Z
2021-03;ES615;CP08;INX;100.873;M;_Z;_Z
2021-03;ES615;CP09;INX;96.714;M;_Z;_Z
2021-03;ES615;CP10;INX;104.079;M;_Z;_Z
2021-03;ES615;CP11;INX;107.555;M;_Z;_Z
2021-03;ES615;CP12;INX;100.337;M;_Z;_Z
2021-03;ES616;CP01T12;INX;104.534;M;_Z;_Z
2021-03;ES616;CP01;INX;108.492;M;_Z;_Z
2021-03;ES616;CP02;INX;104.127;M;_Z;_Z
2021-03;ES616;CP03;INX;96.998;M;_Z;_Z
2021-03;ES616;CP04;INX;105.312;M;_Z;_Z
2021-03;ES616;CP05;INX;99.573;M;_Z;_Z
2021-03;ES616;CP06;INX;101.647;M;_Z;_Z
2021-03;ES616;CP07;INX;110.861;M;_Z;_Z
2021-03;ES616;CP08;INX;101.155;M;_Z;_Z
2021-03;ES616;CP09;INX;95.318;M;_Z;_Z
2021-03;ES616;CP10;INX;103.323;M;_Z;_Z
2021-03;ES616;CP11;INX;104.884;M;_Z;_Z
2021-03;ES616;CP12;INX;101.693;M;_Z;_Z
2021-03;ES617;CP01T12;INX;106.054;M;_Z;_Z
2021-03;ES617;CP01;INX;108.083;M;_Z;_Z
2021-03;ES617;CP02;INX;104.524;M;_Z;_Z
2021-03;ES617;CP03;INX;98.741;M;_Z;_Z
2021-03;ES617;CP04;INX;105.139;M;_Z;_Z
2021-03;ES617;CP05;INX;101.146;M;_Z;_Z
2021-03;ES617;CP06;INX;103.308;M;_Z;_Z
2021-03;ES617;CP07;INX;110.4;M;_Z;_Z
2021-03;ES617;CP08;INX;101.496;M;_Z;_Z
2021-03;ES617;CP09;INX;101.953;M;_Z;_Z
2021-03;ES617;CP10;INX;107.619;M;_Z;_Z
2021-03;ES617;CP11;INX;108.435;M;_Z;_Z
2021-03;ES617;CP12;INX;105.498;M;_Z;_Z
2021-03;ES618;CP01T12;INX;104.647;M;_Z;_Z
2021-03;ES618;CP01;INX;106.062;M;_Z;_Z
2021-03;ES618;CP02;INX;103.078;M;_Z;_Z
2021-03;ES618;CP03;INX;98.822;M;_Z;_Z
2021-03;ES618;CP04;INX;105.448;M;_Z;_Z
2021-03;ES618;CP05;INX;100.35;M;_Z;_Z
2021-03;ES618;CP06;INX;101.536;M;_Z;_Z
2021-03;ES618;CP07;INX;109.639;M;_Z;_Z
2021-03;ES618;CP08;INX;98.883;M;_Z;_Z
2021-03;ES618;CP09;INX;98.205;M;_Z;_Z
2021-03;ES618;CP10;INX;105.956;M;_Z;_Z
2021-03;ES618;CP11;INX;107.178;M;_Z;_Z
2021-03;ES618;CP12;INX;104.408;M;_Z;_Z
2021-04;ES;CP01T12;INX;106.311;M;_Z;_Z
2021-04;ES;CP01;INX;107.596;M;_Z;_Z
2021-04;ES;CP02;INX;104.914;M;_Z;_Z
2021-04;ES;CP03;INX;108.794;M;_Z;_Z
2021-04;ES;CP04;INX;108.41;M;_Z;_Z
2021-04;ES;CP05;INX;101.407;M;_Z;_Z
2021-04;ES;CP06;INX;102.678;M;_Z;_Z
2021-04;ES;CP07;INX;110.265;M;_Z;_Z
2021-04;ES;CP08;INX;100.232;M;_Z;_Z
2021-04;ES;CP09;INX;99.344;M;_Z;_Z
2021-04;ES;CP10;INX;103.13;M;_Z;_Z
2021-04;ES;CP11;INX;107.077;M;_Z;_Z
2021-04;ES;CP12;INX;105.473;M;_Z;_Z
2021-04;ES61;CP01T12;INX;106.26;M;_Z;_Z
2021-04;ES61;CP01;INX;107.326;M;_Z;_Z
2021-04;ES61;CP02;INX;103.594;M;_Z;_Z
2021-04;ES61;CP03;INX;109.189;M;_Z;_Z
2021-04;ES61;CP04;INX;109.645;M;_Z;_Z
2021-04;ES61;CP05;INX;100.048;M;_Z;_Z
2021-04;ES61;CP06;INX;102.445;M;_Z;_Z
2021-04;ES61;CP07;INX;110.051;M;_Z;_Z
2021-04;ES61;CP08;INX;100.36;M;_Z;_Z
2021-04;ES61;CP09;INX;98.561;M;_Z;_Z
2021-04;ES61;CP10;INX;105.551;M;_Z;_Z
2021-04;ES61;CP11;INX;106.919;M;_Z;_Z
2021-04;ES61;CP12;INX;104.228;M;_Z;_Z
2021-04;ES611;CP01T12;INX;106.594;M;_Z;_Z
2021-04;ES611;CP01;INX;109.231;M;_Z;_Z
2021-04;ES611;CP02;INX;104.933;M;_Z;_Z
2021-04;ES611;CP03;INX;109.854;M;_Z;_Z
2021-04;ES611;CP04;INX;109.697;M;_Z;_Z
2021-04;ES611;CP05;INX;100.33;M;_Z;_Z
2021-04;ES611;CP06;INX;102.253;M;_Z;_Z
2021-04;ES611;CP07;INX;111.166;M;_Z;_Z
2021-04;ES611;CP08;INX;102.164;M;_Z;_Z
2021-04;ES611;CP09;INX;98.222;M;_Z;_Z
2021-04;ES611;CP10;INX;102.402;M;_Z;_Z
2021-04;ES611;CP11;INX;103.517;M;_Z;_Z
2021-04;ES611;CP12;INX;103.288;M;_Z;_Z
2021-04;ES612;CP01T12;INX;105.284;M;_Z;_Z
2021-04;ES612;CP01;INX;105.89;M;_Z;_Z
2021-04;ES612;CP02;INX;103.017;M;_Z;_Z
2021-04;ES612;CP03;INX;110.491;M;_Z;_Z
2021-04;ES612;CP04;INX;108.419;M;_Z;_Z
2021-04;ES612;CP05;INX;97.191;M;_Z;_Z
2021-04;ES612;CP06;INX;101.186;M;_Z;_Z
2021-04;ES612;CP07;INX;110.81;M;_Z;_Z
2021-04;ES612;CP08;INX;98.697;M;_Z;_Z
2021-04;ES612;CP09;INX;97.398;M;_Z;_Z
2021-04;ES612;CP10;INX;104.233;M;_Z;_Z
2021-04;ES612;CP11;INX;105.968;M;_Z;_Z
2021-04;ES612;CP12;INX;103.184;M;_Z;_Z
2021-04;ES613;CP01T12;INX;106.582;M;_Z;_Z
2021-04;ES613;CP01;INX;107.524;M;_Z;_Z
2021-04;ES613;CP02;INX;102.91;M;_Z;_Z
2021-04;ES613;CP03;INX;109.857;M;_Z;_Z
2021-04;ES613;CP04;INX;109.835;M;_Z;_Z
2021-04;ES613;CP05;INX;98.709;M;_Z;_Z
2021-04;ES613;CP06;INX;105.578;M;_Z;_Z
2021-04;ES613;CP07;INX;109.789;M;_Z;_Z
2021-04;ES613;CP08;INX;100.069;M;_Z;_Z
2021-04;ES613;CP09;INX;101.802;M;_Z;_Z
2021-04;ES613;CP10;INX;104.284;M;_Z;_Z
2021-04;ES613;CP11;INX;105.315;M;_Z;_Z
2021-04;ES613;CP12;INX;104.467;M;_Z;_Z
2021-04;ES614;CP01T12;INX;106.221;M;_Z;_Z
