SITUAC_PROFES,TIME_PERIOD,CERTIFIC_DISCAPAC,REF_AREA,RELACTIVIDAD,INDICATOR,OBS_VALUE,FREQ,SEXO,EDAD,ESTADO_CIVIL,NIVEL_ESTUDIOS_TER,PERCEP_PRES_INVAL,SITUACION_DEPEND,COMP_HOG_ACTIVIDAD,PRESENC_DISCAPAC,AMBITO_ESTUD_HOG
5946,2015,5732,ES61,5865,PC,18.023867529179647,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2015,5733,ES61,5865,PC,10.694718281728433,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2014,5732,ES61,5865,PC,18.750229939463196,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5946,2014,5733,ES61,5865,PC,12.356359683402033,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2020,5732,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2020,5733,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2019,5732,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2019,5733,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2018,5732,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2018,5733,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2017,5732,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2017,5733,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2016,5732,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2016,5733,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2015,5732,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2015,5733,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2014,5732,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
5948,2014,5733,ES61,5865,PC,100.0,A,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z,_Z
