SEXO;EPD_GRUPOSEDAD;TEMPORAL;CERTIFICDISCAPAC;TERRITORIO;INDICATOR;OBS_VALUE;FREQ;ESTADOCIVIL;EPD_NIVELESTUDIOSTER;EPD_RELACTIVIDAD;EPD_SITUACPROFES;EPD_PERCEPPRESINVAL;EPD_SITUACIONDEPEND;EPD_COMPHOGACTIVIDAD;EPD_PRESENCDISCAPAC;EPD_AMBITOESTUDHOG
F;Y45-64;2016;5733;ES61;POP;106151.77036;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2015;5732;ES61;POP;1031038.1283500001;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2015;5733;ES61;POP;97657.37171;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2014;5732;ES61;POP;1011772.43105;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;Y45-64;2014;5733;ES61;POP;93465.81911;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2020;5732;ES61;POP;2619383.35882;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2020;5733;ES61;POP;158294.64113;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2019;5732;ES61;POP;2602959.67558;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2019;5733;ES61;POP;160514.07522;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2018;5732;ES61;POP;2590051.26419;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2018;5733;ES61;POP;159670.98583000002;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2017;5732;ES61;POP;2589942.31423;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2017;5733;ES61;POP;156122.9361;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2016;5732;ES61;POP;2597538.9974700003;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2016;5733;ES61;POP;152619.00294;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2015;5732;ES61;POP;2613760.73181;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2015;5733;ES61;POP;142575.01834;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2014;5732;ES61;POP;2622299.93054;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
F;TOTAL;2014;5733;ES61;POP;135908.32238;A;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z;_Z
