TEMPORAL;TERRITORIO;SEXO;PCSSA_JUBVIUDEDAD;INDICATOR;OBS_VALUE;FREQ
2019;2339;M;212544;NUM_PEN_PERS;180.0;A
2019;2339;F;212544;NUM_PEN_PERS;80.0;A
2019;2340;_T;212544;NUM_PEN_PERS;803.0;A
2019;2340;M;212544;NUM_PEN_PERS;550.0;A
2019;2340;F;212544;NUM_PEN_PERS;253.0;A
2019;2341;_T;212544;NUM_PEN_PERS;845.0;A
2019;2341;M;212544;NUM_PEN_PERS;583.0;A
2019;2341;F;212544;NUM_PEN_PERS;262.0;A
2019;2342;_T;212544;NUM_PEN_PERS;309.0;A
2019;2342;M;212544;NUM_PEN_PERS;246.0;A
2019;2342;F;212544;NUM_PEN_PERS;63.0;A
2019;2343;_T;212544;NUM_PEN_PERS;1340.0;A
2019;2343;M;212544;NUM_PEN_PERS;938.0;A
2019;2343;F;212544;NUM_PEN_PERS;402.0;A
2019;2344;_T;212544;NUM_PEN_PERS;247.0;A
2019;2344;M;212544;NUM_PEN_PERS;162.0;A
2019;2344;F;212544;NUM_PEN_PERS;85.0;A
2019;ES612;_T;212544;NUM_PEN_PERS;103710.0;A
2019;ES612;M;212544;NUM_PEN_PERS;81265.0;A
2019;ES612;F;212544;NUM_PEN_PERS;22445.0;A
2019;2353;_T;212544;NUM_PEN_PERS;431.0;A
2019;2353;M;212544;NUM_PEN_PERS;368.0;A
2019;2353;F;212544;NUM_PEN_PERS;63.0;A
2019;2354;_T;212544;NUM_PEN_PERS;628.0;A
2019;2354;M;212544;NUM_PEN_PERS;371.0;A
2019;2354;F;212544;NUM_PEN_PERS;257.0;A
2019;2355;_T;212544;NUM_PEN_PERS;155.0;A
2019;2355;M;212544;NUM_PEN_PERS;128.0;A
2019;2355;F;212544;NUM_PEN_PERS;27.0;A
2019;2356;_T;212544;NUM_PEN_PERS;9291.0;A
2019;2356;M;212544;NUM_PEN_PERS;7550.0;A
2019;2356;F;212544;NUM_PEN_PERS;1741.0;A
2019;2357;_T;212544;NUM_PEN_PERS;646.0;A
2019;2357;M;212544;NUM_PEN_PERS;450.0;A
2019;2357;F;212544;NUM_PEN_PERS;196.0;A
2019;2358;_T;212544;NUM_PEN_PERS;2729.0;A
2019;2358;M;212544;NUM_PEN_PERS;2042.0;A
2019;2358;F;212544;NUM_PEN_PERS;687.0;A
2019;2359;_T;212544;NUM_PEN_PERS;1828.0;A
2019;2359;M;212544;NUM_PEN_PERS;1610.0;A
