TEMPORAL;TERRITORIO;SEXO;EDAD;INDICATOR;OBS_VALUE;FREQ
2019;2289;F;TOTAL;NUM_PEN;237.0;A
2019;2289;F;Y_LT15;NUM_PEN;38.0;A
2019;2289;F;Y65-100;NUM_PEN;199.0;A
2019;2290;_T;TOTAL;NUM_PEN;1127.0;A
2019;2290;_T;Y_LT15;NUM_PEN;258.0;A
2019;2290;_T;Y65-100;NUM_PEN;869.0;A
2019;2290;M;TOTAL;NUM_PEN;631.0;A
2019;2290;M;Y_LT15;NUM_PEN;144.0;A
2019;2290;M;Y65-100;NUM_PEN;487.0;A
2019;2290;F;TOTAL;NUM_PEN;496.0;A
2019;2290;F;Y_LT15;NUM_PEN;114.0;A
2019;2290;F;Y65-100;NUM_PEN;382.0;A
2019;2291;_T;TOTAL;NUM_PEN;294.0;A
2019;2291;_T;Y_LT15;NUM_PEN;44.0;A
2019;2291;_T;Y65-100;NUM_PEN;250.0;A
2019;2291;M;TOTAL;NUM_PEN;132.0;A
2019;2291;M;Y_LT15;NUM_PEN;25.0;A
2019;2291;M;Y65-100;NUM_PEN;107.0;A
2019;2291;F;TOTAL;NUM_PEN;162.0;A
2019;2291;F;Y_LT15;NUM_PEN;19.0;A
2019;2291;F;Y65-100;NUM_PEN;143.0;A
2019;2292;_T;TOTAL;NUM_PEN;105.0;A
2019;2292;_T;Y_LT15;NUM_PEN;13.0;A
2019;2292;_T;Y65-100;NUM_PEN;92.0;A
2019;2292;M;TOTAL;NUM_PEN;52.0;A
2019;2292;M;Y_LT15;NUM_PEN;8.0;A
2019;2292;M;Y65-100;NUM_PEN;44.0;A
2019;2292;F;TOTAL;NUM_PEN;53.0;A
2019;2292;F;Y_LT15;NUM_PEN;5.0;A
2019;2292;F;Y65-100;NUM_PEN;48.0;A
2019;2293;_T;TOTAL;NUM_PEN;1536.0;A
2019;2293;_T;Y_LT15;NUM_PEN;550.0;A
2019;2293;_T;Y65-100;NUM_PEN;986.0;A
2019;2293;M;TOTAL;NUM_PEN;849.0;A
2019;2293;M;Y_LT15;NUM_PEN;320.0;A
2019;2293;M;Y65-100;NUM_PEN;529.0;A
2019;2293;F;TOTAL;NUM_PEN;687.0;A
2019;2293;F;Y_LT15;NUM_PEN;230.0;A
2019;2293;F;Y65-100;NUM_PEN;457.0;A
2019;2294;_T;TOTAL;NUM_PEN;3253.0;A
2019;2294;_T;Y_LT15;NUM_PEN;508.0;A
2019;2294;_T;Y65-100;NUM_PEN;2745.0;A
2019;2294;M;TOTAL;NUM_PEN;1465.0;A
2019;2294;M;Y_LT15;NUM_PEN;246.0;A
2019;2294;M;Y65-100;NUM_PEN;1219.0;A
2019;2294;F;TOTAL;NUM_PEN;1788.0;A
2019;2294;F;Y_LT15;NUM_PEN;262.0;A
2019;2294;F;Y65-100;NUM_PEN;1526.0;A
2019;2295;_T;TOTAL;NUM_PEN;103.0;A
2019;2295;_T;Y_LT15;NUM_PEN;24.0;A
2019;2295;_T;Y65-100;NUM_PEN;79.0;A
2019;2295;M;TOTAL;NUM_PEN;61.0;A
2019;2295;M;Y_LT15;NUM_PEN;14.0;A
2019;2295;M;Y65-100;NUM_PEN;47.0;A
2019;2295;F;TOTAL;NUM_PEN;42.0;A
2019;2295;F;Y_LT15;NUM_PEN;10.0;A
2019;2295;F;Y65-100;NUM_PEN;32.0;A
2019;2296;_T;TOTAL;NUM_PEN;136.0;A
2019;2296;_T;Y_LT15;NUM_PEN;17.0;A
2019;2296;_T;Y65-100;NUM_PEN;119.0;A
2019;2296;M;TOTAL;NUM_PEN;65.0;A
2019;2296;M;Y_LT15;NUM_PEN;11.0;A
2019;2296;M;Y65-100;NUM_PEN;54.0;A
2019;2296;F;TOTAL;NUM_PEN;71.0;A
2019;2296;F;Y_LT15;NUM_PEN;6.0;A
2019;2296;F;Y65-100;NUM_PEN;65.0;A
2019;2297;_T;TOTAL;NUM_PEN;47.0;A
2019;2297;_T;Y_LT15;NUM_PEN;16.0;A
2019;2297;_T;Y65-100;NUM_PEN;31.0;A
2019;2297;M;TOTAL;NUM_PEN;27.0;A
2019;2297;M;Y_LT15;NUM_PEN;7.0;A
2019;2297;M;Y65-100;NUM_PEN;20.0;A
