TEMPORAL;SEXO;PROCEDENCIA_ECTA;INDICATOR;OBS_VALUE;FREQ;TERRITORIO;TIPO_ALOJAM_ECTA
2008;M;6778;TURISTAS;14.106074112874534;A;_Z;_Z
2008;M;6779;TURISTAS;4.480695967004835;A;_Z;_Z
2008;F;6782;TURISTAS;52.01953876551853;A;_Z;_Z
2008;F;6775;TURISTAS;16.501742706022984;A;_Z;_Z
2008;F;6776;TURISTAS;15.350801492540189;A;_Z;_Z
2008;F;6778;TURISTAS;15.060254032337786;A;_Z;_Z
2008;F;6779;TURISTAS;5.10674053461757;A;_Z;_Z
2009;_T;6782;TURISTAS;100.0;A;_Z;_Z
2009;_T;6775;TURISTAS;33.80490641417987;A;_Z;_Z
2009;_T;6776;TURISTAS;29.417665462630225;A;_Z;_Z
2009;_T;6778;TURISTAS;27.115203590189495;A;_Z;_Z
2009;_T;6779;TURISTAS;9.662224533000431;A;_Z;_Z
2009;M;6782;TURISTAS;48.41598245678204;A;_Z;_Z
2009;M;6775;TURISTAS;16.433917601456653;A;_Z;_Z
2009;M;6776;TURISTAS;14.200124160645759;A;_Z;_Z
2009;M;6778;TURISTAS;13.156312379195665;A;_Z;_Z
2009;M;6779;TURISTAS;4.625628315483967;A;_Z;_Z
2009;F;6782;TURISTAS;51.58401754321795;A;_Z;_Z
2009;F;6775;TURISTAS;17.370988812723205;A;_Z;_Z
2009;F;6776;TURISTAS;15.217541301984458;A;_Z;_Z
2009;F;6778;TURISTAS;13.958891210993823;A;_Z;_Z
2009;F;6779;TURISTAS;5.036596217516462;A;_Z;_Z
2010;_T;6782;TURISTAS;100.0;A;_Z;_Z
2010;_T;6775;TURISTAS;33.13872736164215;A;_Z;_Z
2010;_T;6776;TURISTAS;29.046371254072312;A;_Z;_Z
2010;_T;6778;TURISTAS;26.985355665038618;A;_Z;_Z
2010;_T;6779;TURISTAS;10.829545719246921;A;_Z;_Z
2010;M;6782;TURISTAS;48.59194014026524;A;_Z;_Z
2010;M;6775;TURISTAS;16.168659442887083;A;_Z;_Z
2010;M;6776;TURISTAS;14.286574932670662;A;_Z;_Z
2010;M;6778;TURISTAS;12.965106168635298;A;_Z;_Z
2010;M;6779;TURISTAS;5.1715995960721965;A;_Z;_Z
2010;F;6782;TURISTAS;51.408059859734756;A;_Z;_Z
2010;F;6775;TURISTAS;16.970067918755063;A;_Z;_Z
2010;F;6776;TURISTAS;14.75979632140165;A;_Z;_Z
2010;F;6778;TURISTAS;14.020249496403325;A;_Z;_Z
2010;F;6779;TURISTAS;5.6579461231747255;A;_Z;_Z
2011;_T;6782;TURISTAS;100.0;A;_Z;_Z
2011;_T;6775;TURISTAS;32.59211424808406;A;_Z;_Z
2011;_T;6776;TURISTAS;28.35455403930271;A;_Z;_Z
2011;_T;6778;TURISTAS;28.37719345757102;A;_Z;_Z
2011;_T;6779;TURISTAS;10.6761382550422;A;_Z;_Z
2011;M;6782;TURISTAS;48.00414759418183;A;_Z;_Z
2011;M;6775;TURISTAS;15.969833883859183;A;_Z;_Z
2011;M;6776;TURISTAS;13.400246011604208;A;_Z;_Z
2011;M;6778;TURISTAS;13.68285341630337;A;_Z;_Z
2011;M;6779;TURISTAS;4.951214282415069;A;_Z;_Z
2011;F;6782;TURISTAS;51.99585240581818;A;_Z;_Z
2011;F;6775;TURISTAS;16.622280364224885;A;_Z;_Z
2011;F;6776;TURISTAS;14.954308027698508;A;_Z;_Z
2011;F;6778;TURISTAS;14.694340041267656;A;_Z;_Z
2011;F;6779;TURISTAS;5.724923972627132;A;_Z;_Z
2012;_T;6782;TURISTAS;100.0;A;_Z;_Z
2012;_T;6775;TURISTAS;33.43509694782329;A;_Z;_Z
2012;_T;6776;TURISTAS;30.229299955374124;A;_Z;_Z
2012;_T;6778;TURISTAS;26.579661639879713;A;_Z;_Z
2012;_T;6779;TURISTAS;9.755941456922875;A;_Z;_Z
2012;M;6782;TURISTAS;47.801021590377005;A;_Z;_Z
2012;M;6775;TURISTAS;16.117886337832545;A;_Z;_Z
2012;M;6776;TURISTAS;14.489129703240591;A;_Z;_Z
2012;M;6778;TURISTAS;12.661157146366902;A;_Z;_Z
2012;M;6779;TURISTAS;4.532848402936968;A;_Z;_Z
2012;F;6782;TURISTAS;52.198978409622995;A;_Z;_Z
2012;F;6775;TURISTAS;17.317210609990745;A;_Z;_Z
2012;F;6776;TURISTAS;15.740170252133531;A;_Z;_Z
2012;F;6778;TURISTAS;13.918504493512811;A;_Z;_Z
2012;F;6779;TURISTAS;5.223093053985908;A;_Z;_Z
2013;_T;6782;TURISTAS;100.0;A;_Z;_Z
2013;_T;6775;TURISTAS;33.302135882192175;A;_Z;_Z
2013;_T;6776;TURISTAS;30.039651440960856;A;_Z;_Z
2013;_T;6778;TURISTAS;26.848796383066876;A;_Z;_Z
2013;_T;6779;TURISTAS;9.809416293780098;A;_Z;_Z
2013;M;6782;TURISTAS;47.575740130977415;A;_Z;_Z
2013;M;6775;TURISTAS;15.94923554761411;A;_Z;_Z
2013;M;6776;TURISTAS;14.132101460700191;A;_Z;_Z
2013;M;6778;TURISTAS;12.531286226013275;A;_Z;_Z
2013;M;6779;TURISTAS;4.963116896649832;A;_Z;_Z
2013;F;6782;TURISTAS;52.42425986902259;A;_Z;_Z
2013;F;6775;TURISTAS;17.352900334578063;A;_Z;_Z
2013;F;6776;TURISTAS;15.907549980260663;A;_Z;_Z
2013;F;6778;TURISTAS;14.317510157053597;A;_Z;_Z
2013;F;6779;TURISTAS;4.846299397130265;A;_Z;_Z
2014;_T;6782;TURISTAS;100.0;A;_Z;_Z
2014;_T;6775;TURISTAS;33.84407228841496;A;_Z;_Z
2014;_T;6776;TURISTAS;30.054954609755768;A;_Z;_Z
2014;_T;6778;TURISTAS;26.13058978726534;A;_Z;_Z
2014;_T;6779;TURISTAS;9.970383314563945;A;_Z;_Z
2014;M;6782;TURISTAS;47.86740656992198;A;_Z;_Z
2014;M;6775;TURISTAS;17.5914428059189;A;_Z;_Z
2014;M;6776;TURISTAS;13.262599909167971;A;_Z;_Z
2014;M;6778;TURISTAS;11.754415750722215;A;_Z;_Z
2014;M;6779;TURISTAS;5.2589481041129025;A;_Z;_Z
2014;F;6782;TURISTAS;52.132593430078025;A;_Z;_Z
2014;F;6775;TURISTAS;16.252629482496054;A;_Z;_Z
2014;F;6776;TURISTAS;16.792354700587797;A;_Z;_Z
2014;F;6778;TURISTAS;14.376174036543127;A;_Z;_Z
2014;F;6779;TURISTAS;4.711435210451043;A;_Z;_Z
2015;_T;6782;TURISTAS;100.0;A;_Z;_Z
2015;_T;6775;TURISTAS;33.009872767064294;A;_Z;_Z
2015;_T;6776;TURISTAS;30.278024185807624;A;_Z;_Z
2015;_T;6778;TURISTAS;26.390255477516405;A;_Z;_Z
2015;_T;6779;TURISTAS;10.321847569611672;A;_Z;_Z
2015;M;6782;TURISTAS;47.57498503175367;A;_Z;_Z
2015;M;6775;TURISTAS;15.71523232738059;A;_Z;_Z
2015;M;6776;TURISTAS;14.470945249987205;A;_Z;_Z
2015;M;6778;TURISTAS;12.503059128774888;A;_Z;_Z
2015;M;6779;TURISTAS;4.885748325610998;A;_Z;_Z
2015;F;6782;TURISTAS;52.42501496824633;A;_Z;_Z
2015;F;6775;TURISTAS;17.29464043968371;A;_Z;_Z
2015;F;6776;TURISTAS;15.807078935820426;A;_Z;_Z
2015;F;6778;TURISTAS;13.88719634874153;A;_Z;_Z
2015;F;6779;TURISTAS;5.436099244000678;A;_Z;_Z
2016;_T;6782;TURISTAS;100.0;A;_Z;_Z
2016;_T;6775;TURISTAS;31.87559905377017;A;_Z;_Z
2016;_T;6776;TURISTAS;29.953314078076826;A;_Z;_Z
2016;_T;6778;TURISTAS;27.521358239533043;A;_Z;_Z
2016;_T;6779;TURISTAS;10.649728628619965;A;_Z;_Z
2016;M;6782;TURISTAS;47.7310714221767;A;_Z;_Z
2016;M;6775;TURISTAS;15.316008283501855;A;_Z;_Z
2016;M;6776;TURISTAS;14.369533569354873;A;_Z;_Z
2016;M;6778;TURISTAS;13.31076333461047;A;_Z;_Z
2016;M;6779;TURISTAS;4.734766234709492;A;_Z;_Z
2016;F;6782;TURISTAS;52.2689285778233;A;_Z;_Z
2016;F;6775;TURISTAS;16.559590770268308;A;_Z;_Z
2016;F;6776;TURISTAS;15.583780508721953;A;_Z;_Z
2016;F;6778;TURISTAS;14.21059490492257;A;_Z;_Z
2016;F;6779;TURISTAS;5.9149623939104705;A;_Z;_Z
2017;_T;6782;TURISTAS;100.0;A;_Z;_Z
2017;_T;6775;TURISTAS;31.6742688375028;A;_Z;_Z
2017;_T;6776;TURISTAS;28.138798181328102;A;_Z;_Z
2017;_T;6778;TURISTAS;29.30462284498602;A;_Z;_Z
2017;_T;6779;TURISTAS;10.882310136183088;A;_Z;_Z
2017;M;6782;TURISTAS;47.84606348415829;A;_Z;_Z
2017;M;6775;TURISTAS;15.32356482472241;A;_Z;_Z
2017;M;6776;TURISTAS;13.335180756129827;A;_Z;_Z
2017;M;6778;TURISTAS;14.47201958774379;A;_Z;_Z
2017;M;6779;TURISTAS;4.715298315562261;A;_Z;_Z
2017;F;6782;TURISTAS;52.153936515841714;A;_Z;_Z
2017;F;6775;TURISTAS;16.350704012780383;A;_Z;_Z
2017;F;6776;TURISTAS;14.803617425198276;A;_Z;_Z
2017;F;6778;TURISTAS;14.83260325724223;A;_Z;_Z
2017;F;6779;TURISTAS;6.167011820620825;A;_Z;_Z
2018;_T;6782;TURISTAS;100.0;A;_Z;_Z
2018;_T;6775;TURISTAS;31.914159598769004;A;_Z;_Z
2018;_T;6776;TURISTAS;28.552187873319607;A;_Z;_Z
2018;_T;6778;TURISTAS;28.74275720310998;A;_Z;_Z
2018;_T;6779;TURISTAS;10.790895324801419;A;_Z;_Z
2018;M;6782;TURISTAS;48.39417407107605;A;_Z;_Z
2018;M;6775;TURISTAS;15.486799341096555;A;_Z;_Z
2018;M;6776;TURISTAS;13.581192040498754;A;_Z;_Z
2018;M;6778;TURISTAS;14.233566300166489;A;_Z;_Z
2018;M;6779;TURISTAS;5.092616389314252;A;_Z;_Z
2018;F;6782;TURISTAS;51.605825928923956;A;_Z;_Z
2018;F;6775;TURISTAS;16.427360257672447;A;_Z;_Z
2018;F;6776;TURISTAS;14.970995832820847;A;_Z;_Z
2018;F;6778;TURISTAS;14.50919090294349;A;_Z;_Z
2018;F;6779;TURISTAS;5.698278935487167;A;_Z;_Z
2019;_T;6782;TURISTAS;100.0;A;_Z;_Z
2019;_T;6775;TURISTAS;32.66999416100666;A;_Z;_Z
2019;_T;6776;TURISTAS;28.514618749942912;A;_Z;_Z
2019;_T;6778;TURISTAS;27.77739984793354;A;_Z;_Z
2019;_T;6779;TURISTAS;11.037987241116888;A;_Z;_Z
2019;M;6782;TURISTAS;49.26751011395572;A;_Z;_Z
2019;M;6775;TURISTAS;16.286597729881606;A;_Z;_Z
2019;M;6776;TURISTAS;13.558009297874097;A;_Z;_Z
2019;M;6778;TURISTAS;14.262592808989687;A;_Z;_Z
2019;M;6779;TURISTAS;5.160310277210331;A;_Z;_Z
2019;F;6782;TURISTAS;50.73248988604428;A;_Z;_Z
2019;F;6775;TURISTAS;16.383396431125057;A;_Z;_Z
2019;F;6776;TURISTAS;14.956609452068815;A;_Z;_Z
2019;F;6778;TURISTAS;13.514807038943852;A;_Z;_Z
2019;F;6779;TURISTAS;5.877676963906556;A;_Z;_Z
2020;_T;6782;TURISTAS;100.0;A;_Z;_Z
2020;_T;6775;TURISTAS;38.06187772351471;A;_Z;_Z
2020;_T;6776;TURISTAS;32.50955136049038;A;_Z;_Z
2020;_T;6778;TURISTAS;15.292655909216116;A;_Z;_Z
2020;_T;6779;TURISTAS;5.460422277299055;A;_Z;_Z
2020;_T;6783;TURISTAS;8.675492729479746;A;_Z;_Z
2020;M;6782;TURISTAS;44.15470136007881;A;_Z;_Z
2020;M;6775;TURISTAS;18.0890491425835;A;_Z;_Z
2020;M;6776;TURISTAS;15.815477299806386;A;_Z;_Z
2020;M;6778;TURISTAS;7.608771149037246;A;_Z;_Z
2020;M;6779;TURISTAS;2.6414037686516787;A;_Z;_Z
2020;F;6782;TURISTAS;47.16980591044145;A;_Z;_Z
2020;F;6775;TURISTAS;19.97282858093121;A;_Z;_Z
2020;F;6776;TURISTAS;16.69407406068399;A;_Z;_Z
2020;F;6778;TURISTAS;7.683884760178869;A;_Z;_Z
2020;F;6779;TURISTAS;2.819018508647377;A;_Z;_Z
2020;_U;6782;TURISTAS;8.675492729479746;A;_Z;_Z
2020;_U;6783;TURISTAS;8.675492729479746;A;_Z;_Z
2021;_T;6782;TURISTAS;100.0;A;_Z;_Z
